구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,강경읍,논산강경젓갈축제,충남 논산시,기타문화관광지
외지인,2,강경읍,강경젓갈시장,충남 논산시,시장
외지인,3,강경읍,강경역,충남 논산시,교통시설
외지인,4,강경읍,강경산소금문학관,충남 논산시 강경포구길 38-0,기타문화관광지
외지인,5,강경읍,강경젓갈전시관,충남 논산시 금백로 45-0,전시시설
외지인,6,강경읍,옥녀봉,충남 논산시,자연경관(산)
외지인,7,강경읍,강경대흥시장,충남 논산시 계백로105번길 8-4,시장
외지인,8,강경읍,강경근대거리,충남 논산시 옥녀봉로 30-5,테마공원
외지인,8,강경읍,강경젓갈공원,충남 논산시 옥녀봉로27번길 30-5,도시공원
외지인,10,강경읍,강경시외버스터미널,충남 논산시 계백로 141-0,교통시설
외지인,11,강경읍,옥녀봉공원,충남 논산시,도시공원
외지인,12,강경읍,강경수상레져,충남 논산시,수상레저스포츠
외지인,13,강경읍,논산강경구락부,충남 논산시 계백로167번길 46-0,역사유적지
외지인,14,강경읍,황산근린공원,충남 논산시,도시공원
외지인,15,강경읍,구한일은행강경지점,충남 논산시 계백로167번길 50-0,역사유적지
외지인,16,강경읍,금강3경(강경포구)개척지구,충남 논산시 금백로 45-0,기타관광
외지인,16,강경읍,강경노동조합,충남 논산시 옥녀봉로27번길 30-5,역사유적지
전체,1,강경읍,논산강경젓갈축제,충남 논산시,기타문화관광지
전체,2,강경읍,강경젓갈시장,충남 논산시,시장
전체,3,강경읍,강경역,충남 논산시,교통시설
전체,4,강경읍,강경산소금문학관,충남 논산시 강경포구길 38-0,기타문화관광지
전체,5,강경읍,강경젓갈전시관,충남 논산시 금백로 45-0,전시시설
전체,6,강경읍,옥녀봉,충남 논산시,자연경관(산)
전체,7,강경읍,강경대흥시장,충남 논산시 계백로105번길 8-4,시장
전체,8,강경읍,강경젓갈공원,충남 논산시 옥녀봉로27번길 30-5,도시공원
전체,9,강경읍,강경시외버스터미널,충남 논산시 계백로 141-0,교통시설
전체,10,강경읍,강경근대거리,충남 논산시 옥녀봉로 30-5,테마공원
전체,11,강경읍,옥녀봉공원,충남 논산시,도시공원
전체,12,강경읍,강경수상레져,충남 논산시,수상레저스포츠
전체,12,강경읍,논산강경구락부,충남 논산시 계백로167번길 46-0,역사유적지
전체,14,강경읍,황산근린공원,충남 논산시,도시공원
전체,15,강경읍,구한일은행강경지점,충남 논산시 계백로167번길 50-0,역사유적지
전체,16,강경읍,강경노동조합,충남 논산시 옥녀봉로27번길 30-5,역사유적지
전체,17,강경읍,금강3경(강경포구)개척지구,충남 논산시 금백로 45-0,기타관광
현지인,1,강경읍,논산강경젓갈축제,충남 논산시,기타문화관광지
현지인,2,강경읍,강경역,충남 논산시,교통시설
현지인,3,강경읍,강경젓갈시장,충남 논산시,시장
현지인,4,강경읍,옥녀봉,충남 논산시,자연경관(산)
현지인,5,강경읍,강경산소금문학관,충남 논산시 강경포구길 38-0,기타문화관광지
현지인,6,강경읍,강경젓갈전시관,충남 논산시 금백로 45-0,전시시설
현지인,7,강경읍,강경젓갈공원,충남 논산시 옥녀봉로27번길 30-5,도시공원
현지인,8,강경읍,강경시외버스터미널,충남 논산시 계백로 141-0,교통시설
현지인,8,강경읍,강경대흥시장,충남 논산시 계백로105번길 8-4,시장
현지인,10,강경읍,논산강경구락부,충남 논산시 계백로167번길 46-0,역사유적지
현지인,11,강경읍,옥녀봉공원,충남 논산시,도시공원
현지인,11,강경읍,황산근린공원,충남 논산시,도시공원
현지인,13,강경읍,강경근대거리,충남 논산시 옥녀봉로 30-5,테마공원
현지인,14,강경읍,강경수상레져,충남 논산시,수상레저스포츠
현지인,14,강경읍,구한일은행강경지점,충남 논산시 계백로167번길 50-0,역사유적지
현지인,14,강경읍,강경노동조합,충남 논산시 옥녀봉로27번길 30-5,역사유적지
현지인,17,강경읍,금강3경(강경포구)개척지구,충남 논산시 금백로 45-0,기타관광
