구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,월명동,군산근대역사박물관,전북 군산시 해망로 240-0,전시시설
외지인,2,월명동,초원사진관,전북 군산시 구영2길 12-1,기타문화관광지
외지인,3,월명동,진포해양테마공원,전북 군산시 내항2길 32-0,도시공원
외지인,4,월명동,군산시간여행축제,전북 군산시 중앙로 178-0,기타문화관광지
외지인,5,월명동,테디베어뮤지엄군산,전북 군산시 구영7길 37-0,전시시설
외지인,6,월명동,군산내항,전북 군산시,자연경관(하천/해양)
외지인,7,월명동,명산시장,전북 군산시 금광길 17-5,시장
외지인,7,월명동,장미공연장,전북 군산시 내항1길 57-0,공연시설
외지인,7,월명동,군산근대문화유산거리,전북 군산시,테마공원
외지인,10,월명동,군산시간여행,전북 군산시,기타레저스포츠
외지인,11,월명동,군산시간여행마을,전북 군산시 내항1길 8-0,테마공원
외지인,12,월명동,옛군산세관,전북 군산시 해망로 244-7,역사유적지
외지인,13,월명동,군산근대건축관,전북 군산시 해망로 214-0,역사유적지
외지인,14,월명동,군산근대미술관,전북 군산시 해망로 230-0,전시시설
외지인,15,월명동,군산부잔교,전북 군산시,자연경관(하천/해양)
외지인,16,월명동,군산시간여행관광안내소,전북 군산시 구영6길 19-0,기타관광
외지인,17,월명동,영화시장,전북 군산시 구영5길 112-0,시장
외지인,18,월명동,군산시민예술촌,전북 군산시 중정길 17-0,공연시설
전체,1,월명동,군산근대역사박물관,전북 군산시 해망로 240-0,전시시설
전체,2,월명동,초원사진관,전북 군산시 구영2길 12-1,기타문화관광지
전체,3,월명동,진포해양테마공원,전북 군산시 내항2길 32-0,도시공원
전체,4,월명동,군산시간여행축제,전북 군산시 중앙로 178-0,기타문화관광지
전체,5,월명동,테디베어뮤지엄군산,전북 군산시 구영7길 37-0,전시시설
전체,6,월명동,명산시장,전북 군산시 금광길 17-5,시장
전체,7,월명동,장미공연장,전북 군산시 내항1길 57-0,공연시설
전체,8,월명동,군산내항,전북 군산시,자연경관(하천/해양)
전체,9,월명동,군산시간여행,전북 군산시,기타레저스포츠
전체,10,월명동,군산근대문화유산거리,전북 군산시,테마공원
전체,11,월명동,군산시간여행마을,전북 군산시 내항1길 8-0,테마공원
전체,12,월명동,옛군산세관,전북 군산시 해망로 244-7,역사유적지
전체,13,월명동,군산근대건축관,전북 군산시 해망로 214-0,역사유적지
전체,14,월명동,군산근대미술관,전북 군산시 해망로 230-0,전시시설
전체,15,월명동,군산부잔교,전북 군산시,자연경관(하천/해양)
전체,15,월명동,군산시간여행관광안내소,전북 군산시 구영6길 19-0,기타관광
전체,15,월명동,영화시장,전북 군산시 구영5길 112-0,시장
전체,18,월명동,군산시민예술촌,전북 군산시 중정길 17-0,공연시설
현지인,1,월명동,군산근대역사박물관,전북 군산시 해망로 240-0,전시시설
현지인,2,월명동,초원사진관,전북 군산시 구영2길 12-1,기타문화관광지
현지인,3,월명동,진포해양테마공원,전북 군산시 내항2길 32-0,도시공원
현지인,4,월명동,군산시간여행축제,전북 군산시 중앙로 178-0,기타문화관광지
현지인,5,월명동,명산시장,전북 군산시 금광길 17-5,시장
현지인,6,월명동,테디베어뮤지엄군산,전북 군산시 구영7길 37-0,전시시설
현지인,7,월명동,장미공연장,전북 군산시 내항1길 57-0,공연시설
현지인,8,월명동,군산내항,전북 군산시,자연경관(하천/해양)
현지인,9,월명동,군산시간여행,전북 군산시,기타레저스포츠
현지인,10,월명동,군산근대문화유산거리,전북 군산시,테마공원
현지인,10,월명동,옛군산세관,전북 군산시 해망로 244-7,역사유적지
현지인,10,월명동,영화시장,전북 군산시 구영5길 112-0,시장
현지인,13,월명동,군산시간여행마을,전북 군산시 내항1길 8-0,테마공원
현지인,13,월명동,군산근대건축관,전북 군산시 해망로 214-0,역사유적지
현지인,13,월명동,군산시간여행관광안내소,전북 군산시 구영6길 19-0,기타관광
현지인,16,월명동,군산시민예술촌,전북 군산시 중정길 17-0,공연시설
현지인,16,월명동,군산근대미술관,전북 군산시 해망로 230-0,전시시설
현지인,16,월명동,군산부잔교,전북 군산시,자연경관(하천/해양)
