구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,금산읍,금산세계인삼축제,충남 금산군 인삼광장로 30-0,기타문화관광지
외지인,2,금산읍,금산인삼약령시장,충남 금산군 인삼약초로 33-0,시장
외지인,3,금산읍,금산종합버스터미널,충남 금산군 후곤천길 77-0,교통시설
외지인,4,금산읍,금산인삼관,충남 금산군 인삼광장로 30-0,전시시설
외지인,5,금산읍,금산수삼시장,충남 금산군 인삼약초로 48-8,시장
외지인,6,금산읍,금빛시장,충남 금산군 건삼전길 11-0,시장
외지인,7,금산읍,금산인삼종합쇼핑센터,충남 금산군 인삼광장로 47-0,쇼핑몰
외지인,8,금산읍,금산약초시장,충남 금산군 비단로 144-0,시장
외지인,9,금산읍,금산인삼국제시장,충남 금산군 인삼약초로 45-0,시장
외지인,10,금산읍,금산역사문화박물관,충남 금산군 금산로 1575-0,전시시설
외지인,11,금산읍,금산인삼약초건강관,충남 금산군,전시시설
외지인,12,금산읍,흰털바위공원,충남 금산군 인삼로 159-0,도시공원
외지인,13,금산읍,금산시네마,충남 금산군 비단로 91-0,공연시설
외지인,14,금산읍,금산5일장,충남 금산군,시장
외지인,15,금산읍,금산향교,충남 금산군 비단로 298-0,역사유적지
외지인,16,금산읍,금산야구장,충남 금산군,레저스포츠시설
외지인,17,금산읍,게이트볼장,충남 금산군 비호산로 26-0,기타레저스포츠
외지인,18,금산읍,금산장,충남 금산군 뒷담말1길 17-1,시장
외지인,19,금산읍,금산국제무예올림피아드,충남 금산군 인삼광장로 30-0,기타문화관광지
외지인,19,금산읍,우리끼리 키즈카페 스포츠마을금산점,충남 금산군 진산로 5-0,테마공원
외지인,19,금산읍,보광사,충남 금산군,종교성지
외지인,22,금산읍,삼덕사,충남 금산군 만자동1길 10-0,종교성지
전체,1,금산읍,금산세계인삼축제,충남 금산군 인삼광장로 30-0,기타문화관광지
전체,2,금산읍,금산인삼약령시장,충남 금산군 인삼약초로 33-0,시장
전체,3,금산읍,금산종합버스터미널,충남 금산군 후곤천길 77-0,교통시설
전체,4,금산읍,금산인삼관,충남 금산군 인삼광장로 30-0,전시시설
전체,5,금산읍,금산수삼시장,충남 금산군 인삼약초로 48-8,시장
전체,6,금산읍,금빛시장,충남 금산군 건삼전길 11-0,시장
전체,7,금산읍,금산인삼종합쇼핑센터,충남 금산군 인삼광장로 47-0,쇼핑몰
전체,8,금산읍,금산인삼국제시장,충남 금산군 인삼약초로 45-0,시장
전체,9,금산읍,금산약초시장,충남 금산군 비단로 144-0,시장
전체,10,금산읍,금산역사문화박물관,충남 금산군 금산로 1575-0,전시시설
전체,11,금산읍,흰털바위공원,충남 금산군 인삼로 159-0,도시공원
전체,12,금산읍,금산인삼약초건강관,충남 금산군,전시시설
전체,13,금산읍,금산시네마,충남 금산군 비단로 91-0,공연시설
전체,14,금산읍,금산5일장,충남 금산군,시장
전체,15,금산읍,금산향교,충남 금산군 비단로 298-0,역사유적지
전체,16,금산읍,금산야구장,충남 금산군,레저스포츠시설
전체,17,금산읍,게이트볼장,충남 금산군 비호산로 26-0,기타레저스포츠
전체,18,금산읍,금산장,충남 금산군 뒷담말1길 17-1,시장
전체,19,금산읍,금산국제무예올림피아드,충남 금산군 인삼광장로 30-0,기타문화관광지
전체,20,금산읍,우리끼리 키즈카페 스포츠마을금산점,충남 금산군 진산로 5-0,테마공원
전체,20,금산읍,보광사,충남 금산군,종교성지
전체,20,금산읍,삼덕사,충남 금산군 만자동1길 10-0,종교성지
현지인,1,금산읍,금산세계인삼축제,충남 금산군 인삼광장로 30-0,기타문화관광지
현지인,2,금산읍,금산인삼약령시장,충남 금산군 인삼약초로 33-0,시장
현지인,3,금산읍,금산종합버스터미널,충남 금산군 후곤천길 77-0,교통시설
현지인,4,금산읍,금산인삼관,충남 금산군 인삼광장로 30-0,전시시설
현지인,5,금산읍,금산수삼시장,충남 금산군 인삼약초로 48-8,시장
현지인,6,금산읍,금빛시장,충남 금산군 건삼전길 11-0,시장
현지인,7,금산읍,금산인삼종합쇼핑센터,충남 금산군 인삼광장로 47-0,쇼핑몰
현지인,8,금산읍,금산인삼국제시장,충남 금산군 인삼약초로 45-0,시장
현지인,9,금산읍,금산약초시장,충남 금산군 비단로 144-0,시장
현지인,9,금산읍,금산역사문화박물관,충남 금산군 금산로 1575-0,전시시설
현지인,11,금산읍,흰털바위공원,충남 금산군 인삼로 159-0,도시공원
현지인,11,금산읍,금산시네마,충남 금산군 비단로 91-0,공연시설
현지인,13,금산읍,금산인삼약초건강관,충남 금산군,전시시설
현지인,14,금산읍,금산향교,충남 금산군 비단로 298-0,역사유적지
현지인,15,금산읍,금산야구장,충남 금산군,레저스포츠시설
현지인,15,금산읍,금산장,충남 금산군 뒷담말1길 17-1,시장
현지인,17,금산읍,금산5일장,충남 금산군,시장
현지인,18,금산읍,게이트볼장,충남 금산군 비호산로 26-0,기타레저스포츠
현지인,19,금산읍,삼덕사,충남 금산군 만자동1길 10-0,종교성지
현지인,19,금산읍,금산국제무예올림피아드,충남 금산군 인삼광장로 30-0,기타문화관광지
현지인,21,금산읍,우리끼리 키즈카페 스포츠마을금산점,충남 금산군 진산로 5-0,테마공원
현지인,21,금산읍,보광사,충남 금산군,종교성지
