축제명,그룹명,개최년도,구분명,지표값
금산인삼축제,축제기간,2025,외부방문자 유입,0.602
금산인삼축제,축제기간,2025,현지인방문자 유입,0.911
금산인삼축제,축제기간,2025,내비게이션 검색량,0.498
금산인삼축제,축제기간,2025,관광소비,0.649
금산인삼축제,축제기간,2025,축제지 집중률,0.959
금산인삼축제,비축제기간,2025,외부방문자 유입,0.301
금산인삼축제,비축제기간,2025,현지인방문자 유입,0.806
금산인삼축제,비축제기간,2025,내비게이션 검색량,0.17
금산인삼축제,비축제기간,2025,관광소비,0.48
금산인삼축제,비축제기간,2025,축제지 집중률,0.59
금산인삼축제,축제기간,2024,외부방문자 유입,0.68
금산인삼축제,축제기간,2024,현지인방문자 유입,0.923
금산인삼축제,축제기간,2024,내비게이션 검색량,0.623
금산인삼축제,축제기간,2024,관광소비,0.726
금산인삼축제,축제기간,2024,축제지 집중률,0.906
금산인삼축제,비축제기간,2024,외부방문자 유입,0.293
금산인삼축제,비축제기간,2024,현지인방문자 유입,0.863
금산인삼축제,비축제기간,2024,내비게이션 검색량,0.159
금산인삼축제,비축제기간,2024,관광소비,0.492
금산인삼축제,비축제기간,2024,축제지 집중률,0.555
금산인삼축제,축제기간,2023,외부방문자 유입,0.593
금산인삼축제,축제기간,2023,현지인방문자 유입,0.93
금산인삼축제,축제기간,2023,내비게이션 검색량,0.487
금산인삼축제,축제기간,2023,관광소비,0.671
금산인삼축제,축제기간,2023,축제지 집중률,0.937
금산인삼축제,비축제기간,2023,외부방문자 유입,0.276
금산인삼축제,비축제기간,2023,현지인방문자 유입,0.79
금산인삼축제,비축제기간,2023,내비게이션 검색량,0.132
금산인삼축제,비축제기간,2023,관광소비,0.564
금산인삼축제,비축제기간,2023,축제지 집중률,0.544
