구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,산격2동,EXCO서관,대구 북구 엑스코로 10-0,전시시설
외지인,2,산격2동,EXCO동관,대구 북구 유통단지로 110-0,전시시설
외지인,3,산격2동,NC아울렛엑스코점,대구 북구 유통단지로14길 22-0,쇼핑몰
외지인,4,산격2동,금호강바람소리길축제,대구 북구,기타문화관광지
외지인,5,산격2동,EXCO신관,대구 북구 엑스코로 10-0,전시시설
외지인,6,산격2동,제이풋살파크,대구 북구 유통단지로 60-0,기타레저스포츠
외지인,7,산격2동,패션디자인개발지원센터,대구 북구 유통단지로14길 17-0,공연시설
외지인,8,산격2동,모모키즈빌리지,대구 북구 유통단지로14길 22-0,테마공원
외지인,9,산격2동,더슬로프,대구 북구 유통단지로24길 9-0,육상레저스포츠
외지인,10,산격2동,유통단지공원,대구 북구 유통단지로 61-0,도시공원
외지인,11,산격2동,산격강변축구장,대구 북구,레저스포츠시설
외지인,11,산격2동,북구청소년회관아트홀,대구 북구 검단로 71-17,공연시설
외지인,13,산격2동,호텔인터불고 엑스코그랜드볼룸,대구 북구 유통단지로 80-0,공연시설
외지인,13,산격2동,동광소금상사,대구 북구 유통단지로7길 45-0,시장
전체,1,산격2동,EXCO서관,대구 북구 엑스코로 10-0,전시시설
전체,2,산격2동,EXCO동관,대구 북구 유통단지로 110-0,전시시설
전체,3,산격2동,NC아울렛엑스코점,대구 북구 유통단지로14길 22-0,쇼핑몰
전체,4,산격2동,금호강바람소리길축제,대구 북구,기타문화관광지
전체,5,산격2동,EXCO신관,대구 북구 엑스코로 10-0,전시시설
전체,6,산격2동,제이풋살파크,대구 북구 유통단지로 60-0,기타레저스포츠
전체,7,산격2동,패션디자인개발지원센터,대구 북구 유통단지로14길 17-0,공연시설
전체,8,산격2동,모모키즈빌리지,대구 북구 유통단지로14길 22-0,테마공원
전체,9,산격2동,더슬로프,대구 북구 유통단지로24길 9-0,육상레저스포츠
전체,10,산격2동,유통단지공원,대구 북구 유통단지로 61-0,도시공원
전체,11,산격2동,북구청소년회관아트홀,대구 북구 검단로 71-17,공연시설
전체,11,산격2동,산격강변축구장,대구 북구,레저스포츠시설
전체,13,산격2동,동광소금상사,대구 북구 유통단지로7길 45-0,시장
전체,14,산격2동,호텔인터불고 엑스코그랜드볼룸,대구 북구 유통단지로 80-0,공연시설
현지인,1,산격2동,EXCO서관,대구 북구 엑스코로 10-0,전시시설
현지인,2,산격2동,EXCO동관,대구 북구 유통단지로 110-0,전시시설
현지인,3,산격2동,NC아울렛엑스코점,대구 북구 유통단지로14길 22-0,쇼핑몰
현지인,4,산격2동,금호강바람소리길축제,대구 북구,기타문화관광지
현지인,5,산격2동,EXCO신관,대구 북구 엑스코로 10-0,전시시설
현지인,6,산격2동,패션디자인개발지원센터,대구 북구 유통단지로14길 17-0,공연시설
현지인,7,산격2동,모모키즈빌리지,대구 북구 유통단지로14길 22-0,테마공원
현지인,8,산격2동,제이풋살파크,대구 북구 유통단지로 60-0,기타레저스포츠
현지인,9,산격2동,더슬로프,대구 북구 유통단지로24길 9-0,육상레저스포츠
현지인,10,산격2동,동광소금상사,대구 북구 유통단지로7길 45-0,시장
현지인,10,산격2동,산격강변축구장,대구 북구,레저스포츠시설
현지인,10,산격2동,북구청소년회관아트홀,대구 북구 검단로 71-17,공연시설
현지인,10,산격2동,유통단지공원,대구 북구 유통단지로 61-0,도시공원
현지인,14,산격2동,호텔인터불고 엑스코그랜드볼룸,대구 북구 유통단지로 80-0,공연시설
