구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,부량면,김제지평선축제,전북 김제시 벽골제로 442-0,기타문화관광지
외지인,2,부량면,벽골제,전북 김제시 벽골제로 442-0,복합관광시설
외지인,3,부량면,국립청소년바이오생명센터,전북 김제시 벽골제로 421-0,기타문화관광지
외지인,4,부량면,신털미산,전북 김제시,자연경관(산)
외지인,5,부량면,조정래아리랑문학관,전북 김제시 용성1길 24-0,기타문화관광지
외지인,6,부량면,벽골제농경문화박물관,전북 김제시 벽골제로 442-0,전시시설
외지인,7,부량면,김제시 부량면 신신마을,전북 김제시,역사유적지
외지인,8,부량면,벽골제생태농경원방문자센터,전북 김제시,기타관광
외지인,9,부량면,벽골제벽천미술관,전북 김제시 벽골제로 442-0,전시시설
외지인,10,부량면,김제시 부량면 후군마을,전북 김제시,역사유적지
전체,1,부량면,김제지평선축제,전북 김제시 벽골제로 442-0,기타문화관광지
전체,2,부량면,벽골제,전북 김제시 벽골제로 442-0,복합관광시설
전체,3,부량면,국립청소년바이오생명센터,전북 김제시 벽골제로 421-0,기타문화관광지
전체,4,부량면,신털미산,전북 김제시,자연경관(산)
전체,5,부량면,조정래아리랑문학관,전북 김제시 용성1길 24-0,기타문화관광지
전체,6,부량면,벽골제농경문화박물관,전북 김제시 벽골제로 442-0,전시시설
전체,7,부량면,김제시 부량면 신신마을,전북 김제시,역사유적지
전체,8,부량면,벽골제생태농경원방문자센터,전북 김제시,기타관광
전체,9,부량면,벽골제벽천미술관,전북 김제시 벽골제로 442-0,전시시설
전체,9,부량면,김제시 부량면 후군마을,전북 김제시,역사유적지
현지인,1,부량면,벽골제,전북 김제시 벽골제로 442-0,복합관광시설
현지인,2,부량면,김제지평선축제,전북 김제시 벽골제로 442-0,기타문화관광지
현지인,3,부량면,국립청소년바이오생명센터,전북 김제시 벽골제로 421-0,기타문화관광지
현지인,4,부량면,신털미산,전북 김제시,자연경관(산)
현지인,5,부량면,조정래아리랑문학관,전북 김제시 용성1길 24-0,기타문화관광지
현지인,6,부량면,김제시 부량면 신신마을,전북 김제시,역사유적지
현지인,7,부량면,벽골제농경문화박물관,전북 김제시 벽골제로 442-0,전시시설
현지인,8,부량면,벽골제생태농경원방문자센터,전북 김제시,기타관광
현지인,9,부량면,김제시 부량면 후군마을,전북 김제시,역사유적지
현지인,10,부량면,벽골제벽천미술관,전북 김제시 벽골제로 442-0,전시시설
