축제명,그룹명,개최년도,구분명,지표값
김제지평선축제,축제기간,2025,외부방문자 유입,0.682
김제지평선축제,축제기간,2025,현지인방문자 유입,0.789
김제지평선축제,축제기간,2025,내비게이션 검색량,0.687
김제지평선축제,축제기간,2025,관광소비,0.709
김제지평선축제,축제기간,2025,축제지 집중률,0.935
김제지평선축제,비축제기간,2025,외부방문자 유입,0.03
김제지평선축제,비축제기간,2025,현지인방문자 유입,0.079
김제지평선축제,비축제기간,2025,내비게이션 검색량,0.018
김제지평선축제,비축제기간,2025,관광소비,0.613
김제지평선축제,비축제기간,2025,축제지 집중률,0.07
김제지평선축제,축제기간,2024,외부방문자 유입,0.631
김제지평선축제,축제기간,2024,현지인방문자 유입,0.834
김제지평선축제,축제기간,2024,내비게이션 검색량,0.613
김제지평선축제,축제기간,2024,관광소비,0.609
김제지평선축제,축제기간,2024,축제지 집중률,0.828
김제지평선축제,비축제기간,2024,외부방문자 유입,0.041
김제지평선축제,비축제기간,2024,현지인방문자 유입,0.089
김제지평선축제,비축제기간,2024,내비게이션 검색량,0.026
김제지평선축제,비축제기간,2024,관광소비,0.516
김제지평선축제,비축제기간,2024,축제지 집중률,0.073
김제지평선축제,축제기간,2023,외부방문자 유입,0.661
김제지평선축제,축제기간,2023,현지인방문자 유입,0.908
김제지평선축제,축제기간,2023,내비게이션 검색량,0.585
김제지평선축제,축제기간,2023,관광소비,0.612
김제지평선축제,축제기간,2023,축제지 집중률,0.853
김제지평선축제,비축제기간,2023,외부방문자 유입,0.051
김제지평선축제,비축제기간,2023,현지인방문자 유입,0.09
김제지평선축제,비축제기간,2023,내비게이션 검색량,0.03
김제지평선축제,비축제기간,2023,관광소비,0.561
김제지평선축제,비축제기간,2023,축제지 집중률,0.089
