구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,진례면,김해분청도자기축제,경남 김해시 분청로 17-0,기타문화관광지
외지인,2,진례면,포웰CC김해,경남 김해시 고모로134번길 54-49,육상레저스포츠
외지인,3,진례면,클레이아크미술관,경남 김해시 분청로 21-0,전시시설
외지인,4,진례면,김해분청도자박물관,경남 김해시 분청로 17-0,전시시설
외지인,5,진례면,진례역,경남 김해시 테크노밸리길 94-0,교통시설
외지인,6,진례면,진례저수지,경남 김해시,자연경관(하천/해양)
외지인,7,진례면,진례전통시장,경남 김해시 송현로 6-0,시장
외지인,8,진례면,시골농원,경남 김해시 서부로 978-92,농/산/어촌체험
외지인,9,진례면,진례체육공원,경남 김해시 서부로 730-0,도시공원
외지인,9,진례면,용전숲,경남 김해시,기타관광
외지인,11,진례면,짱짱다육,경남 김해시 서부로 839-5,농/산/어촌체험
외지인,12,진례면,김해시 진례면 평지마을,경남 김해시,역사유적지
외지인,12,진례면,승마장진례,경남 김해시 고모로59번길 39-144,육상레저스포츠
전체,1,진례면,김해분청도자기축제,경남 김해시 분청로 17-0,기타문화관광지
전체,2,진례면,클레이아크미술관,경남 김해시 분청로 21-0,전시시설
전체,3,진례면,포웰CC김해,경남 김해시 고모로134번길 54-49,육상레저스포츠
전체,4,진례면,김해분청도자박물관,경남 김해시 분청로 17-0,전시시설
전체,5,진례면,진례역,경남 김해시 테크노밸리길 94-0,교통시설
전체,6,진례면,진례저수지,경남 김해시,자연경관(하천/해양)
전체,7,진례면,진례전통시장,경남 김해시 송현로 6-0,시장
전체,8,진례면,시골농원,경남 김해시 서부로 978-92,농/산/어촌체험
전체,9,진례면,용전숲,경남 김해시,기타관광
전체,10,진례면,진례체육공원,경남 김해시 서부로 730-0,도시공원
전체,11,진례면,짱짱다육,경남 김해시 서부로 839-5,농/산/어촌체험
전체,12,진례면,승마장진례,경남 김해시 고모로59번길 39-144,육상레저스포츠
전체,12,진례면,김해시 진례면 평지마을,경남 김해시,역사유적지
현지인,1,진례면,김해분청도자기축제,경남 김해시 분청로 17-0,기타문화관광지
현지인,2,진례면,클레이아크미술관,경남 김해시 분청로 21-0,전시시설
현지인,3,진례면,포웰CC김해,경남 김해시 고모로134번길 54-49,육상레저스포츠
현지인,4,진례면,김해분청도자박물관,경남 김해시 분청로 17-0,전시시설
현지인,5,진례면,진례역,경남 김해시 테크노밸리길 94-0,교통시설
현지인,6,진례면,진례저수지,경남 김해시,자연경관(하천/해양)
현지인,7,진례면,용전숲,경남 김해시,기타관광
현지인,8,진례면,시골농원,경남 김해시 서부로 978-92,농/산/어촌체험
현지인,9,진례면,진례전통시장,경남 김해시 송현로 6-0,시장
현지인,10,진례면,짱짱다육,경남 김해시 서부로 839-5,농/산/어촌체험
현지인,10,진례면,진례체육공원,경남 김해시 서부로 730-0,도시공원
현지인,12,진례면,김해시 진례면 평지마을,경남 김해시,역사유적지
현지인,12,진례면,승마장진례,경남 김해시 고모로59번길 39-144,육상레저스포츠
