축제명,그룹명,개최년도,구분명,지표값
김해분청도자기축제,축제기간,2025,외부방문자 유입,0.784
김해분청도자기축제,축제기간,2025,현지인방문자 유입,0.933
김해분청도자기축제,축제기간,2025,내비게이션 검색량,0.531
김해분청도자기축제,축제기간,2025,관광소비,0.615
김해분청도자기축제,축제기간,2025,축제지 집중률,0.966
김해분청도자기축제,비축제기간,2025,외부방문자 유입,0.478
김해분청도자기축제,비축제기간,2025,현지인방문자 유입,0.707
김해분청도자기축제,비축제기간,2025,내비게이션 검색량,0.229
김해분청도자기축제,비축제기간,2025,관광소비,0.632
김해분청도자기축제,비축제기간,2025,축제지 집중률,0.557
김해분청도자기축제,축제기간,2024,외부방문자 유입,0.865
김해분청도자기축제,축제기간,2024,현지인방문자 유입,0.923
김해분청도자기축제,축제기간,2024,내비게이션 검색량,0.676
김해분청도자기축제,축제기간,2024,관광소비,0.631
김해분청도자기축제,축제기간,2024,축제지 집중률,0.795
김해분청도자기축제,비축제기간,2024,외부방문자 유입,0.624
김해분청도자기축제,비축제기간,2024,현지인방문자 유입,0.766
김해분청도자기축제,비축제기간,2024,내비게이션 검색량,0.281
김해분청도자기축제,비축제기간,2024,관광소비,0.617
김해분청도자기축제,비축제기간,2024,축제지 집중률,0.564
김해분청도자기축제,축제기간,2023,외부방문자 유입,0.786
김해분청도자기축제,축제기간,2023,현지인방문자 유입,0.769
김해분청도자기축제,축제기간,2023,내비게이션 검색량,0.575
김해분청도자기축제,축제기간,2023,관광소비,0.627
김해분청도자기축제,축제기간,2023,축제지 집중률,0.829
김해분청도자기축제,비축제기간,2023,외부방문자 유입,0.56
김해분청도자기축제,비축제기간,2023,현지인방문자 유입,0.635
김해분청도자기축제,비축제기간,2023,내비게이션 검색량,0.283
김해분청도자기축제,비축제기간,2023,관광소비,0.654
김해분청도자기축제,비축제기간,2023,축제지 집중률,0.577
