구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,금동,광한루원,전북 남원시 요천로 1447-0,기타관광
외지인,2,금동,춘향골공설시장,전북 남원시 의총로 51-0,시장
외지인,3,금동,광한루원완월정,전북 남원시 요천로 1447-0,기타관광
외지인,4,금동,광한루,전북 남원시 요천로 1447-0,역사유적지
외지인,5,금동,광한루매표소,전북 남원시 요천로 1447-0,기타관광
외지인,6,금동,남원다움관,전북 남원시 검멀1길 14-0,전시시설
외지인,7,금동,미림농원,전북 남원시 요천로 1309-0,농/산/어촌체험
전체,1,금동,광한루원,전북 남원시 요천로 1447-0,기타관광
전체,2,금동,춘향골공설시장,전북 남원시 의총로 51-0,시장
전체,3,금동,광한루원완월정,전북 남원시 요천로 1447-0,기타관광
전체,4,금동,광한루,전북 남원시 요천로 1447-0,역사유적지
전체,5,금동,광한루매표소,전북 남원시 요천로 1447-0,기타관광
전체,6,금동,남원다움관,전북 남원시 검멀1길 14-0,전시시설
전체,7,금동,미림농원,전북 남원시 요천로 1309-0,농/산/어촌체험
현지인,1,금동,광한루원,전북 남원시 요천로 1447-0,기타관광
현지인,2,금동,춘향골공설시장,전북 남원시 의총로 51-0,시장
현지인,3,금동,광한루,전북 남원시 요천로 1447-0,역사유적지
현지인,4,금동,광한루원완월정,전북 남원시 요천로 1447-0,기타관광
현지인,5,금동,미림농원,전북 남원시 요천로 1309-0,농/산/어촌체험
현지인,5,금동,남원다움관,전북 남원시 검멀1길 14-0,전시시설
현지인,7,금동,광한루매표소,전북 남원시 요천로 1447-0,기타관광
