축제명,그룹명,개최년도,구분명,지표값
논산딸기축제,축제기간,2025,외부방문자 유입,0.47
논산딸기축제,축제기간,2025,현지인방문자 유입,0.706
논산딸기축제,축제기간,2025,내비게이션 검색량,0.604
논산딸기축제,축제기간,2025,관광소비,0.729
논산딸기축제,축제기간,2025,축제지 집중률,0.477
논산딸기축제,비축제기간,2025,외부방문자 유입,0.315
논산딸기축제,비축제기간,2025,현지인방문자 유입,0.765
논산딸기축제,비축제기간,2025,내비게이션 검색량,0.266
논산딸기축제,비축제기간,2025,관광소비,0.465
논산딸기축제,비축제기간,2025,축제지 집중률,0.515
논산딸기축제,축제기간,2024,외부방문자 유입,0.504
논산딸기축제,축제기간,2024,현지인방문자 유입,0.784
논산딸기축제,축제기간,2024,내비게이션 검색량,0.63
논산딸기축제,축제기간,2024,관광소비,0.726
논산딸기축제,축제기간,2024,축제지 집중률,0.513
논산딸기축제,비축제기간,2024,외부방문자 유입,0.321
논산딸기축제,비축제기간,2024,현지인방문자 유입,0.801
논산딸기축제,비축제기간,2024,내비게이션 검색량,0.314
논산딸기축제,비축제기간,2024,관광소비,0.481
논산딸기축제,비축제기간,2024,축제지 집중률,0.557
