축제명,그룹명,개최년도,구분명,지표값
담양대나무축제,축제기간,2025,외부방문자 유입,0.643
담양대나무축제,축제기간,2025,현지인방문자 유입,0.807
담양대나무축제,축제기간,2025,내비게이션 검색량,0.577
담양대나무축제,축제기간,2025,관광소비,0.689
담양대나무축제,축제기간,2025,축제지 집중률,0.938
담양대나무축제,비축제기간,2025,외부방문자 유입,0.277
담양대나무축제,비축제기간,2025,현지인방문자 유입,0.785
담양대나무축제,비축제기간,2025,내비게이션 검색량,0.163
담양대나무축제,비축제기간,2025,관광소비,0.316
담양대나무축제,비축제기간,2025,축제지 집중률,0.769
담양대나무축제,축제기간,2024,외부방문자 유입,0.668
담양대나무축제,축제기간,2024,현지인방문자 유입,0.895
담양대나무축제,축제기간,2024,내비게이션 검색량,0.559
담양대나무축제,축제기간,2024,관광소비,0.568
담양대나무축제,축제기간,2024,축제지 집중률,0.89
담양대나무축제,비축제기간,2024,외부방문자 유입,0.434
담양대나무축제,비축제기간,2024,현지인방문자 유입,0.815
담양대나무축제,비축제기간,2024,내비게이션 검색량,0.353
담양대나무축제,비축제기간,2024,관광소비,0.47
담양대나무축제,비축제기간,2024,축제지 집중률,0.761
담양대나무축제,축제기간,2023,외부방문자 유입,0.422
담양대나무축제,축제기간,2023,현지인방문자 유입,0.795
담양대나무축제,축제기간,2023,내비게이션 검색량,0.255
담양대나무축제,축제기간,2023,관광소비,0.53
담양대나무축제,축제기간,2023,축제지 집중률,0.758
담양대나무축제,비축제기간,2023,외부방문자 유입,0.347
담양대나무축제,비축제기간,2023,현지인방문자 유입,0.738
담양대나무축제,비축제기간,2023,내비게이션 검색량,0.229
담양대나무축제,비축제기간,2023,관광소비,0.446
담양대나무축제,비축제기간,2023,축제지 집중률,0.725
