축제명,그룹명,개최년도,구분명,지표값
대구약령시한방문화축제,축제기간,2025,외부방문자 유입,0.69
대구약령시한방문화축제,축제기간,2025,현지인방문자 유입,0.874
대구약령시한방문화축제,축제기간,2025,내비게이션 검색량,0.409
대구약령시한방문화축제,축제기간,2025,관광소비,0.579
대구약령시한방문화축제,축제기간,2025,축제지 집중률,0.908
대구약령시한방문화축제,비축제기간,2025,외부방문자 유입,0.671
대구약령시한방문화축제,비축제기간,2025,현지인방문자 유입,0.822
대구약령시한방문화축제,비축제기간,2025,내비게이션 검색량,0.425
대구약령시한방문화축제,비축제기간,2025,관광소비,0.588
대구약령시한방문화축제,비축제기간,2025,축제지 집중률,0.883
대구약령시한방문화축제,축제기간,2024,외부방문자 유입,0.608
대구약령시한방문화축제,축제기간,2024,현지인방문자 유입,0.862
대구약령시한방문화축제,축제기간,2024,내비게이션 검색량,0.498
대구약령시한방문화축제,축제기간,2024,관광소비,0.631
대구약령시한방문화축제,축제기간,2024,축제지 집중률,0.822
대구약령시한방문화축제,비축제기간,2024,외부방문자 유입,0.579
대구약령시한방문화축제,비축제기간,2024,현지인방문자 유입,0.792
대구약령시한방문화축제,비축제기간,2024,내비게이션 검색량,0.526
대구약령시한방문화축제,비축제기간,2024,관광소비,0.65
대구약령시한방문화축제,비축제기간,2024,축제지 집중률,0.824
대구약령시한방문화축제,축제기간,2023,외부방문자 유입,0.638
대구약령시한방문화축제,축제기간,2023,현지인방문자 유입,0.667
대구약령시한방문화축제,축제기간,2023,내비게이션 검색량,0.828
대구약령시한방문화축제,축제기간,2023,관광소비,0.72
대구약령시한방문화축제,축제기간,2023,축제지 집중률,0.802
대구약령시한방문화축제,비축제기간,2023,외부방문자 유입,0.683
대구약령시한방문화축제,비축제기간,2023,현지인방문자 유입,0.758
대구약령시한방문화축제,비축제기간,2023,내비게이션 검색량,0.595
대구약령시한방문화축제,비축제기간,2023,관광소비,0.716
대구약령시한방문화축제,비축제기간,2023,축제지 집중률,0.806
