구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,송정동,안목해변,강원 강릉시 창해로14번길 20-1,자연경관(하천/해양)
외지인,2,포남2동,강릉커피축제(강릉스피드스케이팅경기장),강원 강릉시 수리골길 100-0,기타문화관광지
외지인,3,포남2동,강릉스피드스케이팅경기장,강원 강릉시 수리골길 100-0,육상레저스포츠
외지인,4,송정동,강릉항,강원 강릉시 창해로14번길 51-4,자연경관(하천/해양)
외지인,5,송정동,송정해변,강원 강릉시 송정길30번안길 0-0,자연경관(하천/해양)
외지인,6,포남2동,강릉커피축제(강릉스피드스케이팅경기장),강원 강릉시 수리골길 100-0,기타문화관광지
외지인,7,송정동,강릉항여객터미널,강원 강릉시 창해로14번길 51-26,교통시설
외지인,8,포남2동,강릉하키센터,강원 강릉시 수리골길 98-0,육상레저스포츠
외지인,9,송정동,강릉경찰수련원,강원 강릉시 경강로 2580-0,육상레저스포츠
외지인,10,포남2동,아레나수영장,강원 강릉시 수리골길 102-0,테마공원
외지인,11,송정동,송정해변풋살경기장,강원 강릉시 창해로 85-8,기타레저스포츠
외지인,12,송정동,안목해맞이공원,강원 강릉시 창해로 17-0,도시공원
외지인,13,포남2동,자연아놀자,강원 강릉시 난설헌로 105-0,전시시설
외지인,14,포남2동,강릉올림픽뮤지엄,강원 강릉시 수리골길 102-0,전시시설
외지인,15,송정동,강릉항방파제,강원 강릉시 창해로14번길 51-4,자연경관(하천/해양)
외지인,16,송정동,안목해변펫비치,강원 강릉시 창해로 17-0,자연경관(하천/해양)
외지인,17,송정동,환희컵박물관,강원 강릉시 해안로 10-0,전시시설
외지인,18,포남2동,공씨네공방,강원 강릉시 강릉대로 541-0,공예체험
외지인,19,포남2동,55베이킹스튜디오,강원 강릉시 산양길26번길 27-2,기타문화관광지
외지인,19,송정동,신라모노그램강릉레지던스수영장,강원 강릉시 해안로 210-0,테마공원
전체,1,송정동,안목해변,강원 강릉시 창해로14번길 20-1,자연경관(하천/해양)
전체,2,포남2동,강릉스피드스케이팅경기장,강원 강릉시 수리골길 100-0,육상레저스포츠
전체,3,포남2동,강릉커피축제(강릉스피드스케이팅경기장),강원 강릉시 수리골길 100-0,기타문화관광지
전체,4,송정동,강릉항,강원 강릉시 창해로14번길 51-4,자연경관(하천/해양)
전체,5,송정동,송정해변,강원 강릉시 송정길30번안길 0-0,자연경관(하천/해양)
전체,6,포남2동,강릉커피축제(강릉스피드스케이팅경기장),강원 강릉시 수리골길 100-0,기타문화관광지
전체,7,포남2동,강릉하키센터,강원 강릉시 수리골길 98-0,육상레저스포츠
전체,8,송정동,강릉항여객터미널,강원 강릉시 창해로14번길 51-26,교통시설
전체,9,포남2동,아레나수영장,강원 강릉시 수리골길 102-0,테마공원
전체,10,송정동,강릉경찰수련원,강원 강릉시 경강로 2580-0,육상레저스포츠
전체,11,송정동,송정해변풋살경기장,강원 강릉시 창해로 85-8,기타레저스포츠
전체,12,송정동,안목해맞이공원,강원 강릉시 창해로 17-0,도시공원
전체,13,포남2동,자연아놀자,강원 강릉시 난설헌로 105-0,전시시설
전체,14,포남2동,강릉올림픽뮤지엄,강원 강릉시 수리골길 102-0,전시시설
전체,15,송정동,강릉항방파제,강원 강릉시 창해로14번길 51-4,자연경관(하천/해양)
전체,16,송정동,안목해변펫비치,강원 강릉시 창해로 17-0,자연경관(하천/해양)
전체,17,송정동,환희컵박물관,강원 강릉시 해안로 10-0,전시시설
전체,18,포남2동,공씨네공방,강원 강릉시 강릉대로 541-0,공예체험
전체,19,송정동,신라모노그램강릉레지던스수영장,강원 강릉시 해안로 210-0,테마공원
전체,20,포남2동,55베이킹스튜디오,강원 강릉시 산양길26번길 27-2,기타문화관광지
현지인,1,송정동,안목해변,강원 강릉시 창해로14번길 20-1,자연경관(하천/해양)
현지인,2,포남2동,강릉스피드스케이팅경기장,강원 강릉시 수리골길 100-0,육상레저스포츠
현지인,3,송정동,강릉항,강원 강릉시 창해로14번길 51-4,자연경관(하천/해양)
현지인,4,포남2동,강릉커피축제(강릉스피드스케이팅경기장),강원 강릉시 수리골길 100-0,기타문화관광지
현지인,5,송정동,송정해변,강원 강릉시 송정길30번안길 0-0,자연경관(하천/해양)
현지인,6,포남2동,강릉커피축제(강릉스피드스케이팅경기장),강원 강릉시 수리골길 100-0,기타문화관광지
현지인,7,포남2동,강릉하키센터,강원 강릉시 수리골길 98-0,육상레저스포츠
현지인,8,포남2동,아레나수영장,강원 강릉시 수리골길 102-0,테마공원
현지인,9,송정동,강릉항여객터미널,강원 강릉시 창해로14번길 51-26,교통시설
현지인,10,송정동,강릉경찰수련원,강원 강릉시 경강로 2580-0,육상레저스포츠
현지인,11,송정동,송정해변풋살경기장,강원 강릉시 창해로 85-8,기타레저스포츠
현지인,11,송정동,안목해맞이공원,강원 강릉시 창해로 17-0,도시공원
현지인,13,포남2동,자연아놀자,강원 강릉시 난설헌로 105-0,전시시설
현지인,13,송정동,강릉항방파제,강원 강릉시 창해로14번길 51-4,자연경관(하천/해양)
현지인,15,송정동,안목해변펫비치,강원 강릉시 창해로 17-0,자연경관(하천/해양)
현지인,16,포남2동,강릉올림픽뮤지엄,강원 강릉시 수리골길 102-0,전시시설
현지인,17,송정동,환희컵박물관,강원 강릉시 해안로 10-0,전시시설
현지인,17,포남2동,공씨네공방,강원 강릉시 강릉대로 541-0,공예체험
현지인,19,송정동,신라모노그램강릉레지던스수영장,강원 강릉시 해안로 210-0,테마공원
현지인,20,포남2동,55베이킹스튜디오,강원 강릉시 산양길26번길 27-2,기타문화관광지
