구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,신성동,신세계백화점대전신세계,대전 유성구 엑스포로 1-0,백화점
외지인,2,신성동,대전컨벤션센터제2전시장,대전 유성구 엑스포로 87-0,전시시설
외지인,3,신성동,대전컨벤션센터제1전시장,대전 유성구 엑스포로 107-0,전시시설
외지인,4,신성동,자운대쇼핑타운,대전 유성구 자운로97번길 410-0,쇼핑몰
외지인,5,신성동,엑스포과학공원,대전 유성구 대덕대로 480-0,도시공원
외지인,6,신성동,대전신세계Art&Science,대전 유성구 엑스포로 1-0,복합관광시설
외지인,7,신성동,자운대체력단련장,대전 유성구 자운로 272-83,육상레저스포츠
외지인,8,신성동,대전통일관,대전 유성구 대덕대로 516-0,전시시설
외지인,9,신성동,엑스포한빛탑,대전 유성구 엑스포로 55-0,역사유물
외지인,10,신성동,스튜디오큐브,대전 유성구 대덕대로 480-0,기타문화관광지
외지인,11,신성동,대전엑스포아쿠아리움,대전 유성구 엑스포로 1-0,테마공원
외지인,12,신성동,대전시민천문대,대전 유성구 과학로 213-48,기타관광
외지인,13,신성동,대전사이언스페스티벌,대전 유성구 엑스포로 87-0,기타문화관광지
외지인,14,신성동,너티차일드대전점,대전 유성구 엑스포로151번길 19-0,테마공원
외지인,15,신성동,엑스포다리,대전 유성구 엑스포로 0-0,기타관광
외지인,16,신성동,티놀자애니멀파크,대전 유성구 대덕대로989번길 9-51,기타관광
외지인,17,신성동,지질박물관,대전 유성구 과학로 124-0,전시시설
외지인,18,신성동,화폐박물관,대전 유성구 과학로 80-67,전시시설
외지인,19,신성동,수운교도솔천,대전 유성구 자운로245번길 80-0,역사유적지
외지인,20,신성동,갑천호수공원,대전 유성구,도시공원
외지인,20,신성동,발명교육센터창의발명체험관,대전 유성구 과학로 82-0,전시시설
외지인,22,신성동,갑천변꽃단지,대전 유성구,기타관광
외지인,23,신성동,메가박스대전신세계아트앤사이언스,대전 유성구 엑스포로 1-0,공연시설
외지인,24,신성동,기초과학연구원과학문화센터,대전 유성구 엑스포로 55-0,기타문화관광지
외지인,25,신성동,아틀란티스대전점,대전 유성구 엑스포로123번길 27-22,테마공원
외지인,26,신성동,스포츠몬스터대전점,대전 유성구 대덕대로 480-0,기타레저스포츠
외지인,27,신성동,북대전ic시외버스정류소,대전 유성구,교통시설
외지인,27,신성동,대전e스포츠상설경기장,대전 유성구 대덕대로 480-0,기타레저스포츠
외지인,29,신성동,클라라하우스대전점,대전 유성구 대덕대로578번길 14-0,공연시설
외지인,30,신성동,엑스포첨단과학전시관,대전 유성구 엑스포로 55-0,전시시설
외지인,31,신성동,갤러리메르헨,대전 유성구 대덕대로556번길 87-0,전시시설
외지인,31,신성동,ICC컨벤션홀,대전 유성구 엑스포로123번길 55-0,공연시설
외지인,31,신성동,대덕특구스포츠센터,대전 유성구 대덕대로 581-0,기타레저스포츠
외지인,34,신성동,이음,대전 유성구 신성남로 27-0,기타문화관광지
외지인,34,신성동,태전사,대전 유성구 유성대로1312번길 190-0,종교성지
외지인,34,신성동,자운사,대전 유성구 자운로97번길 431-0,종교성지
외지인,34,신성동,엑스포기념관,대전 유성구 대덕대로 480-0,전시시설
전체,1,신성동,신세계백화점대전신세계,대전 유성구 엑스포로 1-0,백화점
전체,2,신성동,대전컨벤션센터제2전시장,대전 유성구 엑스포로 87-0,전시시설
전체,3,신성동,대전컨벤션센터제1전시장,대전 유성구 엑스포로 107-0,전시시설
전체,4,신성동,자운대쇼핑타운,대전 유성구 자운로97번길 410-0,쇼핑몰
전체,5,신성동,엑스포과학공원,대전 유성구 대덕대로 480-0,도시공원
전체,6,신성동,대전신세계Art&Science,대전 유성구 엑스포로 1-0,복합관광시설
전체,7,신성동,자운대체력단련장,대전 유성구 자운로 272-83,육상레저스포츠
전체,8,신성동,스튜디오큐브,대전 유성구 대덕대로 480-0,기타문화관광지
전체,9,신성동,대전통일관,대전 유성구 대덕대로 516-0,전시시설
전체,10,신성동,엑스포한빛탑,대전 유성구 엑스포로 55-0,역사유물
전체,11,신성동,대전시민천문대,대전 유성구 과학로 213-48,기타관광
전체,12,신성동,대전엑스포아쿠아리움,대전 유성구 엑스포로 1-0,테마공원
전체,13,신성동,대전사이언스페스티벌,대전 유성구 엑스포로 87-0,기타문화관광지
전체,14,신성동,너티차일드대전점,대전 유성구 엑스포로151번길 19-0,테마공원
전체,15,신성동,엑스포다리,대전 유성구 엑스포로 0-0,기타관광
전체,16,신성동,티놀자애니멀파크,대전 유성구 대덕대로989번길 9-51,기타관광
전체,17,신성동,지질박물관,대전 유성구 과학로 124-0,전시시설
전체,18,신성동,수운교도솔천,대전 유성구 자운로245번길 80-0,역사유적지
전체,19,신성동,갑천호수공원,대전 유성구,도시공원
전체,19,신성동,발명교육센터창의발명체험관,대전 유성구 과학로 82-0,전시시설
전체,21,신성동,화폐박물관,대전 유성구 과학로 80-67,전시시설
전체,22,신성동,갑천변꽃단지,대전 유성구,기타관광
전체,22,신성동,메가박스대전신세계아트앤사이언스,대전 유성구 엑스포로 1-0,공연시설
전체,22,신성동,기초과학연구원과학문화센터,대전 유성구 엑스포로 55-0,기타문화관광지
전체,22,신성동,아틀란티스대전점,대전 유성구 엑스포로123번길 27-22,테마공원
전체,26,신성동,북대전ic시외버스정류소,대전 유성구,교통시설
전체,27,신성동,스포츠몬스터대전점,대전 유성구 대덕대로 480-0,기타레저스포츠
전체,28,신성동,대전e스포츠상설경기장,대전 유성구 대덕대로 480-0,기타레저스포츠
전체,29,신성동,클라라하우스대전점,대전 유성구 대덕대로578번길 14-0,공연시설
전체,30,신성동,갤러리메르헨,대전 유성구 대덕대로556번길 87-0,전시시설
전체,31,신성동,엑스포첨단과학전시관,대전 유성구 엑스포로 55-0,전시시설
전체,31,신성동,ICC컨벤션홀,대전 유성구 엑스포로123번길 55-0,공연시설
전체,33,신성동,대덕특구스포츠센터,대전 유성구 대덕대로 581-0,기타레저스포츠
전체,33,신성동,이음,대전 유성구 신성남로 27-0,기타문화관광지
전체,33,신성동,태전사,대전 유성구 유성대로1312번길 190-0,종교성지
전체,33,신성동,자운사,대전 유성구 자운로97번길 431-0,종교성지
전체,37,신성동,엑스포기념관,대전 유성구 대덕대로 480-0,전시시설
현지인,1,신성동,신세계백화점대전신세계,대전 유성구 엑스포로 1-0,백화점
현지인,2,신성동,대전컨벤션센터제2전시장,대전 유성구 엑스포로 87-0,전시시설
현지인,3,신성동,자운대쇼핑타운,대전 유성구 자운로97번길 410-0,쇼핑몰
현지인,4,신성동,대전컨벤션센터제1전시장,대전 유성구 엑스포로 107-0,전시시설
현지인,5,신성동,엑스포과학공원,대전 유성구 대덕대로 480-0,도시공원
현지인,6,신성동,스튜디오큐브,대전 유성구 대덕대로 480-0,기타문화관광지
현지인,7,신성동,대전신세계Art&Science,대전 유성구 엑스포로 1-0,복합관광시설
현지인,8,신성동,자운대체력단련장,대전 유성구 자운로 272-83,육상레저스포츠
