구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,산성동,대전오월드,대전 중구 사정공원로 70-0,테마공원
외지인,2,산성동,뿌리공원,대전 중구 뿌리공원로 79-0,도시공원
외지인,3,산성동,안영생활체육시설단지,대전 중구,도시공원
외지인,4,산성동,대전효문화뿌리축제,대전 중구,기타문화관광지
외지인,5,산성동,사정공원,대전 중구 사정공원로 160-0,도시공원
외지인,6,산성동,대전치유의숲,대전 중구 운남로37번길 386-0,기타관광
외지인,7,산성동,대전오월드버드랜드,대전 중구 사정공원로 70-0,테마공원
외지인,8,산성동,사정인라인스케이트장,대전 중구 사정공원로 160-0,육상레저스포츠
외지인,9,산성동,알프스다이빙,대전 중구 대둔산로 253-0,수상레저스포츠
외지인,10,산성동,대전서남부터미널,대전 중구 유등천동로 346-0,교통시설
외지인,11,산성동,뿌리공원관리사무소,대전 중구 뿌리공원로 79-0,도시공원
외지인,12,산성동,산성시장,대전 중구 대둔산로 420-0,시장
외지인,13,산성동,사정골식물원,대전 중구 사정공원로 160-0,테마공원
외지인,14,산성동,한국족보박물관,대전 중구 뿌리공원로 79-0,전시시설
외지인,15,산성동,엘리트포크,대전 중구 대둔산로300번길 35-0,시장
외지인,16,산성동,대전청소년수련마을,대전 중구 방아미로 131-0,육상레저스포츠
외지인,17,산성동,사정근린공원 축구장,대전 중구 사정공원로 160-0,레저스포츠시설
외지인,18,산성동,단재신채호선생생가지,대전 중구 단재로229번길 47-0,역사유적지
외지인,19,산성동,대전오월드나이트유니버스,대전 중구 사정공원로 70-0,기타문화관광지
외지인,20,산성동,중구 무수동 무수천하마을,대전 중구 운남로85번길 5-0,역사유적지
외지인,21,산성동,산서생활체육공원,대전 중구,도시공원
외지인,22,산성동,에듀사이버평생교육원본원,대전 중구 산서로62번길 5-0,체험관광기타
외지인,22,산성동,대전보훈공원,대전 중구,도시공원
외지인,24,산성동,유회당,대전 중구 운남로85번길 32-18,역사유적지
외지인,25,산성동,사정공원숲속자연놀이터,대전 중구,테마공원
외지인,26,산성동,블라썸배팅센터,대전 중구 안영로79번길 11-0,기타레저스포츠
전체,1,산성동,뿌리공원,대전 중구 뿌리공원로 79-0,도시공원
전체,2,산성동,대전오월드,대전 중구 사정공원로 70-0,테마공원
전체,3,산성동,안영생활체육시설단지,대전 중구,도시공원
전체,4,산성동,대전효문화뿌리축제,대전 중구,기타문화관광지
전체,5,산성동,사정공원,대전 중구 사정공원로 160-0,도시공원
전체,6,산성동,대전치유의숲,대전 중구 운남로37번길 386-0,기타관광
전체,7,산성동,대전오월드버드랜드,대전 중구 사정공원로 70-0,테마공원
전체,8,산성동,사정인라인스케이트장,대전 중구 사정공원로 160-0,육상레저스포츠
전체,9,산성동,대전서남부터미널,대전 중구 유등천동로 346-0,교통시설
전체,10,산성동,알프스다이빙,대전 중구 대둔산로 253-0,수상레저스포츠
전체,11,산성동,뿌리공원관리사무소,대전 중구 뿌리공원로 79-0,도시공원
전체,12,산성동,산성시장,대전 중구 대둔산로 420-0,시장
전체,13,산성동,사정골식물원,대전 중구 사정공원로 160-0,테마공원
전체,14,산성동,한국족보박물관,대전 중구 뿌리공원로 79-0,전시시설
전체,15,산성동,엘리트포크,대전 중구 대둔산로300번길 35-0,시장
전체,16,산성동,대전청소년수련마을,대전 중구 방아미로 131-0,육상레저스포츠
전체,17,산성동,단재신채호선생생가지,대전 중구 단재로229번길 47-0,역사유적지
전체,18,산성동,사정근린공원 축구장,대전 중구 사정공원로 160-0,레저스포츠시설
전체,19,산성동,대전오월드나이트유니버스,대전 중구 사정공원로 70-0,기타문화관광지
전체,20,산성동,중구 무수동 무수천하마을,대전 중구 운남로85번길 5-0,역사유적지
전체,21,산성동,산서생활체육공원,대전 중구,도시공원
전체,21,산성동,에듀사이버평생교육원본원,대전 중구 산서로62번길 5-0,체험관광기타
전체,23,산성동,대전보훈공원,대전 중구,도시공원
전체,23,산성동,유회당,대전 중구 운남로85번길 32-18,역사유적지
전체,25,산성동,사정공원숲속자연놀이터,대전 중구,테마공원
