축제명,그룹명,개최년도,구분명,지표값
대전효문화뿌리축제,축제기간,2025,외부방문자 유입,0.641
대전효문화뿌리축제,축제기간,2025,현지인방문자 유입,0.914
대전효문화뿌리축제,축제기간,2025,내비게이션 검색량,0.412
대전효문화뿌리축제,축제기간,2025,관광소비,0.775
대전효문화뿌리축제,축제기간,2025,축제지 집중률,0.764
대전효문화뿌리축제,비축제기간,2025,외부방문자 유입,0.471
대전효문화뿌리축제,비축제기간,2025,현지인방문자 유입,0.778
대전효문화뿌리축제,비축제기간,2025,내비게이션 검색량,0.352
대전효문화뿌리축제,비축제기간,2025,관광소비,0.713
대전효문화뿌리축제,비축제기간,2025,축제지 집중률,0.599
대전효문화뿌리축제,축제기간,2024,외부방문자 유입,0.811
대전효문화뿌리축제,축제기간,2024,현지인방문자 유입,0.974
대전효문화뿌리축제,축제기간,2024,내비게이션 검색량,0.716
대전효문화뿌리축제,축제기간,2024,관광소비,0.713
대전효문화뿌리축제,축제기간,2024,축제지 집중률,0.967
대전효문화뿌리축제,비축제기간,2024,외부방문자 유입,0.532
대전효문화뿌리축제,비축제기간,2024,현지인방문자 유입,0.793
대전효문화뿌리축제,비축제기간,2024,내비게이션 검색량,0.421
대전효문화뿌리축제,비축제기간,2024,관광소비,0.724
대전효문화뿌리축제,비축제기간,2024,축제지 집중률,0.632
대전효문화뿌리축제,축제기간,2023,외부방문자 유입,0.787
대전효문화뿌리축제,축제기간,2023,현지인방문자 유입,0.94
대전효문화뿌리축제,축제기간,2023,내비게이션 검색량,0.685
대전효문화뿌리축제,축제기간,2023,관광소비,0.725
대전효문화뿌리축제,축제기간,2023,축제지 집중률,0.935
대전효문화뿌리축제,비축제기간,2023,외부방문자 유입,0.526
대전효문화뿌리축제,비축제기간,2023,현지인방문자 유입,0.699
대전효문화뿌리축제,비축제기간,2023,내비게이션 검색량,0.448
대전효문화뿌리축제,비축제기간,2023,관광소비,0.731
대전효문화뿌리축제,비축제기간,2023,축제지 집중률,0.664
