축제명,그룹명,개최년도,구분명,지표값
동래읍성역사축제,축제기간,2025,외부방문자 유입,0.743
동래읍성역사축제,축제기간,2025,현지인방문자 유입,0.884
동래읍성역사축제,축제기간,2025,내비게이션 검색량,0.734
동래읍성역사축제,축제기간,2025,관광소비,0.647
동래읍성역사축제,축제기간,2025,축제지 집중률,0.858
동래읍성역사축제,비축제기간,2025,외부방문자 유입,0.718
동래읍성역사축제,비축제기간,2025,현지인방문자 유입,0.859
동래읍성역사축제,비축제기간,2025,내비게이션 검색량,0.473
동래읍성역사축제,비축제기간,2025,관광소비,0.701
동래읍성역사축제,비축제기간,2025,축제지 집중률,0.839
동래읍성역사축제,축제기간,2024,외부방문자 유입,0.708
동래읍성역사축제,축제기간,2024,현지인방문자 유입,0.917
동래읍성역사축제,축제기간,2024,내비게이션 검색량,0.757
동래읍성역사축제,축제기간,2024,관광소비,0.526
동래읍성역사축제,축제기간,2024,축제지 집중률,0.917
동래읍성역사축제,비축제기간,2024,외부방문자 유입,0.671
동래읍성역사축제,비축제기간,2024,현지인방문자 유입,0.847
동래읍성역사축제,비축제기간,2024,내비게이션 검색량,0.65
동래읍성역사축제,비축제기간,2024,관광소비,0.602
동래읍성역사축제,비축제기간,2024,축제지 집중률,0.869
동래읍성역사축제,축제기간,2023,외부방문자 유입,0.768
동래읍성역사축제,축제기간,2023,현지인방문자 유입,0.967
동래읍성역사축제,축제기간,2023,내비게이션 검색량,0.641
동래읍성역사축제,축제기간,2023,관광소비,0.661
동래읍성역사축제,축제기간,2023,축제지 집중률,0.861
동래읍성역사축제,비축제기간,2023,외부방문자 유입,0.709
동래읍성역사축제,비축제기간,2023,현지인방문자 유입,0.825
동래읍성역사축제,비축제기간,2023,내비게이션 검색량,0.619
동래읍성역사축제,비축제기간,2023,관광소비,0.683
동래읍성역사축제,비축제기간,2023,축제지 집중률,0.782
