구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,만호동,목포항구축제,전남 목포시 삼학로 88-0,기타문화관광지
외지인,2,만호동,목포연안여객선터미널,전남 목포시 해안로 182-0,교통시설
외지인,3,만호동,목포항,전남 목포시,자연경관(하천/해양)
외지인,4,만호동,김대중노벨평화상기념관,전남 목포시 삼학로92번길 68-0,전시시설
외지인,5,만호동,목포항국제여객터미널,전남 목포시 해안로148번길 14-0,교통시설
외지인,6,만호동,목포어린이바다과학관,전남 목포시 삼학로92번길 98-0,전시시설
외지인,7,만호동,삼학도공원,전남 목포시,도시공원
외지인,8,만호동,삼학부두여객선터미널,전남 목포시 삼학로158번길 65-0,교통시설
외지인,9,만호동,목포요트마리나,전남 목포시 삼학로 88-56,수상레저스포츠
외지인,10,만호동,항동시장,전남 목포시 수강로3번길 17-0,시장
외지인,11,만호동,목포남항,전남 목포시,자연경관(하천/해양)
외지인,12,만호동,동명도매어시장,전남 목포시 수강로12번길 42-0,시장
외지인,13,만호동,목포외항,전남 목포시,자연경관(하천/해양)
외지인,14,만호동,목포진역사공원,전남 목포시 목포진길11번길 11-2,도시공원
외지인,14,만호동,목포연안여객선터미널목포신안관광홍보관,전남 목포시 해안로 182-0,기타관광
외지인,16,만호동,목포근대역사문화공간,전남 목포시,역사유적지
외지인,17,만호동,난영공원,전남 목포시,도시공원
외지인,17,만호동,목포미식문화갤러리 해관1897,전남 목포시 해안로177번길 10-0,기타문화관광지
전체,1,만호동,목포항구축제,전남 목포시 삼학로 88-0,기타문화관광지
전체,2,만호동,목포연안여객선터미널,전남 목포시 해안로 182-0,교통시설
전체,3,만호동,목포항,전남 목포시,자연경관(하천/해양)
전체,4,만호동,김대중노벨평화상기념관,전남 목포시 삼학로92번길 68-0,전시시설
전체,5,만호동,목포항국제여객터미널,전남 목포시 해안로148번길 14-0,교통시설
전체,6,만호동,삼학도공원,전남 목포시,도시공원
전체,7,만호동,목포어린이바다과학관,전남 목포시 삼학로92번길 98-0,전시시설
전체,8,만호동,삼학부두여객선터미널,전남 목포시 삼학로158번길 65-0,교통시설
전체,9,만호동,목포요트마리나,전남 목포시 삼학로 88-56,수상레저스포츠
전체,10,만호동,항동시장,전남 목포시 수강로3번길 17-0,시장
전체,11,만호동,목포남항,전남 목포시,자연경관(하천/해양)
전체,12,만호동,동명도매어시장,전남 목포시 수강로12번길 42-0,시장
전체,13,만호동,목포외항,전남 목포시,자연경관(하천/해양)
전체,14,만호동,목포진역사공원,전남 목포시 목포진길11번길 11-2,도시공원
전체,15,만호동,목포연안여객선터미널목포신안관광홍보관,전남 목포시 해안로 182-0,기타관광
전체,16,만호동,목포근대역사문화공간,전남 목포시,역사유적지
전체,17,만호동,목포미식문화갤러리 해관1897,전남 목포시 해안로177번길 10-0,기타문화관광지
전체,17,만호동,난영공원,전남 목포시,도시공원
현지인,1,만호동,목포항구축제,전남 목포시 삼학로 88-0,기타문화관광지
현지인,2,만호동,목포연안여객선터미널,전남 목포시 해안로 182-0,교통시설
현지인,3,만호동,김대중노벨평화상기념관,전남 목포시 삼학로92번길 68-0,전시시설
현지인,4,만호동,목포항,전남 목포시,자연경관(하천/해양)
현지인,5,만호동,목포항국제여객터미널,전남 목포시 해안로148번길 14-0,교통시설
현지인,6,만호동,삼학도공원,전남 목포시,도시공원
현지인,7,만호동,목포어린이바다과학관,전남 목포시 삼학로92번길 98-0,전시시설
현지인,8,만호동,삼학부두여객선터미널,전남 목포시 삼학로158번길 65-0,교통시설
현지인,9,만호동,목포요트마리나,전남 목포시 삼학로 88-56,수상레저스포츠
현지인,10,만호동,항동시장,전남 목포시 수강로3번길 17-0,시장
현지인,11,만호동,목포남항,전남 목포시,자연경관(하천/해양)
현지인,12,만호동,동명도매어시장,전남 목포시 수강로12번길 42-0,시장
현지인,13,만호동,목포외항,전남 목포시,자연경관(하천/해양)
현지인,13,만호동,목포진역사공원,전남 목포시 목포진길11번길 11-2,도시공원
현지인,15,만호동,난영공원,전남 목포시,도시공원
현지인,15,만호동,목포연안여객선터미널목포신안관광홍보관,전남 목포시 해안로 182-0,기타관광
현지인,15,만호동,목포근대역사문화공간,전남 목포시,역사유적지
현지인,15,만호동,목포미식문화갤러리 해관1897,전남 목포시 해안로177번길 10-0,기타문화관광지
