구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,무주읍,무주반딧불축제,전북 무주군,기타문화관광지
외지인,2,무주읍,무주시외버스터미널,전북 무주군 한풍루로 351-0,교통시설
외지인,3,무주읍,무주반딧불시장,전북 무주군 장터로 2-0,시장
외지인,4,무주읍,향로산자연휴양림,전북 무주군 무학로 153-36,자연공원
외지인,5,무주읍,소이나루공원,전북 무주군,도시공원
외지인,6,무주읍,김환태문학관최북미술관,전북 무주군 최북로 15-0,전시시설
외지인,7,무주읍,무주한풍루,전북 무주군,역사유적지
외지인,8,무주읍,남대천별빛다리,전북 무주군,기타관광
외지인,9,무주읍,향로산자연휴양림모노레일,전북 무주군 무학로 153-36,기타관광
외지인,10,무주읍,무주향교,전북 무주군 단천로 135-0,역사유적지
외지인,11,무주읍,무주상상반디숲,전북 무주군 최북로 7-0,기타문화관광지
외지인,12,무주읍,지남공원,전북 무주군 한풍루로 326-5,도시공원
외지인,13,무주읍,무주목재문화체험장,전북 무주군 무학로 153-18,기타문화관광지
외지인,14,무주읍,무주종합수련원,전북 무주군 괴목로 1330-0,육상레저스포츠
외지인,15,무주읍,무주전통생활문화체험관,전북 무주군 김환태로 16-7,기타문화관광지
외지인,16,무주읍,무주향로산자연휴양림숲속나무집,전북 무주군,자연공원
외지인,17,무주읍,무주산골영화관,전북 무주군 한풍루로 326-17,공연시설
외지인,18,무주읍,무주데프콘,전북 무주군 무설로 104-0,수상레저스포츠
외지인,19,무주읍,김태홍스포츠아카데미,전북 무주군 무금로 312-0,기타레저스포츠
외지인,20,무주읍,무주군평생교육원,전북 무주군 한풍루로 326-36,체험관광기타
외지인,21,무주읍,내도리강변유원지,전북 무주군,복합관광시설
외지인,22,무주읍,무주향로산자연휴양림방문자센터,전북 무주군 무학로 153-36,기타관광
외지인,23,무주읍,한풍루어울터,전북 무주군,역사유적지
외지인,23,무주읍,무주군관광안내소,전북 무주군 한풍루로 344-0,기타관광
외지인,25,무주읍,무주공원,전북 무주군,도시공원
외지인,25,무주읍,무주래프팅,전북 무주군 잠두길 5-11,수상레저스포츠
외지인,27,무주읍,무주스피드레저,전북 무주군 잠두길 5-11,수상레저스포츠
외지인,28,무주읍,약천사,전북 무주군 대차로 396-5,종교성지
외지인,29,무주읍,무주관광농원,전북 무주군,농/산/어촌체험
외지인,29,무주읍,남대천,전북 무주군,기타관광
외지인,29,무주읍,전통공예문화촌,전북 무주군 김환태로 16-6,테마공원
외지인,29,무주읍,무주F1패러글라이딩,전북 무주군 내도로 373-30,항공레저스포츠
전체,1,무주읍,무주반딧불축제,전북 무주군,기타문화관광지
전체,2,무주읍,무주시외버스터미널,전북 무주군 한풍루로 351-0,교통시설
전체,3,무주읍,무주반딧불시장,전북 무주군 장터로 2-0,시장
전체,4,무주읍,향로산자연휴양림,전북 무주군 무학로 153-36,자연공원
전체,5,무주읍,소이나루공원,전북 무주군,도시공원
전체,6,무주읍,김환태문학관최북미술관,전북 무주군 최북로 15-0,전시시설
전체,7,무주읍,무주한풍루,전북 무주군,역사유적지
전체,8,무주읍,남대천별빛다리,전북 무주군,기타관광
전체,9,무주읍,향로산자연휴양림모노레일,전북 무주군 무학로 153-36,기타관광
전체,10,무주읍,무주향교,전북 무주군 단천로 135-0,역사유적지
전체,11,무주읍,무주상상반디숲,전북 무주군 최북로 7-0,기타문화관광지
전체,12,무주읍,무주목재문화체험장,전북 무주군 무학로 153-18,기타문화관광지
전체,12,무주읍,무주종합수련원,전북 무주군 괴목로 1330-0,육상레저스포츠
전체,14,무주읍,지남공원,전북 무주군 한풍루로 326-5,도시공원
전체,15,무주읍,무주전통생활문화체험관,전북 무주군 김환태로 16-7,기타문화관광지
전체,16,무주읍,무주향로산자연휴양림숲속나무집,전북 무주군,자연공원
전체,17,무주읍,무주산골영화관,전북 무주군 한풍루로 326-17,공연시설
전체,18,무주읍,무주데프콘,전북 무주군 무설로 104-0,수상레저스포츠
전체,19,무주읍,김태홍스포츠아카데미,전북 무주군 무금로 312-0,기타레저스포츠
전체,20,무주읍,무주군평생교육원,전북 무주군 한풍루로 326-36,체험관광기타
전체,21,무주읍,내도리강변유원지,전북 무주군,복합관광시설
전체,22,무주읍,무주향로산자연휴양림방문자센터,전북 무주군 무학로 153-36,기타관광
전체,23,무주읍,한풍루어울터,전북 무주군,역사유적지
전체,23,무주읍,무주군관광안내소,전북 무주군 한풍루로 344-0,기타관광
전체,25,무주읍,무주공원,전북 무주군,도시공원
전체,25,무주읍,무주스피드레저,전북 무주군 잠두길 5-11,수상레저스포츠
전체,27,무주읍,무주래프팅,전북 무주군 잠두길 5-11,수상레저스포츠
전체,28,무주읍,남대천,전북 무주군,기타관광
