축제명,그룹명,개최년도,구분명,지표값
무주반딧불축제,축제기간,2025,외부방문자 유입,0.458
무주반딧불축제,축제기간,2025,현지인방문자 유입,0.886
무주반딧불축제,축제기간,2025,내비게이션 검색량,0.359
무주반딧불축제,축제기간,2025,관광소비,0.182
무주반딧불축제,축제기간,2025,축제지 집중률,0.795
무주반딧불축제,비축제기간,2025,외부방문자 유입,0.289
무주반딧불축제,비축제기간,2025,현지인방문자 유입,0.715
무주반딧불축제,비축제기간,2025,내비게이션 검색량,0.168
무주반딧불축제,비축제기간,2025,관광소비,0.248
무주반딧불축제,비축제기간,2025,축제지 집중률,0.395
무주반딧불축제,축제기간,2024,외부방문자 유입,0.514
무주반딧불축제,축제기간,2024,현지인방문자 유입,0.923
무주반딧불축제,축제기간,2024,내비게이션 검색량,0.446
무주반딧불축제,축제기간,2024,관광소비,0.265
무주반딧불축제,축제기간,2024,축제지 집중률,0.9
무주반딧불축제,비축제기간,2024,외부방문자 유입,0.288
무주반딧불축제,비축제기간,2024,현지인방문자 유입,0.733
무주반딧불축제,비축제기간,2024,내비게이션 검색량,0.164
무주반딧불축제,비축제기간,2024,관광소비,0.286
무주반딧불축제,비축제기간,2024,축제지 집중률,0.468
무주반딧불축제,축제기간,2023,외부방문자 유입,0.457
무주반딧불축제,축제기간,2023,현지인방문자 유입,0.891
무주반딧불축제,축제기간,2023,내비게이션 검색량,0.403
무주반딧불축제,축제기간,2023,관광소비,0.234
무주반딧불축제,축제기간,2023,축제지 집중률,0.782
무주반딧불축제,비축제기간,2023,외부방문자 유입,0.212
무주반딧불축제,비축제기간,2023,현지인방문자 유입,0.689
무주반딧불축제,비축제기간,2023,내비게이션 검색량,0.116
무주반딧불축제,비축제기간,2023,관광소비,0.246
무주반딧불축제,비축제기간,2023,축제지 집중률,0.382
