축제명,그룹명,개최년도,구분명,지표값
문경찻사발축제,축제기간,2025,외부방문자 유입,0.414
문경찻사발축제,축제기간,2025,현지인방문자 유입,0.86
문경찻사발축제,축제기간,2025,내비게이션 검색량,0.273
문경찻사발축제,축제기간,2025,관광소비,0.536
문경찻사발축제,축제기간,2025,축제지 집중률,0.716
문경찻사발축제,비축제기간,2025,외부방문자 유입,0.217
문경찻사발축제,비축제기간,2025,현지인방문자 유입,0.725
문경찻사발축제,비축제기간,2025,내비게이션 검색량,0.148
문경찻사발축제,비축제기간,2025,관광소비,0.381
문경찻사발축제,비축제기간,2025,축제지 집중률,0.607
문경찻사발축제,축제기간,2024,외부방문자 유입,0.347
문경찻사발축제,축제기간,2024,현지인방문자 유입,0.8
문경찻사발축제,축제기간,2024,내비게이션 검색량,0.253
문경찻사발축제,축제기간,2024,관광소비,0.554
문경찻사발축제,축제기간,2024,축제지 집중률,0.752
문경찻사발축제,비축제기간,2024,외부방문자 유입,0.197
문경찻사발축제,비축제기간,2024,현지인방문자 유입,0.665
문경찻사발축제,비축제기간,2024,내비게이션 검색량,0.156
문경찻사발축제,비축제기간,2024,관광소비,0.428
문경찻사발축제,비축제기간,2024,축제지 집중률,0.618
문경찻사발축제,축제기간,2023,외부방문자 유입,0.191
문경찻사발축제,축제기간,2023,현지인방문자 유입,0.873
문경찻사발축제,축제기간,2023,내비게이션 검색량,0.321
문경찻사발축제,축제기간,2023,관광소비,0.471
문경찻사발축제,축제기간,2023,축제지 집중률,0.645
문경찻사발축제,비축제기간,2023,외부방문자 유입,0.127
문경찻사발축제,비축제기간,2023,현지인방문자 유입,0.722
문경찻사발축제,비축제기간,2023,내비게이션 검색량,0.228
문경찻사발축제,비축제기간,2023,관광소비,0.378
문경찻사발축제,비축제기간,2023,축제지 집중률,0.56
