축제명,그룹명,개최년도,구분명,지표값
보령머드축제,축제기간,2025,외부방문자 유입,0.468
보령머드축제,축제기간,2025,현지인방문자 유입,0.821
보령머드축제,축제기간,2025,내비게이션 검색량,0.381
보령머드축제,축제기간,2025,관광소비,0.425
보령머드축제,축제기간,2025,축제지 집중률,0.875
보령머드축제,비축제기간,2025,외부방문자 유입,0.293
보령머드축제,비축제기간,2025,현지인방문자 유입,0.737
보령머드축제,비축제기간,2025,내비게이션 검색량,0.235
보령머드축제,비축제기간,2025,관광소비,0.286
보령머드축제,비축제기간,2025,축제지 집중률,0.757
보령머드축제,축제기간,2024,외부방문자 유입,0.533
보령머드축제,축제기간,2024,현지인방문자 유입,0.775
보령머드축제,축제기간,2024,내비게이션 검색량,0.475
보령머드축제,축제기간,2024,관광소비,0.518
보령머드축제,축제기간,2024,축제지 집중률,0.916
보령머드축제,비축제기간,2024,외부방문자 유입,0.361
보령머드축제,비축제기간,2024,현지인방문자 유입,0.683
보령머드축제,비축제기간,2024,내비게이션 검색량,0.315
보령머드축제,비축제기간,2024,관광소비,0.376
보령머드축제,비축제기간,2024,축제지 집중률,0.823
보령머드축제,축제기간,2023,외부방문자 유입,0.527
보령머드축제,축제기간,2023,현지인방문자 유입,0.822
보령머드축제,축제기간,2023,내비게이션 검색량,0.308
보령머드축제,축제기간,2023,관광소비,0.43
보령머드축제,축제기간,2023,축제지 집중률,0.898
보령머드축제,비축제기간,2023,외부방문자 유입,0.347
보령머드축제,비축제기간,2023,현지인방문자 유입,0.747
보령머드축제,비축제기간,2023,내비게이션 검색량,0.229
보령머드축제,비축제기간,2023,관광소비,0.299
보령머드축제,비축제기간,2023,축제지 집중률,0.835
