구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,보성읍,보성녹차밭,전남 보성군,기타관광
외지인,2,보성읍,보성다향대축제,전남 보성군 녹차로 775-0,기타문화관광지
외지인,3,보성읍,대한다업보성다원제1농장,전남 보성군 녹차로 763-65,농/산/어촌체험
외지인,4,보성읍,한국차문화공원,전남 보성군 녹차로 775-0,도시공원
외지인,5,보성읍,대한다원,전남 보성군 녹차로 763-67,복합관광시설
외지인,6,보성읍,보성역,전남 보성군 현충로 90-0,교통시설
외지인,7,보성읍,한국차박물관,전남 보성군 녹차로 775-0,전시시설
외지인,8,보성읍,보성시외버스터미널,전남 보성군 현충로 20-0,교통시설
외지인,9,보성읍,보성문화예술회관,전남 보성군 송재로 281-9,공연시설
외지인,10,보성읍,녹차골보성향토시장,전남 보성군 봉화로 53-0,시장
외지인,11,보성읍,보성군청소년수련원,전남 보성군 녹차로 771-0,육상레저스포츠
외지인,12,보성읍,다향아트밸리,전남 보성군 녹차로 783-0,기타문화관광지
외지인,13,보성읍,봇재,전남 보성군 녹차로 750-0,기타관광
외지인,14,보성읍,보성에덴CC,전남 보성군,육상레저스포츠
외지인,15,보성읍,녹차골보성작은영화관,전남 보성군 현충로 44-12,공연시설
외지인,16,보성읍,관음사,전남 보성군 일림로 1316-43,종교성지
외지인,17,보성읍,보성매일시장,전남 보성군 신흥길 9-0,시장
외지인,18,보성읍,서편제보성소리축제(보성군문화예술회관),전남 보성군 송재로 281-9,기타문화관광지
외지인,19,보성읍,오충사,전남 보성군 중앙로 80-0,역사유적지
외지인,20,보성읍,보성관광녹차생태공원,전남 보성군 녹차로 750-0,도시공원
외지인,20,보성읍,불광사,전남 보성군 송재로 59-80,종교성지
외지인,20,보성읍,보성군천문과학관,전남 보성군 녹차로 773-0,전시시설
전체,1,보성읍,보성녹차밭,전남 보성군,기타관광
전체,2,보성읍,보성다향대축제,전남 보성군 녹차로 775-0,기타문화관광지
전체,3,보성읍,대한다업보성다원제1농장,전남 보성군 녹차로 763-65,농/산/어촌체험
전체,4,보성읍,한국차문화공원,전남 보성군 녹차로 775-0,도시공원
전체,5,보성읍,대한다원,전남 보성군 녹차로 763-67,복합관광시설
전체,6,보성읍,보성역,전남 보성군 현충로 90-0,교통시설
전체,7,보성읍,한국차박물관,전남 보성군 녹차로 775-0,전시시설
전체,8,보성읍,보성시외버스터미널,전남 보성군 현충로 20-0,교통시설
전체,9,보성읍,보성문화예술회관,전남 보성군 송재로 281-9,공연시설
전체,10,보성읍,녹차골보성향토시장,전남 보성군 봉화로 53-0,시장
전체,11,보성읍,보성군청소년수련원,전남 보성군 녹차로 771-0,육상레저스포츠
전체,12,보성읍,다향아트밸리,전남 보성군 녹차로 783-0,기타문화관광지
전체,13,보성읍,봇재,전남 보성군 녹차로 750-0,기타관광
전체,14,보성읍,보성에덴CC,전남 보성군,육상레저스포츠
전체,15,보성읍,녹차골보성작은영화관,전남 보성군 현충로 44-12,공연시설
전체,16,보성읍,관음사,전남 보성군 일림로 1316-43,종교성지
전체,17,보성읍,보성매일시장,전남 보성군 신흥길 9-0,시장
전체,17,보성읍,서편제보성소리축제(보성군문화예술회관),전남 보성군 송재로 281-9,기타문화관광지
전체,19,보성읍,오충사,전남 보성군 중앙로 80-0,역사유적지
전체,20,보성읍,불광사,전남 보성군 송재로 59-80,종교성지
전체,21,보성읍,보성군천문과학관,전남 보성군 녹차로 773-0,전시시설
전체,21,보성읍,보성관광녹차생태공원,전남 보성군 녹차로 750-0,도시공원
현지인,1,보성읍,보성녹차밭,전남 보성군,기타관광
현지인,2,보성읍,보성다향대축제,전남 보성군 녹차로 775-0,기타문화관광지
현지인,3,보성읍,보성역,전남 보성군 현충로 90-0,교통시설
현지인,4,보성읍,한국차문화공원,전남 보성군 녹차로 775-0,도시공원
현지인,5,보성읍,대한다업보성다원제1농장,전남 보성군 녹차로 763-65,농/산/어촌체험
현지인,6,보성읍,한국차박물관,전남 보성군 녹차로 775-0,전시시설
현지인,7,보성읍,대한다원,전남 보성군 녹차로 763-67,복합관광시설
현지인,8,보성읍,보성시외버스터미널,전남 보성군 현충로 20-0,교통시설
현지인,9,보성읍,보성문화예술회관,전남 보성군 송재로 281-9,공연시설
현지인,10,보성읍,녹차골보성향토시장,전남 보성군 봉화로 53-0,시장
현지인,11,보성읍,다향아트밸리,전남 보성군 녹차로 783-0,기타문화관광지
현지인,12,보성읍,보성군청소년수련원,전남 보성군 녹차로 771-0,육상레저스포츠
현지인,13,보성읍,봇재,전남 보성군 녹차로 750-0,기타관광
현지인,14,보성읍,보성에덴CC,전남 보성군,육상레저스포츠
현지인,15,보성읍,녹차골보성작은영화관,전남 보성군 현충로 44-12,공연시설
현지인,16,보성읍,서편제보성소리축제(보성군문화예술회관),전남 보성군 송재로 281-9,기타문화관광지
현지인,17,보성읍,관음사,전남 보성군 일림로 1316-43,종교성지
현지인,17,보성읍,보성매일시장,전남 보성군 신흥길 9-0,시장
현지인,19,보성읍,불광사,전남 보성군 송재로 59-80,종교성지
현지인,20,보성읍,오충사,전남 보성군 중앙로 80-0,역사유적지
현지인,21,보성읍,보성관광녹차생태공원,전남 보성군 녹차로 750-0,도시공원
현지인,21,보성읍,보성군천문과학관,전남 보성군 녹차로 773-0,전시시설
