구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,대구면,고려청자박물관,전남 강진군 청자촌길 33-0,전시시설
외지인,2,대구면,강진고려청자요지,전남 강진군 청자촌길 33-0,역사유적지
외지인,3,대구면,청자다리,전남 강진군,기타관광
외지인,4,대구면,고려청자박물관디지털박물관,전남 강진군 청자촌길 45-0,전시시설
외지인,5,대구면,한국민화뮤지엄,전남 강진군 청자촌길 61-5,전시시설
외지인,6,대구면,정수사,전남 강진군 정수사길 459-0,종교성지
외지인,7,대구면,현선농장,전남 강진군 민등길 67-0,농/산/어촌체험
전체,1,대구면,고려청자박물관,전남 강진군 청자촌길 33-0,전시시설
전체,2,대구면,강진고려청자요지,전남 강진군 청자촌길 33-0,역사유적지
전체,3,대구면,청자다리,전남 강진군,기타관광
전체,4,대구면,고려청자박물관디지털박물관,전남 강진군 청자촌길 45-0,전시시설
전체,5,대구면,한국민화뮤지엄,전남 강진군 청자촌길 61-5,전시시설
전체,6,대구면,정수사,전남 강진군 정수사길 459-0,종교성지
전체,7,대구면,현선농장,전남 강진군 민등길 67-0,농/산/어촌체험
현지인,1,대구면,고려청자박물관,전남 강진군 청자촌길 33-0,전시시설
현지인,2,대구면,강진고려청자요지,전남 강진군 청자촌길 33-0,역사유적지
현지인,3,대구면,청자다리,전남 강진군,기타관광
현지인,4,대구면,현선농장,전남 강진군 민등길 67-0,농/산/어촌체험
현지인,4,대구면,정수사,전남 강진군 정수사길 459-0,종교성지
현지인,4,대구면,고려청자박물관디지털박물관,전남 강진군 청자촌길 45-0,전시시설
현지인,7,대구면,한국민화뮤지엄,전남 강진군 청자촌길 61-5,전시시설
