구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,삼락동,삼락생태공원,부산 사상구,도시공원
외지인,2,삼락동,부산국제록페스티벌,부산 사상구,기타문화관광지
외지인,3,삼락동,삼락생태공원수영장휴업,부산 사상구,테마공원
외지인,4,삼락동,삼락생태공원인라인스케이트장1트랙,부산 사상구,육상레저스포츠
외지인,5,삼락동,삼락생태공원중앙광장,부산 사상구,도시공원
외지인,6,삼락동,삼락습지생태원,부산 사상구,도시공원
외지인,7,삼락동,부산가든쇼,부산 사상구 몰운대1길 14-0,기타문화관광지
외지인,8,삼락동,삼락생태공원인라인스케이트장2트랙,부산 사상구,육상레저스포츠
외지인,9,삼락동,사상강변축제,부산 사상구,기타문화관광지
외지인,10,삼락동,삼락생태공원축구장E,부산 사상구,레저스포츠시설
외지인,11,삼락동,삼락생태공원연꽃단지,부산 사상구,도시공원
외지인,12,삼락동,낙동정,부산 사상구,육상레저스포츠
외지인,13,삼락동,사상생활사박물관,부산 사상구 낙동대로1258번길 36-0,전시시설
외지인,14,삼락동,삼락생태공원인라인스케이트장3트랙,부산 사상구,육상레저스포츠
외지인,15,삼락동,삼락생태공원축구장A,부산 사상구,레저스포츠시설
외지인,16,삼락동,삼락생태공원야구장,부산 사상구,레저스포츠시설
외지인,16,삼락동,포레스트스포츠아카데미,부산 사상구 낙동대로1390번길 47-0,레저스포츠시설
외지인,18,삼락동,삼락수상레포츠타운,부산 사상구,수상레저스포츠
외지인,19,삼락동,삼장파크골프구장,부산 사상구,육상레저스포츠
전체,1,삼락동,삼락생태공원,부산 사상구,도시공원
전체,2,삼락동,부산국제록페스티벌,부산 사상구,기타문화관광지
전체,3,삼락동,삼락생태공원수영장휴업,부산 사상구,테마공원
전체,4,삼락동,삼락생태공원인라인스케이트장1트랙,부산 사상구,육상레저스포츠
전체,5,삼락동,삼락생태공원중앙광장,부산 사상구,도시공원
전체,6,삼락동,삼락습지생태원,부산 사상구,도시공원
전체,7,삼락동,삼락생태공원인라인스케이트장2트랙,부산 사상구,육상레저스포츠
전체,8,삼락동,부산가든쇼,부산 사상구 몰운대1길 14-0,기타문화관광지
전체,9,삼락동,사상강변축제,부산 사상구,기타문화관광지
전체,10,삼락동,삼락생태공원축구장E,부산 사상구,레저스포츠시설
전체,11,삼락동,사상생활사박물관,부산 사상구 낙동대로1258번길 36-0,전시시설
전체,12,삼락동,삼락생태공원연꽃단지,부산 사상구,도시공원
전체,13,삼락동,낙동정,부산 사상구,육상레저스포츠
전체,14,삼락동,삼락생태공원인라인스케이트장3트랙,부산 사상구,육상레저스포츠
전체,15,삼락동,삼락생태공원축구장A,부산 사상구,레저스포츠시설
전체,16,삼락동,삼락생태공원야구장,부산 사상구,레저스포츠시설
전체,17,삼락동,포레스트스포츠아카데미,부산 사상구 낙동대로1390번길 47-0,레저스포츠시설
전체,18,삼락동,삼락수상레포츠타운,부산 사상구,수상레저스포츠
전체,19,삼락동,삼장파크골프구장,부산 사상구,육상레저스포츠
현지인,1,삼락동,삼락생태공원,부산 사상구,도시공원
현지인,2,삼락동,부산국제록페스티벌,부산 사상구,기타문화관광지
현지인,3,삼락동,삼락생태공원인라인스케이트장1트랙,부산 사상구,육상레저스포츠
현지인,4,삼락동,삼락생태공원수영장휴업,부산 사상구,테마공원
현지인,5,삼락동,삼락생태공원인라인스케이트장2트랙,부산 사상구,육상레저스포츠
현지인,6,삼락동,삼락생태공원중앙광장,부산 사상구,도시공원
현지인,6,삼락동,삼락습지생태원,부산 사상구,도시공원
현지인,8,삼락동,사상생활사박물관,부산 사상구 낙동대로1258번길 36-0,전시시설
현지인,9,삼락동,삼락생태공원축구장E,부산 사상구,레저스포츠시설
현지인,10,삼락동,사상강변축제,부산 사상구,기타문화관광지
현지인,10,삼락동,낙동정,부산 사상구,육상레저스포츠
현지인,12,삼락동,삼락생태공원연꽃단지,부산 사상구,도시공원
현지인,12,삼락동,삼락생태공원인라인스케이트장3트랙,부산 사상구,육상레저스포츠
현지인,14,삼락동,부산가든쇼,부산 사상구 몰운대1길 14-0,기타문화관광지
현지인,15,삼락동,삼락생태공원축구장A,부산 사상구,레저스포츠시설
현지인,15,삼락동,삼락생태공원야구장,부산 사상구,레저스포츠시설
현지인,17,삼락동,삼락수상레포츠타운,부산 사상구,수상레저스포츠
현지인,18,삼락동,포레스트스포츠아카데미,부산 사상구 낙동대로1390번길 47-0,레저스포츠시설
현지인,19,삼락동,삼장파크골프구장,부산 사상구,육상레저스포츠
