축제명,그룹명,개최년도,구분명,지표값
부산국제록페스티벌,축제기간,2025,외부방문자 유입,0.966
부산국제록페스티벌,축제기간,2025,현지인방문자 유입,0.777
부산국제록페스티벌,축제기간,2025,내비게이션 검색량,0.659
부산국제록페스티벌,축제기간,2025,관광소비,0.818
부산국제록페스티벌,축제기간,2025,축제지 집중률,0.876
부산국제록페스티벌,비축제기간,2025,외부방문자 유입,0.185
부산국제록페스티벌,비축제기간,2025,현지인방문자 유입,0.656
부산국제록페스티벌,비축제기간,2025,내비게이션 검색량,0.306
부산국제록페스티벌,비축제기간,2025,관광소비,0.73
부산국제록페스티벌,비축제기간,2025,축제지 집중률,0.231
부산국제록페스티벌,축제기간,2024,외부방문자 유입,0.746
부산국제록페스티벌,축제기간,2024,현지인방문자 유입,0.586
부산국제록페스티벌,축제기간,2024,내비게이션 검색량,0.718
부산국제록페스티벌,축제기간,2024,관광소비,0.691
부산국제록페스티벌,축제기간,2024,축제지 집중률,0.874
부산국제록페스티벌,비축제기간,2024,외부방문자 유입,0.141
부산국제록페스티벌,비축제기간,2024,현지인방문자 유입,0.5
부산국제록페스티벌,비축제기간,2024,내비게이션 검색량,0.213
부산국제록페스티벌,비축제기간,2024,관광소비,0.696
부산국제록페스티벌,비축제기간,2024,축제지 집중률,0.212
