구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,부안읍,매창공원,전북 부안군 매창로 89-0,도시공원
외지인,2,부안읍,부안터미널,전북 부안군 석정로 210-0,교통시설
외지인,3,부안읍,부안상설시장,전북 부안군 부풍로 47-0,시장
외지인,4,부안읍,석정문학관,전북 부안군 선은1길 10-0,전시시설
외지인,5,부안읍,부안마실영화관,전북 부안군 예술회관길 11-0,공연시설
외지인,6,부안읍,부안프라자,전북 부안군 석정로 209-0,쇼핑몰
외지인,6,부안읍,부령수산,전북 부안군 번영로 117-0,시장
전체,1,부안읍,부안터미널,전북 부안군 석정로 210-0,교통시설
전체,2,부안읍,매창공원,전북 부안군 매창로 89-0,도시공원
전체,3,부안읍,부안상설시장,전북 부안군 부풍로 47-0,시장
전체,4,부안읍,석정문학관,전북 부안군 선은1길 10-0,전시시설
전체,5,부안읍,부안마실영화관,전북 부안군 예술회관길 11-0,공연시설
전체,6,부안읍,부령수산,전북 부안군 번영로 117-0,시장
전체,6,부안읍,부안프라자,전북 부안군 석정로 209-0,쇼핑몰
현지인,1,부안읍,부안터미널,전북 부안군 석정로 210-0,교통시설
현지인,2,부안읍,매창공원,전북 부안군 매창로 89-0,도시공원
현지인,3,부안읍,부안상설시장,전북 부안군 부풍로 47-0,시장
현지인,4,부안읍,부안마실영화관,전북 부안군 예술회관길 11-0,공연시설
현지인,4,부안읍,석정문학관,전북 부안군 선은1길 10-0,전시시설
현지인,6,부안읍,부령수산,전북 부안군 번영로 117-0,시장
현지인,6,부안읍,부안프라자,전북 부안군 석정로 209-0,쇼핑몰
