축제명,그룹명,개최년도,구분명,지표값
부천국제만화축제,축제기간,2025,외부방문자 유입,0.747
부천국제만화축제,축제기간,2025,현지인방문자 유입,0.746
부천국제만화축제,축제기간,2025,내비게이션 검색량,0.456
부천국제만화축제,축제기간,2025,관광소비,0.686
부천국제만화축제,축제기간,2025,축제지 집중률,0.472
부천국제만화축제,비축제기간,2025,외부방문자 유입,0.73
부천국제만화축제,비축제기간,2025,현지인방문자 유입,0.737
부천국제만화축제,비축제기간,2025,내비게이션 검색량,0.587
부천국제만화축제,비축제기간,2025,관광소비,0.683
부천국제만화축제,비축제기간,2025,축제지 집중률,0.492
부천국제만화축제,축제기간,2024,외부방문자 유입,0.691
부천국제만화축제,축제기간,2024,현지인방문자 유입,0.835
부천국제만화축제,축제기간,2024,내비게이션 검색량,0.794
부천국제만화축제,축제기간,2024,관광소비,0.715
부천국제만화축제,축제기간,2024,축제지 집중률,0.864
부천국제만화축제,비축제기간,2024,외부방문자 유입,0.623
부천국제만화축제,비축제기간,2024,현지인방문자 유입,0.843
부천국제만화축제,비축제기간,2024,내비게이션 검색량,0.608
부천국제만화축제,비축제기간,2024,관광소비,0.657
부천국제만화축제,비축제기간,2024,축제지 집중률,0.764
부천국제만화축제,축제기간,2023,외부방문자 유입,0.669
부천국제만화축제,축제기간,2023,현지인방문자 유입,0.873
부천국제만화축제,축제기간,2023,내비게이션 검색량,0.637
부천국제만화축제,축제기간,2023,관광소비,0.709
부천국제만화축제,축제기간,2023,축제지 집중률,0.82
부천국제만화축제,비축제기간,2023,외부방문자 유입,0.648
부천국제만화축제,비축제기간,2023,현지인방문자 유입,0.852
부천국제만화축제,비축제기간,2023,내비게이션 검색량,0.559
부천국제만화축제,비축제기간,2023,관광소비,0.674
부천국제만화축제,비축제기간,2023,축제지 집중률,0.791
