구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,부평1동,모다아울렛부평점,인천 부평구 부평문화로 35-0,쇼핑몰
외지인,2,부평1동,부평역사쇼핑몰,인천 부평구 광장로 16-0,쇼핑몰
외지인,3,부평1동,롯데시네마부평역사,인천 부평구 광장로 16-0,공연시설
외지인,4,부평1동,대한극장,인천 부평구 경원대로 1382-0,공연시설
전체,1,부평1동,모다아울렛부평점,인천 부평구 부평문화로 35-0,쇼핑몰
전체,2,부평1동,부평역사쇼핑몰,인천 부평구 광장로 16-0,쇼핑몰
전체,3,부평1동,롯데시네마부평역사,인천 부평구 광장로 16-0,공연시설
전체,4,부평1동,대한극장,인천 부평구 경원대로 1382-0,공연시설
현지인,1,부평1동,모다아울렛부평점,인천 부평구 부평문화로 35-0,쇼핑몰
현지인,2,부평1동,부평역사쇼핑몰,인천 부평구 광장로 16-0,쇼핑몰
현지인,3,부평1동,롯데시네마부평역사,인천 부평구 광장로 16-0,공연시설
현지인,4,부평1동,대한극장,인천 부평구 경원대로 1382-0,공연시설
