축제명,그룹명,개최년도,구분명,지표값
부평풍물대축제,축제기간,2025,외부방문자 유입,0.753
부평풍물대축제,축제기간,2025,현지인방문자 유입,0.863
부평풍물대축제,축제기간,2025,내비게이션 검색량,0.497
부평풍물대축제,축제기간,2025,관광소비,0.78
부평풍물대축제,축제기간,2025,축제지 집중률,0.894
부평풍물대축제,비축제기간,2025,외부방문자 유입,0.612
부평풍물대축제,비축제기간,2025,현지인방문자 유입,0.687
부평풍물대축제,비축제기간,2025,내비게이션 검색량,0.584
부평풍물대축제,비축제기간,2025,관광소비,0.73
부평풍물대축제,비축제기간,2025,축제지 집중률,0.806
부평풍물대축제,축제기간,2024,외부방문자 유입,0.75
부평풍물대축제,축제기간,2024,현지인방문자 유입,0.826
부평풍물대축제,축제기간,2024,내비게이션 검색량,0.687
부평풍물대축제,축제기간,2024,관광소비,0.651
부평풍물대축제,축제기간,2024,축제지 집중률,0.896
부평풍물대축제,비축제기간,2024,외부방문자 유입,0.639
부평풍물대축제,비축제기간,2024,현지인방문자 유입,0.69
부평풍물대축제,비축제기간,2024,내비게이션 검색량,0.657
부평풍물대축제,비축제기간,2024,관광소비,0.669
부평풍물대축제,비축제기간,2024,축제지 집중률,0.772
부평풍물대축제,축제기간,2023,외부방문자 유입,0.794
부평풍물대축제,축제기간,2023,현지인방문자 유입,0.886
부평풍물대축제,축제기간,2023,내비게이션 검색량,0.805
부평풍물대축제,축제기간,2023,관광소비,0.865
부평풍물대축제,축제기간,2023,축제지 집중률,0.912
부평풍물대축제,비축제기간,2023,외부방문자 유입,0.624
부평풍물대축제,비축제기간,2023,현지인방문자 유입,0.665
부평풍물대축제,비축제기간,2023,내비게이션 검색량,0.676
부평풍물대축제,비축제기간,2023,관광소비,0.746
부평풍물대축제,비축제기간,2023,축제지 집중률,0.795
