구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,금서면,동의보감촌,경남 산청군 동의보감로555번길 45-6,기타관광
외지인,2,금서면,산청한방약초축제,경남 산청군 동의보감로555번길 45-6,기타문화관광지
외지인,3,금서면,산청세계전통의약항노화엑스포,경남 산청군 동의보감로555번길 45-6,기타문화관광지
외지인,4,금서면,산청엑스포기체험관,경남 산청군 동의보감로555번길 150-0,기타관광
외지인,5,금서면,무릉교,경남 산청군 동의보감로555번길 61-0,기타관광
외지인,6,금서면,한방테마공원,경남 산청군 동의보감로555번길 61-0,도시공원
외지인,7,금서면,한방자연휴양림,경남 산청군 동의보감로555번길 186-0,자연공원
외지인,8,금서면,산청전구형왕릉,경남 산청군 구형왕릉로 92-12,역사유적지
외지인,9,금서면,산청한의학박물관,경남 산청군 동의보감로555번길 61-0,전시시설
외지인,10,금서면,금수암,경남 산청군 새터길 57-98,종교성지
외지인,11,금서면,선림사,경남 산청군 화계오봉로540번길 42-14,종교성지
전체,1,금서면,동의보감촌,경남 산청군 동의보감로555번길 45-6,기타관광
전체,2,금서면,산청한방약초축제,경남 산청군 동의보감로555번길 45-6,기타문화관광지
전체,3,금서면,산청세계전통의약항노화엑스포,경남 산청군 동의보감로555번길 45-6,기타문화관광지
전체,4,금서면,산청엑스포기체험관,경남 산청군 동의보감로555번길 150-0,기타관광
전체,5,금서면,무릉교,경남 산청군 동의보감로555번길 61-0,기타관광
전체,6,금서면,한방테마공원,경남 산청군 동의보감로555번길 61-0,도시공원
전체,7,금서면,한방자연휴양림,경남 산청군 동의보감로555번길 186-0,자연공원
전체,8,금서면,산청전구형왕릉,경남 산청군 구형왕릉로 92-12,역사유적지
전체,9,금서면,산청한의학박물관,경남 산청군 동의보감로555번길 61-0,전시시설
전체,10,금서면,금수암,경남 산청군 새터길 57-98,종교성지
전체,11,금서면,선림사,경남 산청군 화계오봉로540번길 42-14,종교성지
현지인,1,금서면,동의보감촌,경남 산청군 동의보감로555번길 45-6,기타관광
현지인,2,금서면,산청한방약초축제,경남 산청군 동의보감로555번길 45-6,기타문화관광지
현지인,3,금서면,산청세계전통의약항노화엑스포,경남 산청군 동의보감로555번길 45-6,기타문화관광지
현지인,4,금서면,산청엑스포기체험관,경남 산청군 동의보감로555번길 150-0,기타관광
현지인,5,금서면,무릉교,경남 산청군 동의보감로555번길 61-0,기타관광
현지인,6,금서면,한방자연휴양림,경남 산청군 동의보감로555번길 186-0,자연공원
현지인,7,금서면,산청전구형왕릉,경남 산청군 구형왕릉로 92-12,역사유적지
현지인,8,금서면,한방테마공원,경남 산청군 동의보감로555번길 61-0,도시공원
현지인,9,금서면,금수암,경남 산청군 새터길 57-98,종교성지
현지인,9,금서면,산청한의학박물관,경남 산청군 동의보감로555번길 61-0,전시시설
현지인,11,금서면,선림사,경남 산청군 화계오봉로540번길 42-14,종교성지
