축제명,그룹명,개최년도,구분명,지표값
산청한방약초축제,축제기간,2024,외부방문자 유입,0.624
산청한방약초축제,축제기간,2024,현지인방문자 유입,0.82
산청한방약초축제,축제기간,2024,내비게이션 검색량,0.581
산청한방약초축제,축제기간,2024,관광소비,0.496
산청한방약초축제,축제기간,2024,축제지 집중률,0.824
산청한방약초축제,비축제기간,2024,외부방문자 유입,0.297
산청한방약초축제,비축제기간,2024,현지인방문자 유입,0.499
산청한방약초축제,비축제기간,2024,내비게이션 검색량,0.163
산청한방약초축제,비축제기간,2024,관광소비,0.459
산청한방약초축제,비축제기간,2024,축제지 집중률,0.44
산청한방약초축제,축제기간,2023,외부방문자 유입,0.425
산청한방약초축제,축제기간,2023,현지인방문자 유입,0.674
산청한방약초축제,축제기간,2023,내비게이션 검색량,0.452
산청한방약초축제,축제기간,2023,관광소비,0.616
산청한방약초축제,축제기간,2023,축제지 집중률,0.903
산청한방약초축제,비축제기간,2023,외부방문자 유입,0.271
산청한방약초축제,비축제기간,2023,현지인방문자 유입,0.575
산청한방약초축제,비축제기간,2023,내비게이션 검색량,0.212
산청한방약초축제,비축제기간,2023,관광소비,0.482
산청한방약초축제,비축제기간,2023,축제지 집중률,0.651
