구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,해미면,해미읍성,충남 서산시 남문2로 143-0,역사유적지
외지인,2,해미면,해미읍성사적116호,충남 서산시,역사유적지
외지인,3,해미면,서산해미읍성축제,충남 서산시 남문2로 143-0,기타문화관광지
외지인,4,해미면,서산공군체력단련장,충남 서산시,육상레저스포츠
외지인,5,해미면,가야산,충남 서산시,자연경관(산)
외지인,6,해미면,Wake-up국제청소년센터,충남 서산시 동문1길 42-0,육상레저스포츠
외지인,7,해미면,해미시장,충남 서산시 읍성마을2길 12-0,시장
외지인,8,해미면,해미시외버스정류소,충남 서산시 남문5로 9-0,교통시설
외지인,9,해미면,일락사,충남 서산시 일락골길 501-0,종교성지
외지인,10,해미면,대한승마원,충남 서산시 삼송버드실길 53-15,육상레저스포츠
외지인,11,해미면,서산해미천벚꽃길,충남 서산시,기타관광
외지인,11,해미면,해미향교,충남 서산시 해미향교길 2-13,역사유적지
외지인,13,해미면,서산해미읍성회화나무,충남 서산시 남문2로 143-0,기타관광
외지인,13,해미면,해미종합시장,충남 서산시 남문1로 47-0,시장
외지인,15,해미면,해미국제성지순례길,충남 서산시 성지1로 0-0,기타레저스포츠
전체,1,해미면,해미읍성,충남 서산시 남문2로 143-0,역사유적지
전체,2,해미면,해미읍성사적116호,충남 서산시,역사유적지
전체,3,해미면,서산해미읍성축제,충남 서산시 남문2로 143-0,기타문화관광지
전체,4,해미면,서산공군체력단련장,충남 서산시,육상레저스포츠
전체,5,해미면,Wake-up국제청소년센터,충남 서산시 동문1길 42-0,육상레저스포츠
전체,6,해미면,가야산,충남 서산시,자연경관(산)
전체,7,해미면,해미시외버스정류소,충남 서산시 남문5로 9-0,교통시설
전체,8,해미면,해미시장,충남 서산시 읍성마을2길 12-0,시장
전체,9,해미면,일락사,충남 서산시 일락골길 501-0,종교성지
전체,10,해미면,대한승마원,충남 서산시 삼송버드실길 53-15,육상레저스포츠
전체,11,해미면,해미향교,충남 서산시 해미향교길 2-13,역사유적지
전체,12,해미면,서산해미천벚꽃길,충남 서산시,기타관광
전체,13,해미면,해미종합시장,충남 서산시 남문1로 47-0,시장
전체,14,해미면,서산해미읍성회화나무,충남 서산시 남문2로 143-0,기타관광
전체,15,해미면,해미국제성지순례길,충남 서산시 성지1로 0-0,기타레저스포츠
현지인,1,해미면,해미읍성,충남 서산시 남문2로 143-0,역사유적지
현지인,2,해미면,해미읍성사적116호,충남 서산시,역사유적지
현지인,3,해미면,서산공군체력단련장,충남 서산시,육상레저스포츠
현지인,4,해미면,서산해미읍성축제,충남 서산시 남문2로 143-0,기타문화관광지
현지인,5,해미면,Wake-up국제청소년센터,충남 서산시 동문1길 42-0,육상레저스포츠
현지인,6,해미면,해미시외버스정류소,충남 서산시 남문5로 9-0,교통시설
현지인,7,해미면,해미시장,충남 서산시 읍성마을2길 12-0,시장
현지인,8,해미면,일락사,충남 서산시 일락골길 501-0,종교성지
현지인,9,해미면,가야산,충남 서산시,자연경관(산)
현지인,10,해미면,해미향교,충남 서산시 해미향교길 2-13,역사유적지
현지인,10,해미면,대한승마원,충남 서산시 삼송버드실길 53-15,육상레저스포츠
현지인,12,해미면,서산해미천벚꽃길,충남 서산시,기타관광
현지인,13,해미면,해미종합시장,충남 서산시 남문1로 47-0,시장
현지인,14,해미면,서산해미읍성회화나무,충남 서산시 남문2로 143-0,기타관광
현지인,15,해미면,해미국제성지순례길,충남 서산시 성지1로 0-0,기타레저스포츠
