축제명,그룹명,개최년도,구분명,지표값
세종축제,축제기간,2025,외부방문자 유입,0.701
세종축제,축제기간,2025,현지인방문자 유입,0.906
세종축제,축제기간,2025,내비게이션 검색량,0.706
세종축제,축제기간,2025,관광소비,0.751
세종축제,축제기간,2025,축제지 집중률,0.798
세종축제,비축제기간,2025,외부방문자 유입,0.321
세종축제,비축제기간,2025,현지인방문자 유입,0.658
세종축제,비축제기간,2025,내비게이션 검색량,0.236
세종축제,비축제기간,2025,관광소비,0.767
세종축제,비축제기간,2025,축제지 집중률,0.399
세종축제,축제기간,2024,외부방문자 유입,0.675
세종축제,축제기간,2024,현지인방문자 유입,0.79
세종축제,축제기간,2024,내비게이션 검색량,0.599
세종축제,축제기간,2024,관광소비,0.73
세종축제,축제기간,2024,축제지 집중률,0.732
세종축제,비축제기간,2024,외부방문자 유입,0.323
세종축제,비축제기간,2024,현지인방문자 유입,0.53
세종축제,비축제기간,2024,내비게이션 검색량,0.247
세종축제,비축제기간,2024,관광소비,0.688
세종축제,비축제기간,2024,축제지 집중률,0.383
세종축제,축제기간,2023,외부방문자 유입,0.518
세종축제,축제기간,2023,현지인방문자 유입,0.838
세종축제,축제기간,2023,내비게이션 검색량,0.672
세종축제,축제기간,2023,관광소비,0.733
세종축제,축제기간,2023,축제지 집중률,0.683
세종축제,비축제기간,2023,외부방문자 유입,0.377
세종축제,비축제기간,2023,현지인방문자 유입,0.656
세종축제,비축제기간,2023,내비게이션 검색량,0.373
세종축제,비축제기간,2023,관광소비,0.711
세종축제,비축제기간,2023,축제지 집중률,0.492
