축제명,그룹명,개최년도,구분명,지표값
소래포구축제,축제기간,2025,외부방문자 유입,0.756
소래포구축제,축제기간,2025,현지인방문자 유입,0.785
소래포구축제,축제기간,2025,내비게이션 검색량,0.495
소래포구축제,축제기간,2025,관광소비,0.735
소래포구축제,축제기간,2025,축제지 집중률,0.666
소래포구축제,비축제기간,2025,외부방문자 유입,0.627
소래포구축제,비축제기간,2025,현지인방문자 유입,0.731
소래포구축제,비축제기간,2025,내비게이션 검색량,0.502
소래포구축제,비축제기간,2025,관광소비,0.719
소래포구축제,비축제기간,2025,축제지 집중률,0.604
소래포구축제,축제기간,2024,외부방문자 유입,0.891
소래포구축제,축제기간,2024,현지인방문자 유입,0.823
소래포구축제,축제기간,2024,내비게이션 검색량,0.839
소래포구축제,축제기간,2024,관광소비,0.726
소래포구축제,축제기간,2024,축제지 집중률,0.773
소래포구축제,비축제기간,2024,외부방문자 유입,0.67
소래포구축제,비축제기간,2024,현지인방문자 유입,0.764
소래포구축제,비축제기간,2024,내비게이션 검색량,0.647
소래포구축제,비축제기간,2024,관광소비,0.701
소래포구축제,비축제기간,2024,축제지 집중률,0.624
소래포구축제,축제기간,2023,외부방문자 유입,0.897
소래포구축제,축제기간,2023,현지인방문자 유입,0.771
소래포구축제,축제기간,2023,내비게이션 검색량,0.784
소래포구축제,축제기간,2023,관광소비,0.794
소래포구축제,축제기간,2023,축제지 집중률,0.725
소래포구축제,비축제기간,2023,외부방문자 유입,0.751
소래포구축제,비축제기간,2023,현지인방문자 유입,0.682
소래포구축제,비축제기간,2023,내비게이션 검색량,0.676
소래포구축제,비축제기간,2023,관광소비,0.704
소래포구축제,비축제기간,2023,축제지 집중률,0.633
