구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,두산동,수성못,대구 수성구,자연경관(하천/해양)
외지인,2,두산동,수성유원지,대구 수성구,복합관광시설
외지인,3,두산동,상화동산,대구 수성구 무학로 112-0,도시공원
외지인,4,두산동,수성못페스티벌,대구 수성구,기타문화관광지
외지인,5,두산동,펀더랜드,대구 수성구 용학로 106-7,테마공원
외지인,6,두산동,두산레포츠센터,대구 수성구,도시공원
외지인,7,두산동,울루루문화광장,대구 수성구 수성못2길 53-4,기타문화관광지
외지인,8,두산동,슈팅클럽,대구 수성구 상화로 106-0,육상레저스포츠
외지인,9,두산동,아트플렉스&윤선갤러리,대구 수성구 용학로 92-4,전시시설
외지인,10,두산동,전복마을,대구 수성구 지범로 63-0,시장
외지인,11,두산동,거목식물원,대구 수성구,테마공원
전체,1,두산동,수성못,대구 수성구,자연경관(하천/해양)
전체,2,두산동,수성유원지,대구 수성구,복합관광시설
전체,3,두산동,상화동산,대구 수성구 무학로 112-0,도시공원
전체,4,두산동,수성못페스티벌,대구 수성구,기타문화관광지
전체,5,두산동,펀더랜드,대구 수성구 용학로 106-7,테마공원
전체,6,두산동,두산레포츠센터,대구 수성구,도시공원
전체,7,두산동,울루루문화광장,대구 수성구 수성못2길 53-4,기타문화관광지
전체,8,두산동,슈팅클럽,대구 수성구 상화로 106-0,육상레저스포츠
전체,9,두산동,아트플렉스&윤선갤러리,대구 수성구 용학로 92-4,전시시설
전체,10,두산동,전복마을,대구 수성구 지범로 63-0,시장
전체,11,두산동,거목식물원,대구 수성구,테마공원
현지인,1,두산동,수성못,대구 수성구,자연경관(하천/해양)
현지인,2,두산동,수성유원지,대구 수성구,복합관광시설
현지인,3,두산동,상화동산,대구 수성구 무학로 112-0,도시공원
현지인,4,두산동,수성못페스티벌,대구 수성구,기타문화관광지
현지인,5,두산동,펀더랜드,대구 수성구 용학로 106-7,테마공원
현지인,6,두산동,두산레포츠센터,대구 수성구,도시공원
현지인,7,두산동,울루루문화광장,대구 수성구 수성못2길 53-4,기타문화관광지
현지인,8,두산동,슈팅클럽,대구 수성구 상화로 106-0,육상레저스포츠
현지인,9,두산동,전복마을,대구 수성구 지범로 63-0,시장
현지인,9,두산동,아트플렉스&윤선갤러리,대구 수성구 용학로 92-4,전시시설
현지인,11,두산동,거목식물원,대구 수성구,테마공원
