축제명,그룹명,개최년도,구분명,지표값
고령대가야축제,축제기간,2024,외부방문자 유입,0.892
고령대가야축제,축제기간,2024,현지인방문자 유입,0.899
고령대가야축제,축제기간,2024,내비게이션 검색량,0.798
고령대가야축제,축제기간,2024,관광소비,0.855
고령대가야축제,축제기간,2024,축제지 집중률,0.932
고령대가야축제,비축제기간,2024,외부방문자 유입,0.398
고령대가야축제,비축제기간,2024,현지인방문자 유입,0.738
고령대가야축제,비축제기간,2024,내비게이션 검색량,0.246
고령대가야축제,비축제기간,2024,관광소비,0.696
고령대가야축제,비축제기간,2024,축제지 집중률,0.623
고령대가야축제,축제기간,2023,외부방문자 유입,0.728
고령대가야축제,축제기간,2023,현지인방문자 유입,0.919
고령대가야축제,축제기간,2023,내비게이션 검색량,0.656
고령대가야축제,축제기간,2023,관광소비,0.649
고령대가야축제,축제기간,2023,축제지 집중률,0.887
고령대가야축제,비축제기간,2023,외부방문자 유입,0.378
고령대가야축제,비축제기간,2023,현지인방문자 유입,0.761
고령대가야축제,비축제기간,2023,내비게이션 검색량,0.267
고령대가야축제,비축제기간,2023,관광소비,0.566
고령대가야축제,비축제기간,2023,축제지 집중률,0.676
