구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,행궁동,화성행궁,경기 수원시 팔달구 정조로 825-0,역사유적지
외지인,2,행궁동,수원화성,경기 수원시 팔달구 정조로 825-0,역사유적지
외지인,3,행궁동,수원화성박물관,경기 수원시 팔달구 창룡대로 21-0,전시시설
외지인,4,행궁동,수원시립미술관,경기 수원시 팔달구 정조로 833-0,전시시설
외지인,5,행궁동,팔달문,경기 수원시 팔달구 정조로 780-0,역사유적지
외지인,6,행궁동,화서문,경기 수원시 팔달구,역사유적지
외지인,7,행궁동,수원전통문화관,경기 수원시 팔달구 정조로 893-0,기타문화관광지
외지인,8,행궁동,수원화성문화제,경기 수원시 팔달구 정조로 825-0,기타문화관광지
외지인,9,행궁동,창룡문,경기 수원시 팔달구 창룡대로 0-0,역사유적지
외지인,10,행궁동,방화수류정,경기 수원시 팔달구 수원천로392번길 44-6,역사유적지
외지인,11,행궁동,영동시장,경기 수원시 팔달구 수원천로255번길 6-0,시장
외지인,12,행궁동,화성행궁광장,경기 수원시 팔달구 정조로 825-0,역사유적지
외지인,13,행궁동,메가박스수원남문,경기 수원시 팔달구 행궁로 71-0,공연시설
외지인,14,행궁동,수원사,경기 수원시 팔달구 수원천로 300-0,종교성지
외지인,15,행궁동,팔달문시장,경기 수원시 팔달구 정조로776번길 8-0,시장
외지인,16,행궁동,정조테마공연장,경기 수원시 팔달구 정조로 817-0,공연시설
외지인,17,행궁동,연무대,경기 수원시 팔달구 창룡대로103번길 20-0,역사유적지
외지인,18,행궁동,화홍문,경기 수원시 팔달구,역사유적지
외지인,19,행궁동,여민각,경기 수원시 팔달구,기타관광
외지인,20,행궁동,화성어차연무대매표소,경기 수원시 팔달구 창룡대로 105-0,기타레저스포츠
외지인,21,행궁동,연무대관광안내소,경기 수원시 팔달구 창룡대로103번길 20-0,기타관광
외지인,22,행궁동,구천동공구시장,경기 수원시 팔달구 수원천로 207-0,시장
외지인,23,행궁동,수원시미디어센터,경기 수원시 팔달구 창룡대로 64-0,기타문화관광지
외지인,24,행궁동,한옥새움,경기 수원시 팔달구 정조로885번길 1-0,전시시설
외지인,25,행궁동,유가심인당,경기 수원시 팔달구 수원천로 361-0,종교성지
외지인,26,행궁동,팔달사,경기 수원시 팔달구 행궁로 68-0,종교성지
외지인,27,행궁동,봉수당,경기 수원시 팔달구 정조로 825-0,역사유적지
외지인,28,행궁동,행궁동벽화마을,경기 수원시 팔달구 화서문로72번길 17-10,기타관광
외지인,29,행궁동,수원화성국궁체험장,경기 수원시 팔달구 창룡대로103번길 8-0,육상레저스포츠
외지인,30,행궁동,남문로데오청소년문화공연장,경기 수원시 팔달구,공연시설
외지인,31,행궁동,연무정,경기 수원시 팔달구 창룡대로103번길 8-0,육상레저스포츠
외지인,32,행궁동,대승원,경기 수원시 팔달구 행궁로26번길 38-0,종교성지
외지인,32,행궁동,수원시무형유산전수회관,경기 수원시 팔달구 수원천로 372-0,체험관광기타
외지인,34,행궁동,수원화성동포루,경기 수원시 팔달구,기타관광
외지인,35,행궁동,복합문화공간가회당,경기 수원시 팔달구 행궁로 33-0,기타문화관광지
외지인,36,행궁동,화홍사랑채,경기 수원시 팔달구 수원천로 377-0,기타문화관광지
외지인,36,행궁동,강남수족관,경기 수원시 팔달구 정조로 745-0,테마공원
외지인,38,행궁동,행궁길갤러리,경기 수원시 팔달구 행궁로 18-0,전시시설
외지인,38,행궁동,미리내마술극단,경기 수원시 팔달구 정조로 767-8,공연시설
외지인,40,행궁동,화서문관광안내소,경기 수원시 팔달구 화서문로 19-0,기타관광
외지인,41,행궁동,전통식생활체험관,경기 수원시 팔달구 정조로 893-0,전시시설
외지인,41,행궁동,동북공심돈,경기 수원시 팔달구,역사유적지
외지인,41,행궁동,서장대,경기 수원시 팔달구,역사유적지
외지인,41,행궁동,화성어차,경기 수원시 팔달구 창룡대로103번길 8-0,기타관광
외지인,45,행궁동,2023수원음식문화박람회,경기 수원시 팔달구 창룡대로 21-0,기타문화관광지
외지인,45,행궁동,세계유산축전수원화성,경기 수원시 팔달구 정조로 825-0,기타문화관광지
외지인,45,행궁동,도토리캐리커쳐행궁점,경기 수원시 팔달구 화서문로 47-0,공예체험
외지인,45,행궁동,팔달문안내소,경기 수원시 팔달구 정조로777번길 16-0,기타관광
외지인,49,행궁동,오운도자기,경기 수원시 팔달구 수원천로 353-0,공예체험
외지인,49,행궁동,반지공방아뜰리에호수수원점,경기 수원시 팔달구 신풍로 45-0,공예체험
전체,1,행궁동,화성행궁,경기 수원시 팔달구 정조로 825-0,역사유적지
전체,2,행궁동,수원화성,경기 수원시 팔달구 정조로 825-0,역사유적지
전체,3,행궁동,수원화성박물관,경기 수원시 팔달구 창룡대로 21-0,전시시설
전체,4,행궁동,수원시립미술관,경기 수원시 팔달구 정조로 833-0,전시시설
전체,5,행궁동,팔달문,경기 수원시 팔달구 정조로 780-0,역사유적지
전체,6,행궁동,화서문,경기 수원시 팔달구,역사유적지
전체,7,행궁동,수원전통문화관,경기 수원시 팔달구 정조로 893-0,기타문화관광지
전체,8,행궁동,수원화성문화제,경기 수원시 팔달구 정조로 825-0,기타문화관광지
전체,9,행궁동,창룡문,경기 수원시 팔달구 창룡대로 0-0,역사유적지
전체,10,행궁동,영동시장,경기 수원시 팔달구 수원천로255번길 6-0,시장
전체,11,행궁동,화성행궁광장,경기 수원시 팔달구 정조로 825-0,역사유적지
전체,12,행궁동,방화수류정,경기 수원시 팔달구 수원천로392번길 44-6,역사유적지
전체,13,행궁동,메가박스수원남문,경기 수원시 팔달구 행궁로 71-0,공연시설
전체,14,행궁동,수원사,경기 수원시 팔달구 수원천로 300-0,종교성지
전체,15,행궁동,연무대,경기 수원시 팔달구 창룡대로103번길 20-0,역사유적지
전체,16,행궁동,정조테마공연장,경기 수원시 팔달구 정조로 817-0,공연시설
전체,17,행궁동,팔달문시장,경기 수원시 팔달구 정조로776번길 8-0,시장
전체,18,행궁동,화홍문,경기 수원시 팔달구,역사유적지
전체,19,행궁동,여민각,경기 수원시 팔달구,기타관광
