축제명,그룹명,개최년도,구분명,지표값
수원화성문화제,축제기간,2025,외부방문자 유입,0.573
수원화성문화제,축제기간,2025,현지인방문자 유입,0.908
수원화성문화제,축제기간,2025,내비게이션 검색량,0.403
수원화성문화제,축제기간,2025,관광소비,0.656
수원화성문화제,축제기간,2025,축제지 집중률,0.67
수원화성문화제,비축제기간,2025,외부방문자 유입,0.42
수원화성문화제,비축제기간,2025,현지인방문자 유입,0.785
수원화성문화제,비축제기간,2025,내비게이션 검색량,0.326
수원화성문화제,비축제기간,2025,관광소비,0.59
수원화성문화제,비축제기간,2025,축제지 집중률,0.532
수원화성문화제,축제기간,2024,외부방문자 유입,0.772
수원화성문화제,축제기간,2024,현지인방문자 유입,0.942
수원화성문화제,축제기간,2024,내비게이션 검색량,0.715
수원화성문화제,축제기간,2024,관광소비,0.791
수원화성문화제,축제기간,2024,축제지 집중률,0.858
수원화성문화제,비축제기간,2024,외부방문자 유입,0.551
수원화성문화제,비축제기간,2024,현지인방문자 유입,0.737
수원화성문화제,비축제기간,2024,내비게이션 검색량,0.469
수원화성문화제,비축제기간,2024,관광소비,0.729
수원화성문화제,비축제기간,2024,축제지 집중률,0.666
수원화성문화제,축제기간,2023,외부방문자 유입,0.912
수원화성문화제,축제기간,2023,현지인방문자 유입,0.914
수원화성문화제,축제기간,2023,내비게이션 검색량,0.799
수원화성문화제,축제기간,2023,관광소비,0.757
수원화성문화제,축제기간,2023,축제지 집중률,0.867
수원화성문화제,비축제기간,2023,외부방문자 유입,0.585
수원화성문화제,비축제기간,2023,현지인방문자 유입,0.689
수원화성문화제,비축제기간,2023,내비게이션 검색량,0.45
수원화성문화제,비축제기간,2023,관광소비,0.661
수원화성문화제,비축제기간,2023,축제지 집중률,0.638
