구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,순창읍,순창전통고추장민속마을,전북 순창군 민속마을길 56-4,역사유적지
외지인,2,순창읍,순창장류축제,전북 순창군 민속마을길 56-4,기타문화관광지
외지인,3,순창읍,순창발효테마파크,전북 순창군 장류로 55-0,테마공원
외지인,4,순창읍,순창종합버스터미널,전북 순창군 장류로 355-0,교통시설
외지인,5,순창읍,순창시장,전북 순창군 남계로 58-0,시장
외지인,6,순창읍,순창발효테마파크푸드사이언스관,전북 순창군 장류로 55-0,전시시설
외지인,7,순창읍,순창CC,전북 순창군,육상레저스포츠
외지인,8,순창읍,순창장류박물관,전북 순창군 장류로 43-0,전시시설
외지인,9,순창읍,금화사,전북 순창군 담순로 951-63,종교성지
외지인,10,순창읍,발효소스토굴,전북 순창군 민속마을길 61-59,전시시설
외지인,11,순창읍,일품공원,전북 순창군 장류로 407-14,도시공원
외지인,12,순창읍,순창터미널관광안내소,전북 순창군 장류로 355-0,기타관광
외지인,13,순창읍,순창국악원,전북 순창군 대동로 76-11,공연시설
외지인,14,순창읍,순창코리아떡볶이페스타,전북 순창군 장류로 55-0,기타문화관광지
외지인,15,순창읍,순창군 순창읍 민속마을,전북 순창군,역사유적지
외지인,15,순창읍,순창장류체험관,전북 순창군 민속마을길 55-0,기타관광
외지인,17,순창읍,순창시장어물전,전북 순창군 순창2길 34-0,시장
외지인,18,순창읍,순창군평생학습관,전북 순창군 민속마을길 6-5,체험관광기타
외지인,19,순창읍,천재의공간영화산책,전북 순창군 남계로 81-0,공연시설
전체,1,순창읍,순창전통고추장민속마을,전북 순창군 민속마을길 56-4,역사유적지
전체,2,순창읍,순창장류축제,전북 순창군 민속마을길 56-4,기타문화관광지
전체,3,순창읍,순창발효테마파크,전북 순창군 장류로 55-0,테마공원
전체,4,순창읍,순창종합버스터미널,전북 순창군 장류로 355-0,교통시설
전체,5,순창읍,순창시장,전북 순창군 남계로 58-0,시장
전체,6,순창읍,순창발효테마파크푸드사이언스관,전북 순창군 장류로 55-0,전시시설
전체,7,순창읍,순창CC,전북 순창군,육상레저스포츠
전체,8,순창읍,순창장류박물관,전북 순창군 장류로 43-0,전시시설
전체,9,순창읍,금화사,전북 순창군 담순로 951-63,종교성지
전체,10,순창읍,발효소스토굴,전북 순창군 민속마을길 61-59,전시시설
전체,11,순창읍,일품공원,전북 순창군 장류로 407-14,도시공원
전체,12,순창읍,순창터미널관광안내소,전북 순창군 장류로 355-0,기타관광
전체,13,순창읍,순창군 순창읍 민속마을,전북 순창군,역사유적지
전체,14,순창읍,순창국악원,전북 순창군 대동로 76-11,공연시설
전체,14,순창읍,순창코리아떡볶이페스타,전북 순창군 장류로 55-0,기타문화관광지
전체,14,순창읍,순창장류체험관,전북 순창군 민속마을길 55-0,기타관광
전체,14,순창읍,순창시장어물전,전북 순창군 순창2길 34-0,시장
전체,18,순창읍,천재의공간영화산책,전북 순창군 남계로 81-0,공연시설
전체,19,순창읍,순창군평생학습관,전북 순창군 민속마을길 6-5,체험관광기타
현지인,1,순창읍,순창전통고추장민속마을,전북 순창군 민속마을길 56-4,역사유적지
현지인,2,순창읍,순창장류축제,전북 순창군 민속마을길 56-4,기타문화관광지
현지인,3,순창읍,순창발효테마파크,전북 순창군 장류로 55-0,테마공원
현지인,4,순창읍,순창종합버스터미널,전북 순창군 장류로 355-0,교통시설
현지인,5,순창읍,순창시장,전북 순창군 남계로 58-0,시장
현지인,6,순창읍,금화사,전북 순창군 담순로 951-63,종교성지
현지인,7,순창읍,순창CC,전북 순창군,육상레저스포츠
현지인,8,순창읍,순창장류박물관,전북 순창군 장류로 43-0,전시시설
현지인,9,순창읍,순창발효테마파크푸드사이언스관,전북 순창군 장류로 55-0,전시시설
현지인,10,순창읍,발효소스토굴,전북 순창군 민속마을길 61-59,전시시설
현지인,11,순창읍,순창군 순창읍 민속마을,전북 순창군,역사유적지
현지인,12,순창읍,일품공원,전북 순창군 장류로 407-14,도시공원
현지인,12,순창읍,순창터미널관광안내소,전북 순창군 장류로 355-0,기타관광
현지인,14,순창읍,순창시장어물전,전북 순창군 순창2길 34-0,시장
현지인,15,순창읍,순창장류체험관,전북 순창군 민속마을길 55-0,기타관광
현지인,16,순창읍,순창코리아떡볶이페스타,전북 순창군 장류로 55-0,기타문화관광지
현지인,16,순창읍,천재의공간영화산책,전북 순창군 남계로 81-0,공연시설
현지인,18,순창읍,순창국악원,전북 순창군 대동로 76-11,공연시설
현지인,19,순창읍,순창군평생학습관,전북 순창군 민속마을길 6-5,체험관광기타
