축제명,그룹명,개최년도,구분명,지표값
순창장류축제,축제기간,2025,외부방문자 유입,0.702
순창장류축제,축제기간,2025,현지인방문자 유입,0.893
순창장류축제,축제기간,2025,내비게이션 검색량,0.8
순창장류축제,축제기간,2025,관광소비,0.443
순창장류축제,축제기간,2025,축제지 집중률,0.972
순창장류축제,비축제기간,2025,외부방문자 유입,0.47
순창장류축제,비축제기간,2025,현지인방문자 유입,0.677
순창장류축제,비축제기간,2025,내비게이션 검색량,0.337
순창장류축제,비축제기간,2025,관광소비,0.493
순창장류축제,비축제기간,2025,축제지 집중률,0.663
순창장류축제,축제기간,2024,외부방문자 유입,0.886
순창장류축제,축제기간,2024,현지인방문자 유입,0.885
순창장류축제,축제기간,2024,내비게이션 검색량,0.829
순창장류축제,축제기간,2024,관광소비,0.518
순창장류축제,축제기간,2024,축제지 집중률,0.906
순창장류축제,비축제기간,2024,외부방문자 유입,0.574
순창장류축제,비축제기간,2024,현지인방문자 유입,0.665
순창장류축제,비축제기간,2024,내비게이션 검색량,0.309
순창장류축제,비축제기간,2024,관광소비,0.509
순창장류축제,비축제기간,2024,축제지 집중률,0.679
순창장류축제,축제기간,2023,외부방문자 유입,0.718
순창장류축제,축제기간,2023,현지인방문자 유입,0.897
순창장류축제,축제기간,2023,내비게이션 검색량,0.758
순창장류축제,축제기간,2023,관광소비,0.53
순창장류축제,축제기간,2023,축제지 집중률,0.938
순창장류축제,비축제기간,2023,외부방문자 유입,0.515
순창장류축제,비축제기간,2023,현지인방문자 유입,0.593
순창장류축제,비축제기간,2023,내비게이션 검색량,0.442
순창장류축제,비축제기간,2023,관광소비,0.547
순창장류축제,비축제기간,2023,축제지 집중률,0.614
