축제명,그룹명,개최년도,구분명,지표값
시흥갯골축제,축제기간,2025,외부방문자 유입,0.715
시흥갯골축제,축제기간,2025,현지인방문자 유입,0.95
시흥갯골축제,축제기간,2025,내비게이션 검색량,0.468
시흥갯골축제,축제기간,2025,관광소비,0.742
시흥갯골축제,축제기간,2025,축제지 집중률,0.773
시흥갯골축제,비축제기간,2025,외부방문자 유입,0.603
시흥갯골축제,비축제기간,2025,현지인방문자 유입,0.757
시흥갯골축제,비축제기간,2025,내비게이션 검색량,0.41
시흥갯골축제,비축제기간,2025,관광소비,0.761
시흥갯골축제,비축제기간,2025,축제지 집중률,0.667
시흥갯골축제,축제기간,2024,외부방문자 유입,0.785
시흥갯골축제,축제기간,2024,현지인방문자 유입,0.917
시흥갯골축제,축제기간,2024,내비게이션 검색량,0.806
시흥갯골축제,축제기간,2024,관광소비,0.705
시흥갯골축제,축제기간,2024,축제지 집중률,0.76
시흥갯골축제,비축제기간,2024,외부방문자 유입,0.362
시흥갯골축제,비축제기간,2024,현지인방문자 유입,0.734
시흥갯골축제,비축제기간,2024,내비게이션 검색량,0.45
시흥갯골축제,비축제기간,2024,관광소비,0.728
시흥갯골축제,비축제기간,2024,축제지 집중률,0.395
시흥갯골축제,축제기간,2023,외부방문자 유입,0.665
시흥갯골축제,축제기간,2023,현지인방문자 유입,0.892
시흥갯골축제,축제기간,2023,내비게이션 검색량,0.729
시흥갯골축제,축제기간,2023,관광소비,0.766
시흥갯골축제,축제기간,2023,축제지 집중률,0.791
시흥갯골축제,비축제기간,2023,외부방문자 유입,0.519
시흥갯골축제,비축제기간,2023,현지인방문자 유입,0.678
시흥갯골축제,비축제기간,2023,내비게이션 검색량,0.498
시흥갯골축제,비축제기간,2023,관광소비,0.731
시흥갯골축제,비축제기간,2023,축제지 집중률,0.615
