구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,중구동,안동구시장,경북 안동시 번영1길 47-0,시장
외지인,2,중구동,안동국제탈춤페스티벌,경북 안동시 육사로 239-0,기타문화관광지
외지인,3,중구동,탈춤공원,경북 안동시 육사로 239-0,도시공원
외지인,4,중구동,웅부공원,경북 안동시,도시공원
외지인,5,중구동,안동탈춤공연장,경북 안동시 육사로 239-0,공연시설
외지인,6,중구동,안동중앙문화의거리,경북 안동시,기타쇼핑시설
외지인,7,중구동,그라스원,경북 안동시,기타관광
외지인,8,중구동,모디684,경북 안동시 경동로 684-0,기타문화관광지
외지인,9,중구동,안동임청각,경북 안동시 임청각길 63-0,역사유적지
외지인,10,중구동,중앙선1942안동역,경북 안동시 경동로 684-0,기타문화관광지
외지인,11,중구동,빙수곳간,경북 안동시 육사로 323-0,테마공원
외지인,12,중구동,백조공원음악분수,경북 안동시,기타관광
외지인,13,중구동,백조공원,경북 안동시 육사로 218-12,도시공원
외지인,14,중구동,전통문화콘텐츠박물관,경북 안동시 서동문로 203-0,전시시설
외지인,15,중구동,탈춤공원눈썰매장,경북 안동시 육사로 239-0,육상레저스포츠
외지인,16,중구동,해동사,경북 안동시 성진1길 0-0,종교성지
외지인,17,중구동,법흥사지칠층전탑,경북 안동시,역사유물
외지인,18,중구동,신세동벽화마을,경북 안동시 동부길 0-0,기타관광
외지인,19,중구동,안동태사묘,경북 안동시 태사길 13-0,역사유적지
외지인,20,중구동,고성이씨탑동종택,경북 안동시 임청각길 103-0,역사유적지
외지인,21,중구동,안동역급수탑,경북 안동시,역사유적지
외지인,22,중구동,임청각군자정공사중(2024년 완공예정),경북 안동시,역사유적지
외지인,23,중구동,안동벚꽃길,경북 안동시 육사로 239-0,기타관광
외지인,23,중구동,비에스아트홀,경북 안동시 태사길 110-0,공연시설
외지인,23,중구동,북문시장,경북 안동시 퇴계로 126-0,시장
전체,1,중구동,안동구시장,경북 안동시 번영1길 47-0,시장
전체,2,중구동,안동국제탈춤페스티벌,경북 안동시 육사로 239-0,기타문화관광지
전체,3,중구동,탈춤공원,경북 안동시 육사로 239-0,도시공원
전체,4,중구동,웅부공원,경북 안동시,도시공원
전체,5,중구동,안동탈춤공연장,경북 안동시 육사로 239-0,공연시설
전체,6,중구동,안동중앙문화의거리,경북 안동시,기타쇼핑시설
전체,7,중구동,그라스원,경북 안동시,기타관광
전체,8,중구동,모디684,경북 안동시 경동로 684-0,기타문화관광지
전체,9,중구동,안동임청각,경북 안동시 임청각길 63-0,역사유적지
전체,10,중구동,중앙선1942안동역,경북 안동시 경동로 684-0,기타문화관광지
전체,11,중구동,빙수곳간,경북 안동시 육사로 323-0,테마공원
전체,12,중구동,백조공원음악분수,경북 안동시,기타관광
전체,13,중구동,백조공원,경북 안동시 육사로 218-12,도시공원
전체,14,중구동,전통문화콘텐츠박물관,경북 안동시 서동문로 203-0,전시시설
전체,15,중구동,탈춤공원눈썰매장,경북 안동시 육사로 239-0,육상레저스포츠
전체,16,중구동,해동사,경북 안동시 성진1길 0-0,종교성지
전체,17,중구동,법흥사지칠층전탑,경북 안동시,역사유물
전체,18,중구동,신세동벽화마을,경북 안동시 동부길 0-0,기타관광
전체,19,중구동,안동태사묘,경북 안동시 태사길 13-0,역사유적지
전체,20,중구동,고성이씨탑동종택,경북 안동시 임청각길 103-0,역사유적지
전체,21,중구동,안동역급수탑,경북 안동시,역사유적지
전체,22,중구동,임청각군자정공사중(2024년 완공예정),경북 안동시,역사유적지
전체,23,중구동,비에스아트홀,경북 안동시 태사길 110-0,공연시설
전체,24,중구동,북문시장,경북 안동시 퇴계로 126-0,시장
전체,24,중구동,안동벚꽃길,경북 안동시 육사로 239-0,기타관광
현지인,1,중구동,안동구시장,경북 안동시 번영1길 47-0,시장
현지인,2,중구동,안동국제탈춤페스티벌,경북 안동시 육사로 239-0,기타문화관광지
현지인,2,중구동,탈춤공원,경북 안동시 육사로 239-0,도시공원
현지인,4,중구동,웅부공원,경북 안동시,도시공원
현지인,5,중구동,안동탈춤공연장,경북 안동시 육사로 239-0,공연시설
현지인,6,중구동,안동중앙문화의거리,경북 안동시,기타쇼핑시설
현지인,7,중구동,그라스원,경북 안동시,기타관광
현지인,8,중구동,모디684,경북 안동시 경동로 684-0,기타문화관광지
