축제명,그룹명,개최년도,구분명,지표값
안동탈춤축제,축제기간,2025,외부방문자 유입,0.515
안동탈춤축제,축제기간,2025,현지인방문자 유입,0.859
안동탈춤축제,축제기간,2025,내비게이션 검색량,0.434
안동탈춤축제,축제기간,2025,관광소비,0.544
안동탈춤축제,축제기간,2025,축제지 집중률,0.879
안동탈춤축제,비축제기간,2025,외부방문자 유입,0.258
안동탈춤축제,비축제기간,2025,현지인방문자 유입,0.618
안동탈춤축제,비축제기간,2025,내비게이션 검색량,0.252
안동탈춤축제,비축제기간,2025,관광소비,0.375
안동탈춤축제,비축제기간,2025,축제지 집중률,0.65
안동탈춤축제,축제기간,2024,외부방문자 유입,0.645
안동탈춤축제,축제기간,2024,현지인방문자 유입,0.904
안동탈춤축제,축제기간,2024,내비게이션 검색량,0.516
안동탈춤축제,축제기간,2024,관광소비,0.475
안동탈춤축제,축제기간,2024,축제지 집중률,0.875
안동탈춤축제,비축제기간,2024,외부방문자 유입,0.354
안동탈춤축제,비축제기간,2024,현지인방문자 유입,0.611
안동탈춤축제,비축제기간,2024,내비게이션 검색량,0.231
안동탈춤축제,비축제기간,2024,관광소비,0.458
안동탈춤축제,비축제기간,2024,축제지 집중률,0.503
안동탈춤축제,축제기간,2023,외부방문자 유입,0.52
안동탈춤축제,축제기간,2023,현지인방문자 유입,0.923
안동탈춤축제,축제기간,2023,내비게이션 검색량,0.458
안동탈춤축제,축제기간,2023,관광소비,0.437
안동탈춤축제,축제기간,2023,축제지 집중률,0.868
안동탈춤축제,비축제기간,2023,외부방문자 유입,0.259
안동탈춤축제,비축제기간,2023,현지인방문자 유입,0.701
안동탈춤축제,비축제기간,2023,내비게이션 검색량,0.164
안동탈춤축제,비축제기간,2023,관광소비,0.356
안동탈춤축제,비축제기간,2023,축제지 집중률,0.552
