구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,보개면,안성맞춤남사당바우덕이축제,경기 안성시,기타문화관광지
외지인,2,보개면,안성맞춤랜드,경기 안성시 남사당로 198-0,복합관광시설
외지인,3,보개면,안성맞춤랜드,경기 안성시 남사당로 198-0,도시공원
외지인,4,보개면,이글몬트CC,경기 안성시 보삼로 106-0,육상레저스포츠
외지인,5,보개면,골프존카운티안성H,경기 안성시 보삼로 302-0,육상레저스포츠
외지인,6,보개면,안성남사당공연장,경기 안성시 남사당로 198-2,공연시설
외지인,7,보개면,너리굴문화마을,경기 안성시 너리굴길 100-0,기타관광
외지인,8,보개면,남사당전수관,경기 안성시 남사당로 196-31,기타관광
외지인,9,보개면,박두진문학관,경기 안성시 남사당로 198-10,전시시설
외지인,10,보개면,안성맞춤야구장,경기 안성시,레저스포츠시설
외지인,11,보개면,산우물낚시터,경기 안성시 남사당로 539-8,수상레저스포츠
외지인,12,보개면,바우덕이남사당놀이상설공연,경기 안성시 남사당로 198-2,기타문화관광지
외지인,13,보개면,안성맞춤천문과학관,경기 안성시 남사당로 198-9,전시시설
외지인,14,보개면,안성시사계절썰매장휴업중(2025년12월19일 오픈예정),경기 안성시 남사당로 198-3,육상레저스포츠
외지인,15,보개면,영평사,경기 안성시 신장길 79-42,종교성지
외지인,16,보개면,안성맞춤B축구장,경기 안성시 종합운동장로 183-0,레저스포츠시설
외지인,17,보개면,엄마청소년수련원,경기 안성시 너리굴길 100-0,육상레저스포츠
외지인,18,보개면,안성풋살파크,경기 안성시,레저스포츠시설
외지인,19,보개면,안성시 보개면 동양마을,경기 안성시,역사유적지
외지인,20,보개면,향당무전수교육관,경기 안성시 종합운동장안길 9-0,체험관광기타
외지인,21,보개면,국사봉,경기 안성시,자연경관(산)
외지인,22,보개면,대유농장,경기 안성시 내방상삼로 231-33,농/산/어촌체험
외지인,23,보개면,남풍소류지,경기 안성시,자연경관(하천/해양)
외지인,24,보개면,안성시 보개면 양협마을,경기 안성시,역사유적지
외지인,24,보개면,안성시 보개면 동문리마을,경기 안성시,역사유적지
외지인,24,보개면,안성시 보개면 풍정마을,경기 안성시,역사유적지
외지인,27,보개면,법왕사,경기 안성시 보삼로 71-134,종교성지
외지인,27,보개면,심복사,경기 안성시 보삼로 263-46,종교성지
외지인,27,보개면,성덕사,경기 안성시 기좌2길 32-0,종교성지
전체,1,보개면,안성맞춤남사당바우덕이축제,경기 안성시,기타문화관광지
전체,2,보개면,안성맞춤랜드,경기 안성시 남사당로 198-0,복합관광시설
전체,3,보개면,안성맞춤랜드,경기 안성시 남사당로 198-0,도시공원
전체,4,보개면,이글몬트CC,경기 안성시 보삼로 106-0,육상레저스포츠
전체,5,보개면,골프존카운티안성H,경기 안성시 보삼로 302-0,육상레저스포츠
전체,6,보개면,안성남사당공연장,경기 안성시 남사당로 198-2,공연시설
전체,7,보개면,너리굴문화마을,경기 안성시 너리굴길 100-0,기타관광
전체,8,보개면,남사당전수관,경기 안성시 남사당로 196-31,기타관광
전체,9,보개면,박두진문학관,경기 안성시 남사당로 198-10,전시시설
전체,10,보개면,안성맞춤야구장,경기 안성시,레저스포츠시설
전체,11,보개면,산우물낚시터,경기 안성시 남사당로 539-8,수상레저스포츠
전체,12,보개면,바우덕이남사당놀이상설공연,경기 안성시 남사당로 198-2,기타문화관광지
전체,13,보개면,안성맞춤천문과학관,경기 안성시 남사당로 198-9,전시시설
전체,14,보개면,안성시사계절썰매장휴업중(2025년12월19일 오픈예정),경기 안성시 남사당로 198-3,육상레저스포츠
전체,15,보개면,영평사,경기 안성시 신장길 79-42,종교성지
전체,16,보개면,안성맞춤B축구장,경기 안성시 종합운동장로 183-0,레저스포츠시설
전체,17,보개면,엄마청소년수련원,경기 안성시 너리굴길 100-0,육상레저스포츠
전체,18,보개면,안성풋살파크,경기 안성시,레저스포츠시설
전체,19,보개면,안성시 보개면 동양마을,경기 안성시,역사유적지
전체,19,보개면,향당무전수교육관,경기 안성시 종합운동장안길 9-0,체험관광기타
전체,19,보개면,국사봉,경기 안성시,자연경관(산)
전체,22,보개면,대유농장,경기 안성시 내방상삼로 231-33,농/산/어촌체험
전체,23,보개면,남풍소류지,경기 안성시,자연경관(하천/해양)
전체,23,보개면,안성시 보개면 양협마을,경기 안성시,역사유적지
전체,25,보개면,안성시 보개면 동문리마을,경기 안성시,역사유적지
전체,26,보개면,안성시 보개면 풍정마을,경기 안성시,역사유적지
전체,27,보개면,심복사,경기 안성시 보삼로 263-46,종교성지
전체,27,보개면,성덕사,경기 안성시 기좌2길 32-0,종교성지
전체,27,보개면,법왕사,경기 안성시 보삼로 71-134,종교성지
현지인,1,보개면,안성맞춤랜드,경기 안성시 남사당로 198-0,복합관광시설
현지인,2,보개면,안성맞춤남사당바우덕이축제,경기 안성시,기타문화관광지
현지인,3,보개면,안성맞춤랜드,경기 안성시 남사당로 198-0,도시공원
현지인,4,보개면,이글몬트CC,경기 안성시 보삼로 106-0,육상레저스포츠
현지인,5,보개면,안성남사당공연장,경기 안성시 남사당로 198-2,공연시설
현지인,6,보개면,골프존카운티안성H,경기 안성시 보삼로 302-0,육상레저스포츠
현지인,7,보개면,너리굴문화마을,경기 안성시 너리굴길 100-0,기타관광
현지인,8,보개면,남사당전수관,경기 안성시 남사당로 196-31,기타관광
현지인,9,보개면,박두진문학관,경기 안성시 남사당로 198-10,전시시설
현지인,9,보개면,안성맞춤야구장,경기 안성시,레저스포츠시설
현지인,11,보개면,바우덕이남사당놀이상설공연,경기 안성시 남사당로 198-2,기타문화관광지
현지인,12,보개면,산우물낚시터,경기 안성시 남사당로 539-8,수상레저스포츠
현지인,13,보개면,안성시사계절썰매장휴업중(2025년12월19일 오픈예정),경기 안성시 남사당로 198-3,육상레저스포츠
현지인,14,보개면,안성맞춤천문과학관,경기 안성시 남사당로 198-9,전시시설
현지인,15,보개면,영평사,경기 안성시 신장길 79-42,종교성지
현지인,16,보개면,엄마청소년수련원,경기 안성시 너리굴길 100-0,육상레저스포츠
현지인,17,보개면,안성맞춤B축구장,경기 안성시 종합운동장로 183-0,레저스포츠시설
현지인,17,보개면,안성풋살파크,경기 안성시,레저스포츠시설
현지인,17,보개면,국사봉,경기 안성시,자연경관(산)
현지인,20,보개면,향당무전수교육관,경기 안성시 종합운동장안길 9-0,체험관광기타
현지인,21,보개면,안성시 보개면 동양마을,경기 안성시,역사유적지
현지인,21,보개면,안성시 보개면 양협마을,경기 안성시,역사유적지
현지인,23,보개면,대유농장,경기 안성시 내방상삼로 231-33,농/산/어촌체험
현지인,23,보개면,남풍소류지,경기 안성시,자연경관(하천/해양)
현지인,23,보개면,안성시 보개면 동문리마을,경기 안성시,역사유적지
현지인,26,보개면,법왕사,경기 안성시 보삼로 71-134,종교성지
