축제명,그룹명,개최년도,구분명,지표값
안성맞춤남사당바우덕이축제,축제기간,2025,외부방문자 유입,0.558
안성맞춤남사당바우덕이축제,축제기간,2025,현지인방문자 유입,0.869
안성맞춤남사당바우덕이축제,축제기간,2025,내비게이션 검색량,0.695
안성맞춤남사당바우덕이축제,축제기간,2025,관광소비,0.734
안성맞춤남사당바우덕이축제,축제기간,2025,축제지 집중률,0.923
안성맞춤남사당바우덕이축제,비축제기간,2025,외부방문자 유입,0.243
안성맞춤남사당바우덕이축제,비축제기간,2025,현지인방문자 유입,0.403
안성맞춤남사당바우덕이축제,비축제기간,2025,내비게이션 검색량,0.184
안성맞춤남사당바우덕이축제,비축제기간,2025,관광소비,0.792
안성맞춤남사당바우덕이축제,비축제기간,2025,축제지 집중률,0.38
안성맞춤남사당바우덕이축제,축제기간,2024,외부방문자 유입,0.735
안성맞춤남사당바우덕이축제,축제기간,2024,현지인방문자 유입,0.926
안성맞춤남사당바우덕이축제,축제기간,2024,내비게이션 검색량,0.798
안성맞춤남사당바우덕이축제,축제기간,2024,관광소비,0.82
안성맞춤남사당바우덕이축제,축제기간,2024,축제지 집중률,0.83
안성맞춤남사당바우덕이축제,비축제기간,2024,외부방문자 유입,0.255
안성맞춤남사당바우덕이축제,비축제기간,2024,현지인방문자 유입,0.456
안성맞춤남사당바우덕이축제,비축제기간,2024,내비게이션 검색량,0.221
안성맞춤남사당바우덕이축제,비축제기간,2024,관광소비,0.734
안성맞춤남사당바우덕이축제,비축제기간,2024,축제지 집중률,0.324
안성맞춤남사당바우덕이축제,축제기간,2023,외부방문자 유입,0.729
안성맞춤남사당바우덕이축제,축제기간,2023,현지인방문자 유입,0.922
안성맞춤남사당바우덕이축제,축제기간,2023,내비게이션 검색량,0.765
안성맞춤남사당바우덕이축제,축제기간,2023,관광소비,0.828
안성맞춤남사당바우덕이축제,축제기간,2023,축제지 집중률,0.843
안성맞춤남사당바우덕이축제,비축제기간,2023,외부방문자 유입,0.311
안성맞춤남사당바우덕이축제,비축제기간,2023,현지인방문자 유입,0.45
안성맞춤남사당바우덕이축제,비축제기간,2023,내비게이션 검색량,0.221
안성맞춤남사당바우덕이축제,비축제기간,2023,관광소비,0.776
안성맞춤남사당바우덕이축제,비축제기간,2023,축제지 집중률,0.351
