구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,양양읍,양양전통시장,강원 양양군 남문5길 9-0,시장
외지인,2,양양읍,송이&연어페스타in양양,강원 양양군,기타문화관광지
외지인,3,양양읍,양양종합여객터미널,강원 양양군 동해대로 2700-0,교통시설
외지인,3,양양읍,양양남대천체육공원,강원 양양군,도시공원
외지인,5,양양읍,남대천생태공원,강원 양양군,도시공원
외지인,6,양양읍,송이밸리자연휴양림,강원 양양군 고노동길 98-50,자연공원
외지인,7,양양읍,양양송이조각공원,강원 양양군,도시공원
외지인,8,양양읍,양양송이조각공원파크골프장,강원 양양군,육상레저스포츠
외지인,9,양양읍,양양서핑학교,강원 양양군 일출로 159-12,수상레저스포츠
외지인,10,양양읍,고려대학교낙산수련장,강원 양양군 일출로 67-0,육상레저스포츠
외지인,11,양양읍,남대천생태관찰로,강원 양양군,기타레저스포츠
외지인,12,양양읍,양양남대천물놀이장,강원 양양군,수상레저스포츠
외지인,13,양양읍,양양둔치야구장,강원 양양군,레저스포츠시설
외지인,14,양양읍,양양작은영화관,강원 양양군 일출로 570-0,공연시설
외지인,15,양양읍,양양자연송이,강원 양양군 남문7길 15-7,시장
외지인,16,양양읍,레포밸리양양점,강원 양양군 고노동길 98-50,테마공원
외지인,17,양양읍,남대천수상레포츠체험센터,강원 양양군 일출로 295-0,수상레저스포츠
전체,1,양양읍,양양전통시장,강원 양양군 남문5길 9-0,시장
전체,2,양양읍,송이&연어페스타in양양,강원 양양군,기타문화관광지
전체,3,양양읍,양양종합여객터미널,강원 양양군 동해대로 2700-0,교통시설
전체,4,양양읍,양양남대천체육공원,강원 양양군,도시공원
전체,5,양양읍,남대천생태공원,강원 양양군,도시공원
전체,6,양양읍,송이밸리자연휴양림,강원 양양군 고노동길 98-50,자연공원
전체,7,양양읍,양양송이조각공원,강원 양양군,도시공원
전체,8,양양읍,양양송이조각공원파크골프장,강원 양양군,육상레저스포츠
전체,9,양양읍,양양서핑학교,강원 양양군 일출로 159-12,수상레저스포츠
전체,10,양양읍,고려대학교낙산수련장,강원 양양군 일출로 67-0,육상레저스포츠
전체,11,양양읍,남대천생태관찰로,강원 양양군,기타레저스포츠
전체,12,양양읍,양양남대천물놀이장,강원 양양군,수상레저스포츠
전체,13,양양읍,양양둔치야구장,강원 양양군,레저스포츠시설
전체,14,양양읍,양양작은영화관,강원 양양군 일출로 570-0,공연시설
전체,15,양양읍,양양자연송이,강원 양양군 남문7길 15-7,시장
전체,16,양양읍,레포밸리양양점,강원 양양군 고노동길 98-50,테마공원
전체,17,양양읍,남대천수상레포츠체험센터,강원 양양군 일출로 295-0,수상레저스포츠
현지인,1,양양읍,양양전통시장,강원 양양군 남문5길 9-0,시장
현지인,2,양양읍,송이&연어페스타in양양,강원 양양군,기타문화관광지
현지인,3,양양읍,양양종합여객터미널,강원 양양군 동해대로 2700-0,교통시설
현지인,4,양양읍,양양남대천체육공원,강원 양양군,도시공원
현지인,5,양양읍,양양서핑학교,강원 양양군 일출로 159-12,수상레저스포츠
현지인,5,양양읍,남대천생태공원,강원 양양군,도시공원
현지인,7,양양읍,송이밸리자연휴양림,강원 양양군 고노동길 98-50,자연공원
현지인,8,양양읍,양양송이조각공원파크골프장,강원 양양군,육상레저스포츠
현지인,9,양양읍,양양송이조각공원,강원 양양군,도시공원
현지인,10,양양읍,고려대학교낙산수련장,강원 양양군 일출로 67-0,육상레저스포츠
현지인,11,양양읍,남대천생태관찰로,강원 양양군,기타레저스포츠
현지인,12,양양읍,양양둔치야구장,강원 양양군,레저스포츠시설
현지인,13,양양읍,양양남대천물놀이장,강원 양양군,수상레저스포츠
현지인,14,양양읍,양양작은영화관,강원 양양군 일출로 570-0,공연시설
현지인,15,양양읍,양양자연송이,강원 양양군 남문7길 15-7,시장
현지인,15,양양읍,레포밸리양양점,강원 양양군 고노동길 98-50,테마공원
현지인,17,양양읍,남대천수상레포츠체험센터,강원 양양군 일출로 295-0,수상레저스포츠
