구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,오학동,신륵사,경기 여주시 신륵사길 73-0,종교성지
외지인,2,오학동,여주오곡나루축제,경기 여주시,기타문화관광지
외지인,3,오학동,신륵사관광지,경기 여주시 신륵사길 73-0,복합관광시설
외지인,4,오학동,세라지오GC,경기 여주시 여양로 530-0,육상레저스포츠
외지인,5,오학동,여주남한강출렁다리,경기 여주시,기타관광
외지인,6,오학동,오학파크골프장,경기 여주시,육상레저스포츠
외지인,7,오학동,여주도자세상,경기 여주시 신륵사길 7-0,전시시설
외지인,8,오학동,오학생활체육공원,경기 여주시 어영실로 152-0,도시공원
외지인,9,오학동,여주박물관,경기 여주시 신륵사길 6-12,전시시설
외지인,10,오학동,푸르메소셜팜,경기 여주시 도예로 247-0,농/산/어촌체험
외지인,11,오학동,신륵사관광지야외공연장,경기 여주시,공연시설
외지인,11,오학동,신륵사극락보전,경기 여주시 신륵사길 73-0,역사유적지
외지인,13,오학동,아리수수상레저,경기 여주시 강변북로 143-25,수상레저스포츠
외지인,14,오학동,여주그린수상레저,경기 여주시 강문로 48-46,수상레저스포츠
외지인,15,오학동,여주여행자센터,경기 여주시 신륵사길 17-0,기타관광
외지인,16,오학동,경기생활도자미술관,경기 여주시 신륵사길 7-0,전시시설
외지인,17,오학동,하이키수상레저,경기 여주시 강변북로 123-25,수상레저스포츠
외지인,18,오학동,신륵황포돛배선착장,경기 여주시 강문로 8-578,기타관광
외지인,19,오학동,여강길4코스,경기 여주시,기타레저스포츠
외지인,20,오학동,여주8호어린이공원,경기 여주시 여양로 0-0,도시공원
외지인,20,오학동,뉴평화수상스키,경기 여주시,수상레저스포츠
외지인,22,오학동,여주시평생학습센터여성회관,경기 여주시 신륵사길 6-6,체험관광기타
외지인,22,오학동,여주시수상센터,경기 여주시 강변북로 163-0,수상레저스포츠
외지인,22,오학동,리틀야구장,경기 여주시,레저스포츠시설
외지인,25,오학동,신륵사조사당,경기 여주시 신륵사길 73-0,역사유적지
외지인,26,오학동,현대도자미술관,경기 여주시 현암3길 142-0,전시시설
외지인,27,오학동,달팽이 언덕,경기 여주시,도시공원
외지인,27,오학동,현암지구공원,경기 여주시,도시공원
외지인,29,오학동,여주수상레져,경기 여주시,수상레저스포츠
외지인,29,오학동,신륵사강월헌,경기 여주시 신륵사길 73-0,역사유적지
외지인,29,오학동,하이키수상레저,경기 여주시 강변북로 123-25,기타레저스포츠
전체,1,오학동,신륵사,경기 여주시 신륵사길 73-0,종교성지
전체,2,오학동,여주오곡나루축제,경기 여주시,기타문화관광지
전체,3,오학동,신륵사관광지,경기 여주시 신륵사길 73-0,복합관광시설
전체,4,오학동,세라지오GC,경기 여주시 여양로 530-0,육상레저스포츠
전체,5,오학동,여주남한강출렁다리,경기 여주시,기타관광
전체,6,오학동,오학파크골프장,경기 여주시,육상레저스포츠
전체,7,오학동,여주도자세상,경기 여주시 신륵사길 7-0,전시시설
전체,8,오학동,오학생활체육공원,경기 여주시 어영실로 152-0,도시공원
전체,9,오학동,여주박물관,경기 여주시 신륵사길 6-12,전시시설
전체,10,오학동,푸르메소셜팜,경기 여주시 도예로 247-0,농/산/어촌체험
전체,11,오학동,신륵사관광지야외공연장,경기 여주시,공연시설
전체,12,오학동,신륵사극락보전,경기 여주시 신륵사길 73-0,역사유적지
전체,13,오학동,아리수수상레저,경기 여주시 강변북로 143-25,수상레저스포츠
전체,14,오학동,하이키수상레저,경기 여주시 강변북로 123-25,수상레저스포츠
전체,15,오학동,여주여행자센터,경기 여주시 신륵사길 17-0,기타관광
전체,15,오학동,여주그린수상레저,경기 여주시 강문로 48-46,수상레저스포츠
전체,17,오학동,경기생활도자미술관,경기 여주시 신륵사길 7-0,전시시설
전체,18,오학동,신륵황포돛배선착장,경기 여주시 강문로 8-578,기타관광
전체,19,오학동,여강길4코스,경기 여주시,기타레저스포츠
전체,20,오학동,여주시평생학습센터여성회관,경기 여주시 신륵사길 6-6,체험관광기타
전체,21,오학동,여주8호어린이공원,경기 여주시 여양로 0-0,도시공원
