축제명,그룹명,개최년도,구분명,지표값
여주오곡나루축제,축제기간,2025,외부방문자 유입,0.565
여주오곡나루축제,축제기간,2025,현지인방문자 유입,0.962
여주오곡나루축제,축제기간,2025,내비게이션 검색량,0.649
여주오곡나루축제,축제기간,2025,관광소비,0.72
여주오곡나루축제,축제기간,2025,축제지 집중률,0.855
여주오곡나루축제,비축제기간,2025,외부방문자 유입,0.328
여주오곡나루축제,비축제기간,2025,현지인방문자 유입,0.788
여주오곡나루축제,비축제기간,2025,내비게이션 검색량,0.28
여주오곡나루축제,비축제기간,2025,관광소비,0.665
여주오곡나루축제,비축제기간,2025,축제지 집중률,0.542
여주오곡나루축제,축제기간,2024,외부방문자 유입,0.819
여주오곡나루축제,축제기간,2024,현지인방문자 유입,0.94
여주오곡나루축제,축제기간,2024,내비게이션 검색량,0.772
여주오곡나루축제,축제기간,2024,관광소비,0.785
여주오곡나루축제,축제기간,2024,축제지 집중률,0.932
여주오곡나루축제,비축제기간,2024,외부방문자 유입,0.435
여주오곡나루축제,비축제기간,2024,현지인방문자 유입,0.765
여주오곡나루축제,비축제기간,2024,내비게이션 검색량,0.379
여주오곡나루축제,비축제기간,2024,관광소비,0.548
여주오곡나루축제,비축제기간,2024,축제지 집중률,0.558
여주오곡나루축제,축제기간,2023,외부방문자 유입,0.83
여주오곡나루축제,축제기간,2023,현지인방문자 유입,0.978
여주오곡나루축제,축제기간,2023,내비게이션 검색량,0.777
여주오곡나루축제,축제기간,2023,관광소비,0.795
여주오곡나루축제,축제기간,2023,축제지 집중률,0.957
여주오곡나루축제,비축제기간,2023,외부방문자 유입,0.497
여주오곡나루축제,비축제기간,2023,현지인방문자 유입,0.744
여주오곡나루축제,비축제기간,2023,내비게이션 검색량,0.403
여주오곡나루축제,비축제기간,2023,관광소비,0.572
여주오곡나루축제,비축제기간,2023,축제지 집중률,0.603
