구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,전곡읍,연천구석기축제,경기 연천군 양연로 1510-0,기타문화관광지
외지인,2,전곡읍,연천전곡리유적,경기 연천군 양연로 1510-0,역사유적지
외지인,3,전곡읍,전곡선사박물관,경기 연천군 평화로443번길 2-0,전시시설
외지인,4,전곡읍,전곡역,경기 연천군 전곡역로 75-0,교통시설
외지인,5,전곡읍,전곡전통시장,경기 연천군 온골로44번길 8-2,시장
외지인,6,전곡읍,한탄강관광지어린이캐릭터공원,경기 연천군,도시공원
외지인,7,전곡읍,한탄강관광지,경기 연천군 선사로 76-0,복합관광시설
외지인,8,전곡읍,전곡터미널,경기 연천군 온골로 49-0,교통시설
외지인,9,전곡읍,연천전곡리유적방문자센터,경기 연천군 양연로 1510-0,기타관광
외지인,10,전곡읍,들꽃가람농장,경기 연천군 청연로 192-0,농/산/어촌체험
외지인,11,전곡읍,좌상바위,경기 연천군,기타관광
외지인,12,전곡읍,한탄강관광지축구장,경기 연천군,레저스포츠시설
외지인,13,전곡읍,보국사,경기 연천군 선사로 35-0,종교성지
외지인,14,전곡읍,연천은대리성,경기 연천군,역사유적지
외지인,15,전곡읍,본원사,경기 연천군 선사로398번길 5-0,종교성지
외지인,16,전곡읍,전곡근린공원,경기 연천군 선사로458번길 39-0,도시공원
외지인,16,전곡읍,은대근린공원,경기 연천군,도시공원
외지인,18,전곡읍,베개용암전망대,경기 연천군,랜드마크관광
외지인,19,전곡읍,능혜사,경기 연천군 양연로1162번길 80-0,종교성지
외지인,19,전곡읍,한탄강물놀이장,경기 연천군 선사로 22-0,테마공원
외지인,21,전곡읍,은대리판상절리,경기 연천군,기타관광
외지인,21,전곡읍,너나들이노리파크전곡점,경기 연천군 전곡로 11-1,테마공원
외지인,23,전곡읍,청정암,경기 연천군 선사로424번길 8-0,종교성지
외지인,23,전곡읍,삼성사,경기 연천군 양연로1388번길 28-0,종교성지
외지인,23,전곡읍,령신산기도도량,경기 연천군,종교성지
외지인,23,전곡읍,토층전시관,경기 연천군 양연로 1510-0,전시시설
전체,1,전곡읍,연천구석기축제,경기 연천군 양연로 1510-0,기타문화관광지
전체,2,전곡읍,연천전곡리유적,경기 연천군 양연로 1510-0,역사유적지
전체,3,전곡읍,전곡역,경기 연천군 전곡역로 75-0,교통시설
전체,4,전곡읍,전곡선사박물관,경기 연천군 평화로443번길 2-0,전시시설
전체,5,전곡읍,전곡전통시장,경기 연천군 온골로44번길 8-2,시장
전체,6,전곡읍,한탄강관광지어린이캐릭터공원,경기 연천군,도시공원
전체,7,전곡읍,전곡터미널,경기 연천군 온골로 49-0,교통시설
전체,8,전곡읍,한탄강관광지,경기 연천군 선사로 76-0,복합관광시설
전체,9,전곡읍,연천전곡리유적방문자센터,경기 연천군 양연로 1510-0,기타관광
전체,10,전곡읍,들꽃가람농장,경기 연천군 청연로 192-0,농/산/어촌체험
전체,11,전곡읍,한탄강관광지축구장,경기 연천군,레저스포츠시설
전체,12,전곡읍,좌상바위,경기 연천군,기타관광
전체,13,전곡읍,보국사,경기 연천군 선사로 35-0,종교성지
전체,14,전곡읍,연천은대리성,경기 연천군,역사유적지
전체,15,전곡읍,전곡근린공원,경기 연천군 선사로458번길 39-0,도시공원
전체,16,전곡읍,본원사,경기 연천군 선사로398번길 5-0,종교성지
전체,16,전곡읍,은대근린공원,경기 연천군,도시공원
전체,18,전곡읍,능혜사,경기 연천군 양연로1162번길 80-0,종교성지
전체,19,전곡읍,베개용암전망대,경기 연천군,랜드마크관광
전체,20,전곡읍,한탄강물놀이장,경기 연천군 선사로 22-0,테마공원
전체,20,전곡읍,은대리판상절리,경기 연천군,기타관광
전체,20,전곡읍,너나들이노리파크전곡점,경기 연천군 전곡로 11-1,테마공원
전체,23,전곡읍,삼성사,경기 연천군 양연로1388번길 28-0,종교성지
전체,24,전곡읍,령신산기도도량,경기 연천군,종교성지
전체,25,전곡읍,토층전시관,경기 연천군 양연로 1510-0,전시시설
전체,25,전곡읍,청정암,경기 연천군 선사로424번길 8-0,종교성지
현지인,1,전곡읍,연천구석기축제,경기 연천군 양연로 1510-0,기타문화관광지
현지인,2,전곡읍,전곡역,경기 연천군 전곡역로 75-0,교통시설
현지인,3,전곡읍,연천전곡리유적,경기 연천군 양연로 1510-0,역사유적지
현지인,4,전곡읍,전곡선사박물관,경기 연천군 평화로443번길 2-0,전시시설
현지인,5,전곡읍,전곡전통시장,경기 연천군 온골로44번길 8-2,시장
현지인,6,전곡읍,전곡터미널,경기 연천군 온골로 49-0,교통시설
현지인,7,전곡읍,한탄강관광지어린이캐릭터공원,경기 연천군,도시공원
현지인,8,전곡읍,한탄강관광지,경기 연천군 선사로 76-0,복합관광시설
현지인,9,전곡읍,연천전곡리유적방문자센터,경기 연천군 양연로 1510-0,기타관광
현지인,10,전곡읍,들꽃가람농장,경기 연천군 청연로 192-0,농/산/어촌체험
현지인,10,전곡읍,한탄강관광지축구장,경기 연천군,레저스포츠시설
현지인,12,전곡읍,보국사,경기 연천군 선사로 35-0,종교성지
현지인,12,전곡읍,연천은대리성,경기 연천군,역사유적지
현지인,12,전곡읍,전곡근린공원,경기 연천군 선사로458번길 39-0,도시공원
현지인,12,전곡읍,능혜사,경기 연천군 양연로1162번길 80-0,종교성지
현지인,16,전곡읍,좌상바위,경기 연천군,기타관광
현지인,16,전곡읍,삼성사,경기 연천군 양연로1388번길 28-0,종교성지
현지인,18,전곡읍,은대근린공원,경기 연천군,도시공원
현지인,18,전곡읍,은대리판상절리,경기 연천군,기타관광
현지인,18,전곡읍,너나들이노리파크전곡점,경기 연천군 전곡로 11-1,테마공원
현지인,18,전곡읍,령신산기도도량,경기 연천군,종교성지
현지인,22,전곡읍,청정암,경기 연천군 선사로424번길 8-0,종교성지
현지인,22,전곡읍,본원사,경기 연천군 선사로398번길 5-0,종교성지
현지인,22,전곡읍,베개용암전망대,경기 연천군,랜드마크관광
현지인,22,전곡읍,한탄강물놀이장,경기 연천군 선사로 22-0,테마공원
현지인,22,전곡읍,토층전시관,경기 연천군 양연로 1510-0,전시시설
