축제명,그룹명,개최년도,구분명,지표값
연천구석기축제,축제기간,2025,외부방문자 유입,0.707
연천구석기축제,축제기간,2025,현지인방문자 유입,0.945
연천구석기축제,축제기간,2025,내비게이션 검색량,0.534
연천구석기축제,축제기간,2025,관광소비,0.741
연천구석기축제,축제기간,2025,축제지 집중률,0.948
연천구석기축제,비축제기간,2025,외부방문자 유입,0.263
연천구석기축제,비축제기간,2025,현지인방문자 유입,0.833
연천구석기축제,비축제기간,2025,내비게이션 검색량,0.114
연천구석기축제,비축제기간,2025,관광소비,0.409
연천구석기축제,비축제기간,2025,축제지 집중률,0.673
연천구석기축제,축제기간,2024,외부방문자 유입,0.619
연천구석기축제,축제기간,2024,현지인방문자 유입,0.891
연천구석기축제,축제기간,2024,내비게이션 검색량,0.472
연천구석기축제,축제기간,2024,관광소비,0.621
연천구석기축제,축제기간,2024,축제지 집중률,0.917
연천구석기축제,비축제기간,2024,외부방문자 유입,0.309
연천구석기축제,비축제기간,2024,현지인방문자 유입,0.796
연천구석기축제,비축제기간,2024,내비게이션 검색량,0.17
연천구석기축제,비축제기간,2024,관광소비,0.469
연천구석기축제,비축제기간,2024,축제지 집중률,0.661
연천구석기축제,축제기간,2023,외부방문자 유입,0.644
연천구석기축제,축제기간,2023,현지인방문자 유입,0.847
연천구석기축제,축제기간,2023,내비게이션 검색량,0.521
연천구석기축제,축제기간,2023,관광소비,0.537
연천구석기축제,축제기간,2023,축제지 집중률,0.974
연천구석기축제,비축제기간,2023,외부방문자 유입,0.451
연천구석기축제,비축제기간,2023,현지인방문자 유입,0.785
연천구석기축제,비축제기간,2023,내비게이션 검색량,0.39
연천구석기축제,비축제기간,2023,관광소비,0.482
연천구석기축제,비축제기간,2023,축제지 집중률,0.799
