구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,강구면,강구항,경북 영덕군,자연경관(하천/해양)
외지인,2,강구면,삼사해상공원,경북 영덕군 해상공원길 92-0,도시공원
외지인,3,강구면,영덕해파랑공원,경북 영덕군 영덕대게로 132-0,도시공원
외지인,4,강구면,강구시장,경북 영덕군 강구시장1길 8-1,시장
외지인,5,강구면,동광어시장,경북 영덕군 영덕대게로 108-1,시장
외지인,6,강구면,삼사해상산책로,경북 영덕군,기타레저스포츠
외지인,7,강구면,하저리해수욕장,경북 영덕군,자연경관(하천/해양)
외지인,8,강구면,강구대게축구장,경북 영덕군 강영로 16-111,레저스포츠시설
외지인,8,강구면,영덕어촌민속전시관,경북 영덕군 해상공원길 96-8,전시시설
외지인,8,강구면,강구역,경북 영덕군 강산로 63-0,교통시설
전체,1,강구면,강구항,경북 영덕군,자연경관(하천/해양)
전체,2,강구면,삼사해상공원,경북 영덕군 해상공원길 92-0,도시공원
전체,3,강구면,영덕해파랑공원,경북 영덕군 영덕대게로 132-0,도시공원
전체,4,강구면,강구시장,경북 영덕군 강구시장1길 8-1,시장
전체,5,강구면,동광어시장,경북 영덕군 영덕대게로 108-1,시장
전체,6,강구면,삼사해상산책로,경북 영덕군,기타레저스포츠
전체,7,강구면,하저리해수욕장,경북 영덕군,자연경관(하천/해양)
전체,8,강구면,강구역,경북 영덕군 강산로 63-0,교통시설
전체,9,강구면,영덕어촌민속전시관,경북 영덕군 해상공원길 96-8,전시시설
전체,9,강구면,강구대게축구장,경북 영덕군 강영로 16-111,레저스포츠시설
현지인,1,강구면,강구항,경북 영덕군,자연경관(하천/해양)
현지인,2,강구면,삼사해상공원,경북 영덕군 해상공원길 92-0,도시공원
현지인,3,강구면,강구시장,경북 영덕군 강구시장1길 8-1,시장
현지인,4,강구면,영덕해파랑공원,경북 영덕군 영덕대게로 132-0,도시공원
현지인,5,강구면,강구역,경북 영덕군 강산로 63-0,교통시설
현지인,5,강구면,하저리해수욕장,경북 영덕군,자연경관(하천/해양)
현지인,7,강구면,삼사해상산책로,경북 영덕군,기타레저스포츠
현지인,7,강구면,동광어시장,경북 영덕군 영덕대게로 108-1,시장
현지인,9,강구면,강구대게축구장,경북 영덕군 강영로 16-111,레저스포츠시설
현지인,9,강구면,영덕어촌민속전시관,경북 영덕군 해상공원길 96-8,전시시설
