축제명,그룹명,개최년도,구분명,지표값
곡성세계장미축제,축제기간,2025,외부방문자 유입,0.566
곡성세계장미축제,축제기간,2025,현지인방문자 유입,0.851
곡성세계장미축제,축제기간,2025,내비게이션 검색량,0.458
곡성세계장미축제,축제기간,2025,관광소비,0.641
곡성세계장미축제,축제기간,2025,축제지 집중률,0.921
곡성세계장미축제,비축제기간,2025,외부방문자 유입,0.118
곡성세계장미축제,비축제기간,2025,현지인방문자 유입,0.489
곡성세계장미축제,비축제기간,2025,내비게이션 검색량,0.093
곡성세계장미축제,비축제기간,2025,관광소비,0.462
곡성세계장미축제,비축제기간,2025,축제지 집중률,0.421
곡성세계장미축제,축제기간,2024,외부방문자 유입,0.523
곡성세계장미축제,축제기간,2024,현지인방문자 유입,0.74
곡성세계장미축제,축제기간,2024,내비게이션 검색량,0.412
곡성세계장미축제,축제기간,2024,관광소비,0.655
곡성세계장미축제,축제기간,2024,축제지 집중률,0.905
곡성세계장미축제,비축제기간,2024,외부방문자 유입,0.086
곡성세계장미축제,비축제기간,2024,현지인방문자 유입,0.413
곡성세계장미축제,비축제기간,2024,내비게이션 검색량,0.043
곡성세계장미축제,비축제기간,2024,관광소비,0.442
곡성세계장미축제,비축제기간,2024,축제지 집중률,0.352
곡성세계장미축제,축제기간,2023,외부방문자 유입,0.52
곡성세계장미축제,축제기간,2023,현지인방문자 유입,0.781
곡성세계장미축제,축제기간,2023,내비게이션 검색량,0.427
곡성세계장미축제,축제기간,2023,관광소비,0.594
곡성세계장미축제,축제기간,2023,축제지 집중률,0.88
곡성세계장미축제,비축제기간,2023,외부방문자 유입,0.103
곡성세계장미축제,비축제기간,2023,현지인방문자 유입,0.486
곡성세계장미축제,비축제기간,2023,내비게이션 검색량,0.144
곡성세계장미축제,비축제기간,2023,관광소비,0.415
곡성세계장미축제,비축제기간,2023,축제지 집중률,0.37
