구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,동삼1동,국립해양박물관,부산 영도구 해양로301번길 45-0,전시시설
외지인,2,동삼1동,아미르공원,부산 영도구 해양로301번길 55-0,도시공원
외지인,3,동삼1동,태종대자갈마당,부산 영도구,기타관광
외지인,4,동삼1동,감지해변,부산 영도구,기타관광
외지인,5,동삼1동,영도국제크루즈터미널,부산 영도구 해양로301번길 17-0,교통시설
외지인,6,동삼1동,부산영도다리축제,부산 영도구 해양로301번길 55-0,기타문화관광지
외지인,7,동삼1동,중리방파제,부산 영도구,자연경관(하천/해양)
외지인,8,동삼1동,영도신방파제,부산 영도구,자연경관(하천/해양)
외지인,9,동삼1동,함지골청소년수련관,부산 영도구 절영로 319-0,육상레저스포츠
외지인,10,동삼1동,한마음선원부산지원,부산 영도구 함지로79번길 23-26,종교성지
외지인,11,동삼1동,중리노을전망대,부산 영도구 중리북로 5-0,랜드마크관광
외지인,12,동삼1동,부산광역시교육청학생예술문화회관영도놀이마루,부산 영도구 와치로 259-0,기타문화관광지
외지인,13,동삼1동,동삼시장,부산 영도구 동삼로59번길 2-0,시장
외지인,14,동삼1동,미룡사,부산 영도구 동삼남로 11-0,종교성지
외지인,14,동삼1동,영도마린축구장,부산 영도구 해양로 307-0,레저스포츠시설
외지인,16,동삼1동,영도하늘전망대,부산 영도구,랜드마크관광
외지인,17,동삼1동,글로벌영도커피페스티벌,부산 영도구 해양로301번길 55-0,기타문화관광지
외지인,18,동삼1동,영도관광사격장,부산 영도구 절영로 319-0,육상레저스포츠
외지인,19,동삼1동,조도방파제,부산 영도구,자연경관(하천/해양)
전체,1,동삼1동,국립해양박물관,부산 영도구 해양로301번길 45-0,전시시설
전체,2,동삼1동,아미르공원,부산 영도구 해양로301번길 55-0,도시공원
전체,3,동삼1동,태종대자갈마당,부산 영도구,기타관광
전체,4,동삼1동,감지해변,부산 영도구,기타관광
전체,5,동삼1동,영도국제크루즈터미널,부산 영도구 해양로301번길 17-0,교통시설
전체,6,동삼1동,부산영도다리축제,부산 영도구 해양로301번길 55-0,기타문화관광지
전체,7,동삼1동,중리방파제,부산 영도구,자연경관(하천/해양)
전체,8,동삼1동,영도신방파제,부산 영도구,자연경관(하천/해양)
전체,8,동삼1동,함지골청소년수련관,부산 영도구 절영로 319-0,육상레저스포츠
전체,10,동삼1동,미룡사,부산 영도구 동삼남로 11-0,종교성지
전체,11,동삼1동,한마음선원부산지원,부산 영도구 함지로79번길 23-26,종교성지
전체,12,동삼1동,중리노을전망대,부산 영도구 중리북로 5-0,랜드마크관광
전체,12,동삼1동,부산광역시교육청학생예술문화회관영도놀이마루,부산 영도구 와치로 259-0,기타문화관광지
전체,14,동삼1동,동삼시장,부산 영도구 동삼로59번길 2-0,시장
전체,15,동삼1동,영도마린축구장,부산 영도구 해양로 307-0,레저스포츠시설
전체,16,동삼1동,영도하늘전망대,부산 영도구,랜드마크관광
전체,17,동삼1동,영도관광사격장,부산 영도구 절영로 319-0,육상레저스포츠
전체,18,동삼1동,글로벌영도커피페스티벌,부산 영도구 해양로301번길 55-0,기타문화관광지
전체,19,동삼1동,조도방파제,부산 영도구,자연경관(하천/해양)
현지인,1,동삼1동,아미르공원,부산 영도구 해양로301번길 55-0,도시공원
현지인,2,동삼1동,국립해양박물관,부산 영도구 해양로301번길 45-0,전시시설
현지인,3,동삼1동,미룡사,부산 영도구 동삼남로 11-0,종교성지
현지인,3,동삼1동,태종대자갈마당,부산 영도구,기타관광
현지인,5,동삼1동,감지해변,부산 영도구,기타관광
현지인,6,동삼1동,영도국제크루즈터미널,부산 영도구 해양로301번길 17-0,교통시설
현지인,7,동삼1동,중리방파제,부산 영도구,자연경관(하천/해양)
현지인,8,동삼1동,부산광역시교육청학생예술문화회관영도놀이마루,부산 영도구 와치로 259-0,기타문화관광지
현지인,9,동삼1동,동삼시장,부산 영도구 동삼로59번길 2-0,시장
현지인,9,동삼1동,중리노을전망대,부산 영도구 중리북로 5-0,랜드마크관광
현지인,9,동삼1동,한마음선원부산지원,부산 영도구 함지로79번길 23-26,종교성지
현지인,9,동삼1동,부산영도다리축제,부산 영도구 해양로301번길 55-0,기타문화관광지
현지인,9,동삼1동,영도관광사격장,부산 영도구 절영로 319-0,육상레저스포츠
현지인,14,동삼1동,영도마린축구장,부산 영도구 해양로 307-0,레저스포츠시설
현지인,14,동삼1동,함지골청소년수련관,부산 영도구 절영로 319-0,육상레저스포츠
현지인,16,동삼1동,영도신방파제,부산 영도구,자연경관(하천/해양)
현지인,16,동삼1동,영도하늘전망대,부산 영도구,랜드마크관광
현지인,18,동삼1동,조도방파제,부산 영도구,자연경관(하천/해양)
현지인,18,동삼1동,글로벌영도커피페스티벌,부산 영도구 해양로301번길 55-0,기타문화관광지
