구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,영동읍,영동역,충북 영동군 계산로 87-0,교통시설
외지인,2,영동읍,영동난계국악축제,충북 영동군 영동힐링로 117-0,기타문화관광지
외지인,3,영동읍,일라이트CC,충북 영동군 영동힐링로 161-0,육상레저스포츠
외지인,4,영동읍,레인보우힐링센터,충북 영동군 영동힐링로 95-0,기타관광
외지인,5,영동읍,영동난계국악축제,충북 영동군 영동힐링로 117-0,기타문화관광지
외지인,6,심천면,옥계폭포,충북 영동군,자연경관(산)
외지인,7,심천면,심천역,충북 영동군 심천로5길 5-0,교통시설
외지인,8,영동읍,영동와인터널,충북 영동군 영동힐링로 30-0,기타관광
외지인,9,영동읍,대한민국와인축제,충북 영동군 영동힐링로 117-0,기타문화관광지
외지인,10,영동읍,영동전통시장,충북 영동군 영동시장2길 10-1,시장
외지인,11,심천면,난계국악박물관,충북 영동군 국악로 9-0,전시시설
외지인,12,심천면,난계사,충북 영동군 국악로 13-34,역사유적지
외지인,13,영동읍,과일나라테마공원,충북 영동군 영동힐링로 248-0,기타관광
외지인,14,영동읍,용두근린공원,충북 영동군 용두공원로 42-0,도시공원
외지인,15,심천면,영동문학관,충북 영동군 국악로 18-0,전시시설
외지인,16,영동읍,레인보우식물원,충북 영동군 영동힐링로 241-42,테마공원
외지인,17,심천면,각계역,충북 영동군 각계길 55-0,교통시설
외지인,18,심천면,우리소리관,충북 영동군 국악로1길 33-0,공연시설
외지인,19,영동읍,영동중앙시장,충북 영동군 중앙로 21-0,시장
외지인,20,영동읍,영동생활체육공원,충북 영동군,도시공원
외지인,21,심천면,심천유원지,충북 영동군,복합관광시설
외지인,22,심천면,난계박연선생생가,충북 영동군 하고당1길 14-17,역사유적지
외지인,23,심천면,영동국악체험촌천고각,충북 영동군 국악로1길 33-0,기타관광
외지인,24,영동읍,영동중앙청과,충북 영동군 영산교로 3-0,시장
외지인,24,영동읍,어미실낚시터,충북 영동군 어미실길 82-0,수상레저스포츠
외지인,24,심천면,영동군 심천면 옥계리부락,충북 영동군,도시/지역문화관광
전체,1,영동읍,영동역,충북 영동군 계산로 87-0,교통시설
전체,2,영동읍,영동난계국악축제,충북 영동군 영동힐링로 117-0,기타문화관광지
전체,3,영동읍,일라이트CC,충북 영동군 영동힐링로 161-0,육상레저스포츠
전체,4,영동읍,레인보우힐링센터,충북 영동군 영동힐링로 95-0,기타관광
전체,5,영동읍,영동난계국악축제,충북 영동군 영동힐링로 117-0,기타문화관광지
전체,6,심천면,옥계폭포,충북 영동군,자연경관(산)
전체,7,심천면,심천역,충북 영동군 심천로5길 5-0,교통시설
전체,8,영동읍,영동와인터널,충북 영동군 영동힐링로 30-0,기타관광
전체,9,영동읍,대한민국와인축제,충북 영동군 영동힐링로 117-0,기타문화관광지
전체,10,영동읍,영동전통시장,충북 영동군 영동시장2길 10-1,시장
전체,11,심천면,난계국악박물관,충북 영동군 국악로 9-0,전시시설
전체,12,심천면,난계사,충북 영동군 국악로 13-34,역사유적지
전체,13,영동읍,과일나라테마공원,충북 영동군 영동힐링로 248-0,기타관광
전체,14,심천면,영동문학관,충북 영동군 국악로 18-0,전시시설
전체,15,영동읍,용두근린공원,충북 영동군 용두공원로 42-0,도시공원
전체,16,영동읍,레인보우식물원,충북 영동군 영동힐링로 241-42,테마공원
전체,17,심천면,각계역,충북 영동군 각계길 55-0,교통시설
전체,18,심천면,우리소리관,충북 영동군 국악로1길 33-0,공연시설
전체,19,영동읍,영동중앙시장,충북 영동군 중앙로 21-0,시장
전체,20,영동읍,영동생활체육공원,충북 영동군,도시공원
전체,21,심천면,심천유원지,충북 영동군,복합관광시설
전체,22,심천면,난계박연선생생가,충북 영동군 하고당1길 14-17,역사유적지
전체,23,심천면,영동국악체험촌천고각,충북 영동군 국악로1길 33-0,기타관광
전체,24,영동읍,어미실낚시터,충북 영동군 어미실길 82-0,수상레저스포츠
전체,25,심천면,영동군 심천면 옥계리부락,충북 영동군,도시/지역문화관광
전체,25,영동읍,영동중앙청과,충북 영동군 영산교로 3-0,시장
현지인,1,영동읍,영동역,충북 영동군 계산로 87-0,교통시설
현지인,2,영동읍,일라이트CC,충북 영동군 영동힐링로 161-0,육상레저스포츠
현지인,3,영동읍,영동난계국악축제,충북 영동군 영동힐링로 117-0,기타문화관광지
현지인,4,영동읍,레인보우힐링센터,충북 영동군 영동힐링로 95-0,기타관광
현지인,5,심천면,심천역,충북 영동군 심천로5길 5-0,교통시설
현지인,6,영동읍,영동난계국악축제,충북 영동군 영동힐링로 117-0,기타문화관광지
현지인,7,심천면,옥계폭포,충북 영동군,자연경관(산)
현지인,8,영동읍,영동와인터널,충북 영동군 영동힐링로 30-0,기타관광
현지인,9,영동읍,영동전통시장,충북 영동군 영동시장2길 10-1,시장
현지인,10,영동읍,대한민국와인축제,충북 영동군 영동힐링로 117-0,기타문화관광지
현지인,11,심천면,난계국악박물관,충북 영동군 국악로 9-0,전시시설
현지인,12,심천면,난계사,충북 영동군 국악로 13-34,역사유적지
현지인,13,심천면,영동문학관,충북 영동군 국악로 18-0,전시시설
현지인,14,영동읍,과일나라테마공원,충북 영동군 영동힐링로 248-0,기타관광
현지인,15,영동읍,용두근린공원,충북 영동군 용두공원로 42-0,도시공원
