축제명,그룹명,개최년도,구분명,지표값
영동난계국악축제,축제기간,2025,외부방문자 유입,0.382
영동난계국악축제,축제기간,2025,현지인방문자 유입,0.85
영동난계국악축제,축제기간,2025,내비게이션 검색량,0.459
영동난계국악축제,축제기간,2025,관광소비,0.564
영동난계국악축제,축제기간,2025,축제지 집중률,0.708
영동난계국악축제,비축제기간,2025,외부방문자 유입,0.258
영동난계국악축제,비축제기간,2025,현지인방문자 유입,0.844
영동난계국악축제,비축제기간,2025,내비게이션 검색량,0.31
영동난계국악축제,비축제기간,2025,관광소비,0.483
영동난계국악축제,비축제기간,2025,축제지 집중률,0.626
영동난계국악축제,축제기간,2024,외부방문자 유입,0.406
영동난계국악축제,축제기간,2024,현지인방문자 유입,0.915
영동난계국악축제,축제기간,2024,내비게이션 검색량,0.255
영동난계국악축제,축제기간,2024,관광소비,0.48
영동난계국악축제,축제기간,2024,축제지 집중률,0.711
영동난계국악축제,비축제기간,2024,외부방문자 유입,0.316
영동난계국악축제,비축제기간,2024,현지인방문자 유입,0.855
영동난계국악축제,비축제기간,2024,내비게이션 검색량,0.159
영동난계국악축제,비축제기간,2024,관광소비,0.44
영동난계국악축제,비축제기간,2024,축제지 집중률,0.63
영동난계국악축제,축제기간,2023,외부방문자 유입,0.478
영동난계국악축제,축제기간,2023,현지인방문자 유입,0.915
영동난계국악축제,축제기간,2023,내비게이션 검색량,0.344
영동난계국악축제,축제기간,2023,관광소비,0.459
영동난계국악축제,축제기간,2023,축제지 집중률,0.839
영동난계국악축제,비축제기간,2023,외부방문자 유입,0.382
영동난계국악축제,비축제기간,2023,현지인방문자 유입,0.788
영동난계국악축제,비축제기간,2023,내비게이션 검색량,0.224
영동난계국악축제,비축제기간,2023,관광소비,0.459
영동난계국악축제,비축제기간,2023,축제지 집중률,0.653
