구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,서창동,서부농수산물도매시장,광주 서구 매월2로 16-0,시장
외지인,2,서창동,광주서창억새축제,광주 서구,기타문화관광지
외지인,3,서창동,광주아울렛,광주 서구 상무대로 627-0,쇼핑몰
외지인,4,서창동,영산강자전거길안내센터,광주 서구 서창둑길 377-0,기타레저스포츠
외지인,5,서창동,서광주역,광주 서구 풍서좌로 203-0,교통시설
외지인,6,서창동,극락친수공원,광주 서구 풍서우로 0-0,도시공원
외지인,7,서창동,상무화훼단지,광주 서구 마륵벽진길 0-0,시장
외지인,8,서창동,광주건어물종합시장,광주 서구 매월1로 18-0,시장
외지인,9,서창동,전평제,광주 서구,자연경관(하천/해양)
외지인,9,서창동,만귀정,광주 서구 동하길 10-0,역사유적지
외지인,11,서창동,서창전통한옥문화체험관,광주 서구 눌재로 420-0,역사유적지
외지인,12,서창동,전평제근린공원,광주 서구 전평길 9-0,도시공원
외지인,13,서창동,월산수족관,광주 서구 마륵벽진길 21-1,테마공원
외지인,14,서창동,서창들녘낙조,광주 서구,기타관광
전체,1,서창동,서부농수산물도매시장,광주 서구 매월2로 16-0,시장
전체,2,서창동,광주서창억새축제,광주 서구,기타문화관광지
전체,3,서창동,광주아울렛,광주 서구 상무대로 627-0,쇼핑몰
전체,4,서창동,영산강자전거길안내센터,광주 서구 서창둑길 377-0,기타레저스포츠
전체,5,서창동,서광주역,광주 서구 풍서좌로 203-0,교통시설
전체,6,서창동,극락친수공원,광주 서구 풍서우로 0-0,도시공원
전체,7,서창동,상무화훼단지,광주 서구 마륵벽진길 0-0,시장
전체,8,서창동,광주건어물종합시장,광주 서구 매월1로 18-0,시장
전체,9,서창동,만귀정,광주 서구 동하길 10-0,역사유적지
전체,10,서창동,전평제,광주 서구,자연경관(하천/해양)
전체,11,서창동,서창전통한옥문화체험관,광주 서구 눌재로 420-0,역사유적지
전체,12,서창동,전평제근린공원,광주 서구 전평길 9-0,도시공원
전체,13,서창동,월산수족관,광주 서구 마륵벽진길 21-1,테마공원
전체,14,서창동,서창들녘낙조,광주 서구,기타관광
현지인,1,서창동,서부농수산물도매시장,광주 서구 매월2로 16-0,시장
현지인,2,서창동,광주아울렛,광주 서구 상무대로 627-0,쇼핑몰
현지인,3,서창동,광주서창억새축제,광주 서구,기타문화관광지
현지인,4,서창동,영산강자전거길안내센터,광주 서구 서창둑길 377-0,기타레저스포츠
현지인,5,서창동,서광주역,광주 서구 풍서좌로 203-0,교통시설
현지인,6,서창동,극락친수공원,광주 서구 풍서우로 0-0,도시공원
현지인,7,서창동,상무화훼단지,광주 서구 마륵벽진길 0-0,시장
현지인,8,서창동,광주건어물종합시장,광주 서구 매월1로 18-0,시장
현지인,9,서창동,만귀정,광주 서구 동하길 10-0,역사유적지
현지인,10,서창동,서창전통한옥문화체험관,광주 서구 눌재로 420-0,역사유적지
현지인,10,서창동,전평제,광주 서구,자연경관(하천/해양)
현지인,12,서창동,월산수족관,광주 서구 마륵벽진길 21-1,테마공원
현지인,12,서창동,전평제근린공원,광주 서구 전평길 9-0,도시공원
현지인,14,서창동,서창들녘낙조,광주 서구,기타관광
