구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,군서면,왕인박사유적지,전남 영암군 왕인로 440-0,역사유적지
외지인,2,군서면,영암왕인문화축제,전남 영암군 왕인로 440-0,기타문화관광지
외지인,3,군서면,도갑사,전남 영암군 도갑사로 306-0,종교성지
외지인,4,군서면,상대포역사공원,전남 영암군,도시공원
외지인,5,군서면,100리벚꽃길,전남 영암군,기타관광
외지인,6,군서면,영암군립하정웅미술관,전남 영암군 구림로 96-0,전시시설
외지인,7,군서면,영암목재문화체험장,전남 영암군 상대포로 37-0,기타레저스포츠
외지인,8,군서면,영암군서면의느티나무,전남 영암군,역사유적지
외지인,9,군서면,왕인학당,전남 영암군 왕인로 440-0,역사유적지
외지인,10,군서면,월출산온천,전남 영암군 마한로 331-0,웰니스관광
외지인,11,군서면,왕인공원,전남 영암군 왕인로 440-0,도시공원
전체,1,군서면,왕인박사유적지,전남 영암군 왕인로 440-0,역사유적지
전체,2,군서면,영암왕인문화축제,전남 영암군 왕인로 440-0,기타문화관광지
전체,3,군서면,도갑사,전남 영암군 도갑사로 306-0,종교성지
전체,4,군서면,상대포역사공원,전남 영암군,도시공원
전체,5,군서면,100리벚꽃길,전남 영암군,기타관광
전체,6,군서면,영암군립하정웅미술관,전남 영암군 구림로 96-0,전시시설
전체,7,군서면,영암목재문화체험장,전남 영암군 상대포로 37-0,기타레저스포츠
전체,8,군서면,영암군서면의느티나무,전남 영암군,역사유적지
전체,9,군서면,왕인학당,전남 영암군 왕인로 440-0,역사유적지
전체,10,군서면,월출산온천,전남 영암군 마한로 331-0,웰니스관광
전체,11,군서면,왕인공원,전남 영암군 왕인로 440-0,도시공원
현지인,1,군서면,왕인박사유적지,전남 영암군 왕인로 440-0,역사유적지
현지인,2,군서면,영암왕인문화축제,전남 영암군 왕인로 440-0,기타문화관광지
현지인,3,군서면,도갑사,전남 영암군 도갑사로 306-0,종교성지
현지인,4,군서면,상대포역사공원,전남 영암군,도시공원
현지인,5,군서면,영암군립하정웅미술관,전남 영암군 구림로 96-0,전시시설
현지인,6,군서면,영암목재문화체험장,전남 영암군 상대포로 37-0,기타레저스포츠
현지인,6,군서면,100리벚꽃길,전남 영암군,기타관광
현지인,8,군서면,왕인학당,전남 영암군 왕인로 440-0,역사유적지
현지인,8,군서면,영암군서면의느티나무,전남 영암군,역사유적지
현지인,10,군서면,월출산온천,전남 영암군 마한로 331-0,웰니스관광
현지인,11,군서면,왕인공원,전남 영암군 왕인로 440-0,도시공원
