축제명,그룹명,개최년도,구분명,지표값
영암왕인문화축제,축제기간,2024,외부방문자 유입,0.584
영암왕인문화축제,축제기간,2024,현지인방문자 유입,0.849
영암왕인문화축제,축제기간,2024,내비게이션 검색량,0.572
영암왕인문화축제,축제기간,2024,관광소비,0.74
영암왕인문화축제,축제기간,2024,축제지 집중률,0.712
영암왕인문화축제,비축제기간,2024,외부방문자 유입,0.138
영암왕인문화축제,비축제기간,2024,현지인방문자 유입,0.378
영암왕인문화축제,비축제기간,2024,내비게이션 검색량,0.08
영암왕인문화축제,비축제기간,2024,관광소비,0.668
영암왕인문화축제,비축제기간,2024,축제지 집중률,0.233
영암왕인문화축제,축제기간,2023,외부방문자 유입,0.697
영암왕인문화축제,축제기간,2023,현지인방문자 유입,0.876
영암왕인문화축제,축제기간,2023,내비게이션 검색량,0.661
영암왕인문화축제,축제기간,2023,관광소비,0.75
영암왕인문화축제,축제기간,2023,축제지 집중률,0.851
영암왕인문화축제,비축제기간,2023,외부방문자 유입,0.08
영암왕인문화축제,비축제기간,2023,현지인방문자 유입,0.28
영암왕인문화축제,비축제기간,2023,내비게이션 검색량,0.05
영암왕인문화축제,비축제기간,2023,관광소비,0.591
영암왕인문화축제,비축제기간,2023,축제지 집중률,0.169
