구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,풍기읍,영주풍기인삼축제,경북 영주시 신재로 978-0,기타문화관광지
외지인,2,풍기읍,풍기역,경북 영주시 인삼로 1-0,교통시설
외지인,3,풍기읍,풍기인삼시장,경북 영주시 인삼로 8-0,시장
외지인,4,풍기읍,희방사,경북 영주시 죽령로1720번길 278-0,종교성지
외지인,5,풍기읍,풍기선비골인삼시장,경북 영주시 소백로 2156-0,시장
외지인,6,풍기읍,풍기역문화공원,경북 영주시 인삼로 2-11,도시공원
외지인,7,풍기읍,풍기토종인삼시장,경북 영주시 인삼로 40-0,시장
외지인,8,풍기읍,대한광복단기념공원축구장,경북 영주시,레저스포츠시설
외지인,9,풍기읍,풍기인삼홍삼센터,경북 영주시 기주로 10-0,시장
외지인,10,풍기읍,풍기중앙시장,경북 영주시 기주로76번길 16-0,시장
외지인,11,풍기읍,희방사역폐역,경북 영주시 죽령로1513번길 41-9,교통시설
외지인,12,풍기읍,죽령옛길,경북 영주시,기타레저스포츠
외지인,13,풍기읍,희방폭포,경북 영주시,자연경관(산)
외지인,14,풍기읍,삼가탐방지원센터,경북 영주시 삼가로 476-0,기타관광
외지인,15,풍기읍,대한광복단기념공원,경북 영주시,도시공원
외지인,16,풍기읍,인삼박물관,경북 영주시 죽령로 1378-0,전시시설
외지인,17,풍기읍,비로사,경북 영주시 삼가로 661-29,종교성지
외지인,18,풍기읍,희방계곡,경북 영주시,자연경관(산)
외지인,19,풍기읍,풍기온천숯불,경북 영주시 죽령로 1365-0,웰니스관광
외지인,20,풍기읍,풍기장,경북 영주시 동성로 113-0,시장
외지인,21,풍기읍,풍기향교,경북 영주시 금계로 104-0,역사유적지
외지인,22,풍기읍,유석사,경북 영주시 죽령로1360번길 289-0,종교성지
외지인,23,풍기읍,약수암,경북 영주시 죽령로1381번길 56-98,종교성지
외지인,23,풍기읍,금선정계곡,경북 영주시,자연경관(산)
외지인,25,풍기읍,금강사,경북 영주시 삼가로 111-45,종교성지
외지인,25,풍기읍,죽령,경북 영주시,자연경관(산)
외지인,27,풍기읍,소백산희방사방면,경북 영주시,자연경관(산)
외지인,27,풍기읍,소백산죽령옛길,경북 영주시 소백로 2255-0,도시/지역문화관광
외지인,29,풍기읍,금계저수지,경북 영주시,자연경관(하천/해양)
외지인,30,풍기읍,금선정,경북 영주시,역사유적지
전체,1,풍기읍,영주풍기인삼축제,경북 영주시 신재로 978-0,기타문화관광지
전체,2,풍기읍,풍기역,경북 영주시 인삼로 1-0,교통시설
전체,3,풍기읍,풍기인삼시장,경북 영주시 인삼로 8-0,시장
전체,4,풍기읍,희방사,경북 영주시 죽령로1720번길 278-0,종교성지
전체,5,풍기읍,풍기선비골인삼시장,경북 영주시 소백로 2156-0,시장
전체,6,풍기읍,풍기역문화공원,경북 영주시 인삼로 2-11,도시공원
전체,7,풍기읍,풍기토종인삼시장,경북 영주시 인삼로 40-0,시장
전체,8,풍기읍,대한광복단기념공원축구장,경북 영주시,레저스포츠시설
전체,9,풍기읍,희방사역폐역,경북 영주시 죽령로1513번길 41-9,교통시설
전체,10,풍기읍,풍기인삼홍삼센터,경북 영주시 기주로 10-0,시장
전체,11,풍기읍,풍기중앙시장,경북 영주시 기주로76번길 16-0,시장
전체,12,풍기읍,희방폭포,경북 영주시,자연경관(산)
전체,12,풍기읍,대한광복단기념공원,경북 영주시,도시공원
전체,14,풍기읍,죽령옛길,경북 영주시,기타레저스포츠
전체,15,풍기읍,삼가탐방지원센터,경북 영주시 삼가로 476-0,기타관광
전체,16,풍기읍,인삼박물관,경북 영주시 죽령로 1378-0,전시시설
전체,17,풍기읍,비로사,경북 영주시 삼가로 661-29,종교성지
전체,18,풍기읍,희방계곡,경북 영주시,자연경관(산)
전체,19,풍기읍,풍기온천숯불,경북 영주시 죽령로 1365-0,웰니스관광
전체,20,풍기읍,풍기장,경북 영주시 동성로 113-0,시장
전체,21,풍기읍,풍기향교,경북 영주시 금계로 104-0,역사유적지
전체,22,풍기읍,유석사,경북 영주시 죽령로1360번길 289-0,종교성지
