축제명,그룹명,개최년도,구분명,지표값
영주풍기인삼축제,축제기간,2025,외부방문자 유입,0.542
영주풍기인삼축제,축제기간,2025,현지인방문자 유입,0.87
영주풍기인삼축제,축제기간,2025,내비게이션 검색량,0.546
영주풍기인삼축제,축제기간,2025,관광소비,0.367
영주풍기인삼축제,축제기간,2025,축제지 집중률,0.805
영주풍기인삼축제,비축제기간,2025,외부방문자 유입,0.37
영주풍기인삼축제,비축제기간,2025,현지인방문자 유입,0.708
영주풍기인삼축제,비축제기간,2025,내비게이션 검색량,0.197
영주풍기인삼축제,비축제기간,2025,관광소비,0.377
영주풍기인삼축제,비축제기간,2025,축제지 집중률,0.516
영주풍기인삼축제,축제기간,2024,외부방문자 유입,0.489
영주풍기인삼축제,축제기간,2024,현지인방문자 유입,0.915
영주풍기인삼축제,축제기간,2024,내비게이션 검색량,0.492
영주풍기인삼축제,축제기간,2024,관광소비,0.349
영주풍기인삼축제,축제기간,2024,축제지 집중률,0.808
영주풍기인삼축제,비축제기간,2024,외부방문자 유입,0.3
영주풍기인삼축제,비축제기간,2024,현지인방문자 유입,0.773
영주풍기인삼축제,비축제기간,2024,내비게이션 검색량,0.202
영주풍기인삼축제,비축제기간,2024,관광소비,0.311
영주풍기인삼축제,비축제기간,2024,축제지 집중률,0.544
영주풍기인삼축제,축제기간,2023,외부방문자 유입,0.46
영주풍기인삼축제,축제기간,2023,현지인방문자 유입,0.87
영주풍기인삼축제,축제기간,2023,내비게이션 검색량,0.41
영주풍기인삼축제,축제기간,2023,관광소비,0.385
영주풍기인삼축제,축제기간,2023,축제지 집중률,0.885
영주풍기인삼축제,비축제기간,2023,외부방문자 유입,0.341
영주풍기인삼축제,비축제기간,2023,현지인방문자 유입,0.682
영주풍기인삼축제,비축제기간,2023,내비게이션 검색량,0.346
영주풍기인삼축제,비축제기간,2023,관광소비,0.391
영주풍기인삼축제,비축제기간,2023,축제지 집중률,0.589
