구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,야음장생포동,장생포고래박물관,울산 남구 장생포고래로 244-0,전시시설
외지인,2,야음장생포동,장생포고래문화마을,울산 남구 장생포고래로 271-1,기타관광
외지인,3,야음장생포동,장생포문화창고,울산 남구 장생포고래로 110-0,기타문화관광지
외지인,4,야음장생포동,고래생태체험관,울산 남구 장생포고래로 248-0,기타문화관광지
외지인,5,야음장생포동,장생포고래문화특구,울산 남구 장생포고래로 244-0,기타관광
외지인,6,야음장생포동,야음상가시장,울산 남구 수암로 234-0,시장
외지인,7,야음장생포동,울산번개시장,울산 남구 신선로184번길 46-1,시장
외지인,8,야음장생포동,울산해양경찰서전용부두,울산 남구 장생포고래로 166-0,자연경관(하천/해양)
외지인,9,야음장생포동,남구배드민턴센터,울산 남구 화합로71번길 12-0,기타레저스포츠
외지인,10,야음장생포동,장생포고래문화관,울산 남구 장생포고래로 131-0,기타문화관광지
외지인,11,야음장생포동,고래바다여행선선착장,울산 남구 장생포고래로 210-0,교통시설
외지인,11,야음장생포동,울산석탄부두,울산 남구 부두로 0-0,교통시설
외지인,13,야음장생포동,울산항제6부두,울산 남구 매암로 0-0,자연경관(하천/해양)
외지인,14,야음장생포동,장생포고래문화마을선사시대고래마당,울산 남구,도시공원
외지인,15,야음장생포동,일반부두,울산 남구 장생포로 0-0,자연경관(하천/해양)
외지인,16,야음장생포동,울산해양공원,울산 남구 장생포고래로 244-0,도시공원
외지인,17,야음장생포동,백탑공원,울산 남구,도시공원
외지인,17,야음장생포동,장생포고래문화마을고래광장,울산 남구,도시공원
외지인,19,야음장생포동,아트스테이,울산 남구 장생포고래로139번길 5-15,기타문화관광지
외지인,20,야음장생포동,장생포다목적구장,울산 남구 장생포고래로 252-0,기타레저스포츠
외지인,21,야음장생포동,장생포모노레일,울산 남구 장생포고래로 246-0,기타관광
외지인,21,야음장생포동,울산면세점,울산 남구 장생포고래로 305-0,면세점
외지인,21,야음장생포동,이영훈탁구클럽,울산 남구 수암로 255-0,기타레저스포츠
외지인,21,야음장생포동,웨일즈판타지움,울산 남구 장생포고래로 271-2,기타문화관광지
외지인,25,야음장생포동,남구행복안전체험관,울산 남구 여천로 40-0,기타문화관광지
외지인,25,야음장생포동,에이팩토리,울산 남구 장생포고래로 110-0,기타문화관광지
외지인,25,야음장생포동,장생포수산물직판장어심수산,울산 남구 장생포고래로 275-0,시장
외지인,25,야음장생포동,울산항,울산 남구 부두로 0-0,자연경관(하천/해양)
전체,1,야음장생포동,장생포고래박물관,울산 남구 장생포고래로 244-0,전시시설
전체,2,야음장생포동,장생포고래문화마을,울산 남구 장생포고래로 271-1,기타관광
전체,3,야음장생포동,장생포문화창고,울산 남구 장생포고래로 110-0,기타문화관광지
전체,4,야음장생포동,고래생태체험관,울산 남구 장생포고래로 248-0,기타문화관광지
전체,5,야음장생포동,장생포고래문화특구,울산 남구 장생포고래로 244-0,기타관광
전체,6,야음장생포동,야음상가시장,울산 남구 수암로 234-0,시장
전체,7,야음장생포동,울산번개시장,울산 남구 신선로184번길 46-1,시장
전체,8,야음장생포동,울산해양경찰서전용부두,울산 남구 장생포고래로 166-0,자연경관(하천/해양)
전체,9,야음장생포동,남구배드민턴센터,울산 남구 화합로71번길 12-0,기타레저스포츠
전체,10,야음장생포동,고래바다여행선선착장,울산 남구 장생포고래로 210-0,교통시설
전체,11,야음장생포동,장생포고래문화관,울산 남구 장생포고래로 131-0,기타문화관광지
전체,12,야음장생포동,장생포고래문화마을선사시대고래마당,울산 남구,도시공원
전체,13,야음장생포동,울산석탄부두,울산 남구 부두로 0-0,교통시설
전체,14,야음장생포동,울산항제6부두,울산 남구 매암로 0-0,자연경관(하천/해양)
전체,15,야음장생포동,일반부두,울산 남구 장생포로 0-0,자연경관(하천/해양)
전체,16,야음장생포동,백탑공원,울산 남구,도시공원
전체,17,야음장생포동,울산해양공원,울산 남구 장생포고래로 244-0,도시공원
전체,17,야음장생포동,장생포고래문화마을고래광장,울산 남구,도시공원
전체,19,야음장생포동,장생포다목적구장,울산 남구 장생포고래로 252-0,기타레저스포츠
전체,20,야음장생포동,아트스테이,울산 남구 장생포고래로139번길 5-15,기타문화관광지
전체,21,야음장생포동,장생포모노레일,울산 남구 장생포고래로 246-0,기타관광
전체,22,야음장생포동,울산면세점,울산 남구 장생포고래로 305-0,면세점
전체,22,야음장생포동,이영훈탁구클럽,울산 남구 수암로 255-0,기타레저스포츠
전체,22,야음장생포동,웨일즈판타지움,울산 남구 장생포고래로 271-2,기타문화관광지
전체,22,야음장생포동,에이팩토리,울산 남구 장생포고래로 110-0,기타문화관광지
전체,22,야음장생포동,장생포수산물직판장어심수산,울산 남구 장생포고래로 275-0,시장
전체,27,야음장생포동,울산항,울산 남구 부두로 0-0,자연경관(하천/해양)
전체,27,야음장생포동,남구행복안전체험관,울산 남구 여천로 40-0,기타문화관광지
현지인,1,야음장생포동,장생포고래박물관,울산 남구 장생포고래로 244-0,전시시설
현지인,2,야음장생포동,장생포고래문화마을,울산 남구 장생포고래로 271-1,기타관광
현지인,3,야음장생포동,장생포문화창고,울산 남구 장생포고래로 110-0,기타문화관광지
현지인,4,야음장생포동,야음상가시장,울산 남구 수암로 234-0,시장
현지인,5,야음장생포동,울산번개시장,울산 남구 신선로184번길 46-1,시장
현지인,6,야음장생포동,고래생태체험관,울산 남구 장생포고래로 248-0,기타문화관광지
현지인,7,야음장생포동,울산해양경찰서전용부두,울산 남구 장생포고래로 166-0,자연경관(하천/해양)
현지인,8,야음장생포동,장생포고래문화특구,울산 남구 장생포고래로 244-0,기타관광
현지인,9,야음장생포동,남구배드민턴센터,울산 남구 화합로71번길 12-0,기타레저스포츠
현지인,10,야음장생포동,고래바다여행선선착장,울산 남구 장생포고래로 210-0,교통시설
현지인,11,야음장생포동,장생포고래문화관,울산 남구 장생포고래로 131-0,기타문화관광지
현지인,12,야음장생포동,장생포고래문화마을선사시대고래마당,울산 남구,도시공원
현지인,13,야음장생포동,백탑공원,울산 남구,도시공원
현지인,14,야음장생포동,장생포다목적구장,울산 남구 장생포고래로 252-0,기타레저스포츠
현지인,15,야음장생포동,장생포고래문화마을고래광장,울산 남구,도시공원
현지인,16,야음장생포동,울산해양공원,울산 남구 장생포고래로 244-0,도시공원
현지인,16,야음장생포동,일반부두,울산 남구 장생포로 0-0,자연경관(하천/해양)
현지인,16,야음장생포동,아트스테이,울산 남구 장생포고래로139번길 5-15,기타문화관광지
현지인,19,야음장생포동,울산항제6부두,울산 남구 매암로 0-0,자연경관(하천/해양)
현지인,19,야음장생포동,울산석탄부두,울산 남구 부두로 0-0,교통시설
현지인,19,야음장생포동,장생포모노레일,울산 남구 장생포고래로 246-0,기타관광
현지인,19,야음장생포동,에이팩토리,울산 남구 장생포고래로 110-0,기타문화관광지
현지인,19,야음장생포동,장생포수산물직판장어심수산,울산 남구 장생포고래로 275-0,시장
현지인,24,야음장생포동,남구행복안전체험관,울산 남구 여천로 40-0,기타문화관광지
현지인,24,야음장생포동,울산면세점,울산 남구 장생포고래로 305-0,면세점
현지인,24,야음장생포동,이영훈탁구클럽,울산 남구 수암로 255-0,기타레저스포츠
현지인,24,야음장생포동,웨일즈판타지움,울산 남구 장생포고래로 271-2,기타문화관광지
현지인,24,야음장생포동,울산항,울산 남구 부두로 0-0,자연경관(하천/해양)
