구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,1,농소3동,편백산림욕장,울산 북구,자연공원
외지인,2,농소3동,울산EDA승마장,울산 북구 버덩길 18-0,육상레저스포츠
외지인,3,농소3동,토브그라운드,울산 북구 아진로 41-12,테마공원
외지인,4,농소3동,다올농원,울산 북구 덕곡길 5-0,농/산/어촌체험
외지인,4,농소3동,한마음선원울산지원,울산 북구 달래골길 26-12,종교성지
외지인,6,농소3동,더스완,울산 북구 달천로 22-0,테마공원
전체,1,농소3동,편백산림욕장,울산 북구,자연공원
전체,2,농소3동,울산EDA승마장,울산 북구 버덩길 18-0,육상레저스포츠
전체,3,농소3동,토브그라운드,울산 북구 아진로 41-12,테마공원
전체,4,농소3동,다올농원,울산 북구 덕곡길 5-0,농/산/어촌체험
전체,5,농소3동,한마음선원울산지원,울산 북구 달래골길 26-12,종교성지
전체,6,농소3동,더스완,울산 북구 달천로 22-0,테마공원
현지인,1,농소3동,편백산림욕장,울산 북구,자연공원
현지인,2,농소3동,울산EDA승마장,울산 북구 버덩길 18-0,육상레저스포츠
현지인,3,농소3동,토브그라운드,울산 북구 아진로 41-12,테마공원
현지인,4,농소3동,다올농원,울산 북구 덕곡길 5-0,농/산/어촌체험
현지인,5,농소3동,더스완,울산 북구 달천로 22-0,테마공원
현지인,5,농소3동,한마음선원울산지원,울산 북구 달래골길 26-12,종교성지
